id,growthlevel,type,growthtype1,growthvalue1,growthtype2,growthvalue2,growthtype3,growthvalue3,growthtype4,growthvalue4,growthtype5,growthvalue5
1,1,1,1,0,2,0,3,0,99,0,0,0
2,2,1,1,275,2,275,3,275,99,275,0,0
3,3,1,1,550,2,550,3,550,99,550,0,0
4,4,1,1,825,2,825,3,825,99,825,0,0
5,5,1,1,1100,2,1100,3,1100,99,1100,0,0
6,6,1,1,1375,2,1375,3,1375,99,1375,0,0
7,7,1,1,1650,2,1650,3,1650,99,1650,0,0
8,8,1,1,1925,2,1925,3,1925,99,1925,0,0
9,9,1,1,2200,2,2200,3,2200,99,2200,0,0
10,10,1,1,2475,2,2475,3,2475,99,2475,0,0
11,11,2,1,3625,2,3625,3,3625,99,3625,0,0
12,12,1,1,3950,2,3950,3,3950,99,3950,0,0
13,13,1,1,4275,2,4275,3,4275,99,4275,0,0
14,14,1,1,4600,2,4600,3,4600,99,4600,0,0
15,15,1,1,4925,2,4925,3,4925,99,4925,0,0
16,16,1,1,5250,2,5250,3,5250,99,5250,0,0
17,17,1,1,5575,2,5575,3,5575,99,5575,0,0
18,18,1,1,5900,2,5900,3,5900,99,5900,0,0
19,19,1,1,6225,2,6225,3,6225,99,6225,0,0
20,20,1,1,6550,2,6550,3,6550,99,6550,0,0
21,21,2,1,9550,2,9550,3,9550,99,9550,0,0
22,22,1,1,9975,2,9975,3,9975,99,9975,0,0
23,23,1,1,10400,2,10400,3,10400,99,10400,0,0
24,24,1,1,10825,2,10825,3,10825,99,10825,0,0
25,25,1,1,11250,2,11250,3,11250,99,11250,0,0
26,26,1,1,11675,2,11675,3,11675,99,11675,0,0
27,27,1,1,12100,2,12100,3,12100,99,12100,0,0
28,28,1,1,12525,2,12525,3,12525,99,12525,0,0
29,29,1,1,12950,2,12950,3,12950,99,12950,0,0
30,30,1,1,13375,2,13375,3,13375,99,13375,0,0
31,31,1,1,13800,2,13800,3,13800,99,13800,0,0
32,32,1,1,14225,2,14225,3,14225,99,14225,0,0
33,33,1,1,14650,2,14650,3,14650,99,14650,0,0
34,34,1,1,15075,2,15075,3,15075,99,15075,0,0
35,35,1,1,15500,2,15500,3,15500,99,15500,0,0
36,36,1,1,15925,2,15925,3,15925,99,15925,0,0
37,37,1,1,16350,2,16350,3,16350,99,16350,0,0
38,38,1,1,16775,2,16775,3,16775,99,16775,0,0
39,39,1,1,17200,2,17200,3,17200,99,17200,0,0
40,40,1,1,17625,2,17625,3,17625,99,17625,0,0
41,41,2,1,23125,2,23125,3,23125,99,23125,0,0
42,42,1,1,23725,2,23725,3,23725,99,23725,0,0
43,43,1,1,24325,2,24325,3,24325,99,24325,0,0
44,44,1,1,24925,2,24925,3,24925,99,24925,0,0
45,45,1,1,25525,2,25525,3,25525,99,25525,0,0
46,46,1,1,26125,2,26125,3,26125,99,26125,0,0
47,47,1,1,26725,2,26725,3,26725,99,26725,0,0
48,48,1,1,27325,2,27325,3,27325,99,27325,0,0
49,49,1,1,27925,2,27925,3,27925,99,27925,0,0
50,50,1,1,28525,2,28525,3,28525,99,28525,0,0
51,51,1,1,29125,2,29125,3,29125,99,29125,0,0
52,52,1,1,29725,2,29725,3,29725,99,29725,0,0
53,53,1,1,30325,2,30325,3,30325,99,30325,0,0
54,54,1,1,30925,2,30925,3,30925,99,30925,0,0
55,55,1,1,31525,2,31525,3,31525,99,31525,0,0
56,56,1,1,32125,2,32125,3,32125,99,32125,0,0
57,57,1,1,32725,2,32725,3,32725,99,32725,0,0
58,58,1,1,33325,2,33325,3,33325,99,33325,0,0
59,59,1,1,33925,2,33925,3,33925,99,33925,0,0
60,60,1,1,34525,2,34525,3,34525,99,34525,0,0
61,61,2,1,42525,2,42525,3,42525,99,42525,0,0
