id,quality,item1,quality_param1,lv_param1,item2,quality_param2,lv_param2,explain
1,1,91000001,2000,5,91000041,66,4,绿
2,2,91000001,2100,7,91000041,75,4,蓝
3,3,91000001,2200,9,91000041,85,4,蓝+
4,4,91000001,2800,15,91000041,325,4,紫
5,5,91000001,3100,18,91000041,450,5,紫+
6,6,91000001,3200,18,91000041,600,8,橙
7,7,91000001,3200,18,91000041,700,8,橙+
8,8,91000001,3300,25,91000041,900,10,红
9,9,91000001,3400,25,91000041,1200,10,红+
10,10,91000001,2800,30,91000041,1300,12,白
11,11,91000001,3000,30,91000041,1350,12,白1
12,12,91000001,3100,32,91000041,1400,16,白2
13,13,91000001,3200,32,91000041,1450,16,白3
14,14,91000001,3300,34,91000041,1500,20,白4
15,15,91000001,3400,34,91000041,1800,20,白5
16,16,91000001,3400,35,91000041,1800,20,神话5星1阶
17,17,91000001,3400,35,91000041,1800,20,神话5星2阶
18,18,91000001,3400,35,91000041,1800,20,神话5星3阶
19,19,91000001,3400,35,91000041,1800,20,永恒1星
20,20,91000001,3400,35,91000041,1800,20,永恒1星1阶
21,21,91000001,3400,35,91000041,1800,20,永恒1星2阶
22,22,91000001,3400,35,91000041,1800,20,永恒1星3阶
23,23,91000001,3400,35,91000041,1800,20,永恒2星
24,24,91000001,3400,35,91000041,1800,20,永恒2星1阶
25,25,91000001,3400,35,91000041,1800,20,永恒2星2阶
26,26,91000001,3400,35,91000041,1800,20,永恒2星3阶
27,27,91000001,3400,35,91000041,1800,20,永恒3星
28,28,91000001,3400,35,91000041,1800,20,永恒3星1阶
29,29,91000001,3400,35,91000041,1800,20,永恒3星2阶
30,30,91000001,3400,35,91000041,1800,20,永恒3星3阶
31,31,91000001,3400,35,91000041,1800,20,永恒4星
32,32,91000001,3400,35,91000041,1800,20,永恒4星1阶
33,33,91000001,3400,35,91000041,1800,20,永恒4星2阶
34,34,91000001,3400,35,91000041,1800,20,永恒4星3阶
35,35,91000001,3400,35,91000041,1800,20,永恒4星4阶
36,36,91000001,3400,35,91000041,1800,20,永恒4星5阶
37,37,91000001,3500,35,91000041,1900,20,永恒5星
