ID,battle_steed_id,awaken_level,quality,prefix_name,cost_horse_star,cost_horse_num,cost_item,cost_num,attribute_type1,attribute_valve1,attribute_type2,attribute_valve2,attribute_type3,attribute_valve3,attribute_type4,attribute_valve4,attribute_type5,attribute_valve5,attribute_type6,attribute_valve6,dragon_hole_num
1340050101,13400501,1,6,1阶·,5,1,15100103,100,1,0,2,0,3,0,0,0,99,0,0,0,0
1340050102,13400501,2,8,2阶·,5,2,15100103,300,1,18000,2,1800,3,360,0,0,99,1188000,0,0,1
1340050103,13400501,3,8,3阶·,5,3,15100103,600,1,36000,2,3600,3,720,0,0,99,2376000,0,0,2
1340050104,13400501,4,8,4阶·,5,5,15100103,1000,1,54000,2,5400,3,1080,0,0,99,3564000,0,0,3
1340050105,13400501,5,8,5阶·,5,8,15100103,1500,1,72000,2,7200,3,1440,0,0,99,4752000,0,0,4
1340050106,13400501,6,8,6阶·,5,10,15100103,2000,1,90000,2,9000,3,1800,0,0,99,5940000,0,0,5
1340050107,13400501,7,8,7阶·,0,0,0,0,1,120000,2,12000,3,2400,0,0,99,7920000,0,0,6
1340150101,13401501,1,6,1阶·,5,1,15100103,100,1,0,2,0,3,0,0,0,99,0,0,0,0
1340150102,13401501,2,8,2阶·,5,2,15100103,300,1,18000,2,1800,3,360,0,0,99,1188000,0,0,1
1340150103,13401501,3,8,3阶·,5,3,15100103,600,1,36000,2,3600,3,720,0,0,99,2376000,0,0,2
1340150104,13401501,4,8,4阶·,5,5,15100103,1000,1,54000,2,5400,3,1080,0,0,99,3564000,0,0,3
1340150105,13401501,5,8,5阶·,5,8,15100103,1500,1,72000,2,7200,3,1440,0,0,99,4752000,0,0,4
1340150106,13401501,6,8,6阶·,5,10,15100103,2000,1,90000,2,9000,3,1800,0,0,99,5940000,0,0,5
1340150107,13401501,7,8,7阶·,0,0,0,0,1,120000,2,12000,3,2400,0,0,99,7920000,0,0,6
1340250101,13402501,1,6,1阶·,5,1,15100103,100,1,0,2,0,3,0,0,0,99,0,0,0,0
1340250102,13402501,2,8,2阶·,5,2,15100103,300,1,18000,2,1800,3,360,0,0,99,1188000,0,0,1
1340250103,13402501,3,8,3阶·,5,3,15100103,600,1,36000,2,3600,3,720,0,0,99,2376000,0,0,2
1340250104,13402501,4,8,4阶·,5,5,15100103,1000,1,54000,2,5400,3,1080,0,0,99,3564000,0,0,3
1340250105,13402501,5,8,5阶·,5,8,15100103,1500,1,72000,2,7200,3,1440,0,0,99,4752000,0,0,4
1340250106,13402501,6,8,6阶·,5,10,15100103,2000,1,90000,2,9000,3,1800,0,0,99,5940000,0,0,5
1340250107,13402501,7,8,7阶·,0,0,0,0,1,120000,2,12000,3,2400,0,0,99,7920000,0,0,6
1340350101,13403501,1,6,1阶·,5,1,15100103,100,1,0,2,0,3,0,0,0,99,0,0,0,0
1340350102,13403501,2,8,2阶·,5,2,15100103,300,1,18000,2,1800,3,360,0,0,99,1188000,0,0,1
1340350103,13403501,3,8,3阶·,5,3,15100103,600,1,36000,2,3600,3,720,0,0,99,2376000,0,0,2
1340350104,13403501,4,8,4阶·,5,5,15100103,1000,1,54000,2,5400,3,1080,0,0,99,3564000,0,0,3
1340350105,13403501,5,8,5阶·,5,8,15100103,1500,1,72000,2,7200,3,1440,0,0,99,4752000,0,0,4
1340350106,13403501,6,8,6阶·,5,10,15100103,2000,1,90000,2,9000,3,1800,0,0,99,5940000,0,0,5
1340350107,13403501,7,8,7阶·,0,0,0,0,1,120000,2,12000,3,2400,0,0,99,7920000,0,0,6
1340450101,13404501,1,6,1阶·,5,1,15100103,100,1,0,2,0,3,0,0,0,99,0,0,0,0
1340450102,13404501,2,8,2阶·,5,2,15100103,300,1,18000,2,1800,3,360,0,0,99,1188000,0,0,1
1340450103,13404501,3,8,3阶·,5,3,15100103,600,1,36000,2,3600,3,720,0,0,99,2376000,0,0,2
1340450104,13404501,4,8,4阶·,5,5,15100103,1000,1,54000,2,5400,3,1080,0,0,99,3564000,0,0,3
1340450105,13404501,5,8,5阶·,5,8,15100103,1500,1,72000,2,7200,3,1440,0,0,99,4752000,0,0,4
1340450106,13404501,6,8,6阶·,5,10,15100103,2000,1,90000,2,9000,3,1800,0,0,99,5940000,0,0,5
1340450107,13404501,7,8,7阶·,0,0,0,0,1,120000,2,12000,3,2400,0,0,99,7920000,0,0,6
1340550101,13405501,1,6,1阶·,5,1,15100103,100,1,0,2,0,3,0,0,0,99,0,0,0,0
1340550102,13405501,2,8,2阶·,5,2,15100103,300,1,18000,2,1800,3,360,0,0,99,1188000,0,0,1
1340550103,13405501,3,8,3阶·,5,3,15100103,600,1,36000,2,3600,3,720,0,0,99,2376000,0,0,2
1340550104,13405501,4,8,4阶·,5,5,15100103,1000,1,54000,2,5400,3,1080,0,0,99,3564000,0,0,3
1340550105,13405501,5,8,5阶·,5,8,15100103,1500,1,72000,2,7200,3,1440,0,0,99,4752000,0,0,4
1340550106,13405501,6,8,6阶·,5,10,15100103,2000,1,90000,2,9000,3,1800,0,0,99,5940000,0,0,5
1340550107,13405501,7,8,7阶·,0,0,0,0,1,120000,2,12000,3,2400,0,0,99,7920000,0,0,6
