id,type,param1,param2,index,award_item1,num1,award_item2,num2,award_item3,num3,explain
10101,1,0,0,1,91000002,320,13000001,45,0,0,设置地区
10201,2,0,0,1,91000002,260,91000001,300000,13000001,45,关注粉丝页
10301,3,0,0,1,42010001,2,13000001,30,0,0,五星好评
10401,4,0,0,1,42010001,3,13000001,30,0,0,绑定手机
10501,5,1,0,1,91000002,200,91000001,500000,0,0,邀请好友
10502,5,2,0,2,91000002,360,13000001,60,0,0,邀请好友
10503,5,3,0,3,91000002,500,13000001,100,0,0,邀请好友
10504,5,4,0,4,42010001,2,13000001,120,0,0,邀请好友
10505,5,5,0,5,42010001,2,13000002,20,0,0,邀请好友
10506,5,6,0,6,42010001,2,13000002,60,0,0,邀请好友
10601,6,6,0,1,91000002,60,0,0,0,0,充值任务
10602,6,30,0,2,91000002,240,0,0,0,0,充值任务
10603,6,68,0,3,91000002,380,0,0,0,0,充值任务
10604,6,138,0,4,91000002,700,0,0,0,0,充值任务
10605,6,276,0,5,91000002,1380,0,0,0,0,充值任务
10606,6,552,0,6,91000002,2760,0,0,0,0,充值任务
10607,6,1104,0,7,91000002,5520,0,0,0,0,充值任务
10608,6,2208,0,8,91000002,11040,0,0,0,0,充值任务
