skillid,name,intr,lv,unlock,lvupneed1,returnnum1,lvupnum1,lvupneed2,lvupnum2,returnnum2,lvupneed3,lvupnum3,returnnum3,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,icon
1001,技能啊,米啊奥术,1,1,91000002,1,1,91000001,1,0,0,0,0,6,10,7,10,8,10,9,10,100203
1001,技能啊,米啊奥术,2,1,91000002,3,2,91000001,2,0,0,0,0,6,11,7,11,8,11,9,11,100203
1001,技能啊,米啊奥术,3,1,91000002,6,3,91000001,3,0,0,0,0,6,12,7,12,8,12,9,12,100203
1001,技能啊,米啊奥术,4,1,91000002,10,4,91000001,4,0,0,0,0,6,13,7,13,8,13,9,13,100203
1001,技能啊,米啊奥术,5,1,91000002,15,5,91000001,5,0,0,0,0,6,14,7,14,8,14,9,14,100203
1001,技能啊,米啊奥术,6,1,91000002,21,6,91000001,6,0,0,0,0,6,15,7,15,8,15,9,15,100203
1001,技能啊,米啊奥术,7,1,91000002,28,7,91000001,7,0,0,0,0,6,16,7,16,8,16,9,16,100203
1001,技能啊,米啊奥术,8,1,91000002,36,8,91000001,8,0,0,0,0,6,17,7,17,8,17,9,17,100203
1001,技能啊,米啊奥术,9,1,91000002,45,9,91000001,9,0,0,0,0,6,18,7,18,8,18,9,18,100203
1001,技能啊,米啊奥术,10,1,91000002,55,10,91000001,10,0,0,0,0,6,19,7,19,8,19,9,19,100203
1001,技能啊,米啊奥术,11,1,91000002,66,11,91000001,11,0,0,0,0,6,20,7,20,8,20,9,20,100203
1001,技能啊,米啊奥术,12,1,91000002,78,12,91000001,12,0,0,0,0,6,21,7,21,8,21,9,21,100203
1001,技能啊,米啊奥术,13,1,91000002,91,13,91000001,13,0,0,0,0,6,22,7,22,8,22,9,22,100203
1001,技能啊,米啊奥术,14,1,91000002,105,14,91000001,14,0,0,0,0,6,23,7,23,8,23,9,23,100203
1001,技能啊,米啊奥术,15,1,91000002,120,15,91000001,15,0,0,0,0,6,24,7,24,8,24,9,24,100203
1001,技能啊,米啊奥术,16,1,91000002,136,16,91000001,16,0,0,0,0,6,25,7,25,8,25,9,25,100203
1001,技能啊,米啊奥术,17,1,91000002,153,17,91000001,17,0,0,0,0,6,26,7,26,8,26,9,26,100203
1001,技能啊,米啊奥术,18,1,91000002,171,18,91000001,18,0,0,0,0,6,27,7,27,8,27,9,27,100203
1001,技能啊,米啊奥术,19,1,91000002,190,19,91000001,19,0,0,0,0,6,28,7,28,8,28,9,28,100203
1001,技能啊,米啊奥术,20,1,91000002,210,20,91000001,20,0,0,0,0,6,29,7,29,8,29,9,29,100203
1001,技能啊,米啊奥术,21,1,91000002,231,21,91000001,21,0,0,0,0,6,30,7,30,8,30,9,30,100203
1001,技能啊,米啊奥术,22,1,91000002,253,22,91000001,22,0,0,0,0,6,31,7,31,8,31,9,31,100203
