id,lv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
8001,1,1,24000,2,1200,3,800,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,150000
8001,2,1,24480,2,1296,3,864,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,162000
8001,3,1,24960,2,1392,3,928,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,174000
8001,4,1,25500,2,1500,3,1000,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,187500
8001,5,1,26100,2,1620,3,1080,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,202500
8001,6,1,26700,2,1740,3,1160,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,217500
8001,7,1,27360,2,1872,3,1248,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,234000
8001,8,1,28080,2,2016,3,1344,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,252000
8001,9,1,28860,2,2172,3,1448,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,271500
8001,10,1,29700,2,2340,3,1560,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,292500
8001,11,1,30600,2,2520,3,1680,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,315000
8001,12,1,31560,2,2712,3,1808,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,339000
8001,13,1,32640,2,2928,3,1952,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,366000
8001,14,1,33780,2,3156,3,2104,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,394500
8001,15,1,35040,2,3408,3,2272,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,426000
8001,16,1,36360,2,3672,3,2448,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,459000
8001,17,1,37800,2,3960,3,2640,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,495000
8001,18,1,39360,2,4272,3,2848,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,534000
8001,19,1,41040,2,4608,3,3072,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,576000
8001,20,1,42840,2,4968,3,3312,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,621000
8001,21,1,44820,2,5364,3,3576,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,670500
8001,22,1,46920,2,5784,3,3856,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,723000
8001,23,1,49200,2,6240,3,4160,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,780000
8001,24,1,51660,2,6732,3,4488,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,841500
8001,25,1,54300,2,7260,3,4840,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,907500
8001,26,1,57180,2,7836,3,5224,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,979500
8001,27,1,60300,2,8460,3,5640,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1057500
8001,28,1,63660,2,9132,3,6088,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1141500
8001,29,1,67260,2,9852,3,6568,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1231500
8001,30,1,71160,2,10632,3,7088,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1329000
8001,31,1,75360,2,11472,3,7648,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1434000
8001,32,1,79920,2,12384,3,8256,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1548000
8001,33,1,84840,2,13368,3,8912,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1671000
8001,34,1,90180,2,14436,3,9624,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1804500
8001,35,1,95940,2,15588,3,10392,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,1948500
8001,36,1,102120,2,16824,3,11216,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,2103000
8001,37,1,108840,2,18168,3,12112,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,2271000
8001,38,1,116100,2,19620,3,13080,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,2452500
8001,39,1,123900,2,21180,3,14120,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,2647500
8001,40,1,132360,2,22872,3,15248,0,0,0,0,0,0,0,0,21,20000,22,0,38,0,99,2859000
