sequence,type,location,item,itname,starttime,endtime
1,1,0,11300401,凤凰之心,0,0
2,1,0,11200401,精灵妖狐,0,0
3,1,0,11200601,圣殿先锋,0,0
4,1,0,11201001,熔岩斗士,0,0
5,1,0,11301201,北岭之弓,0,0
6,1,0,11400101,星界猎人,0,0
7,1,0,11101001,灵翼刺客,0,0
8,1,0,11400901,女伯爵,0,0
9,1,0,11300601,部族贤者,0,0
10,1,0,11300801,觅血屠夫,0,0
11,1,0,11100701,灾祸使者,0,0
12,1,0,11400801,仙林女神,0,0
13,1,0,11401001,元素之女,0,0
14,1,0,11101101,影之牙,0,0
15,1,0,11300901,夺灵者,0,0
16,1,0,11100201,仲裁官,0,0
17,1,0,11300201,黑羽之箭,0,0
18,1,0,11300501,刀魂,0,0
19,1,0,11300301,魅魔女王,0,0
20,2,0,11300101,火焰领主,0,0
21,2,0,11301101,烈火精灵,0,0
22,2,0,11400201,雷霆之王,0,0
23,2,0,11100801,唤魂妖姬,0,0
24,2,0,11300701,灵界大帝,0,0
25,2,0,11400401,碎颅者,0,0
26,2,0,11200101,暮光骑士,0,0
27,2,0,11200501,荒漠可汗,0,0
28,99,0,11100301,天怒战姬,0,0
29,99,0,11100901,黑暗主教,0,0
30,99,0,11301001,堕落天使,0,0
31,4,0,42000001,升星石,0,0
32,4,0,42600101,霸王铠,0,0
33,4,0,42600102,白银甲,0,0
34,4,0,42600103,羽日袍,0,0
35,4,0,42600104,统御坠,0,0
36,4,0,42600105,金石坠,0,0
37,4,0,42600106,石吊坠,0,0
38,4,0,42100104,关羽魂器,0,0
39,4,0,42100204,张飞魂器,0,0
40,4,0,42100304,马超魂器,0,0
41,4,0,42100504,黄忠魂器,0,0
42,4,0,42100704,庞统魂器,0,0
43,4,0,42100804,黄月英魂器,0,0
44,4,0,42100904,刘备魂器,0,0
45,4,0,42101004,孙尚香魂器,0,0
46,4,0,42200104,甄姬魂器,0,0
47,4,0,42200204,许褚魂器,0,0
48,4,0,42200304,荀彧魂器,0,0
49,4,0,42200404,蔡文姬魂器,0,0
50,4,0,42200504,张辽魂器,0,0
51,4,0,42200604,曹仁魂器,0,0
52,4,0,42200804,郭嘉魂器,0,0
53,4,0,42200904,曹操魂器,0,0
54,4,0,42201004,夏侯惇魂器,0,0
55,4,0,42300104,高顺魂器,0,0
56,4,0,42300204,小乔魂器,0,0
57,4,0,42300304,吕蒙魂器,0,0
58,4,0,42300404,陆逊魂器,0,0
59,4,0,42300504,太史慈魂器,0,0
60,4,0,42300604,孙权魂器,0,0
61,4,0,42300704,周泰魂器,0,0
62,4,0,42300804,韩当魂器,0,0
63,4,0,42300904,大乔魂器,0,0
64,4,0,42400204,祝融魂器,0,0
65,4,0,42400304,貂蝉魂器,0,0
66,4,0,42400504,孟获魂器,0,0
67,4,0,42400604,贾诩魂器,0,0
68,4,0,42400704,华雄魂器,0,0
69,4,0,42400804,华佗魂器,0,0
70,4,0,42400904,庞德魂器,0,0
71,4,0,42401004,张角魂器,0,0
