id,month,sign,reward,number,vip,reset
1,1,1,42010001,50,1,1
2,1,2,13000002,60,1,0
3,1,3,91000002,50000,1,0
4,1,4,42010001,20,1,0
5,1,5,30020024,1,1,0
6,1,6,42010003,2,1,0
7,1,7,40000003,30,1,0
8,1,8,42010001,30,1,0
9,1,9,13000002,60,1,0
10,1,10,91000002,50000,1,0
11,1,11,42010001,20,1,0
12,1,12,30020026,1,1,0
13,1,13,42010003,2,1,0
14,1,14,40000003,30,1,0
15,1,15,42010001,30,1,0
16,1,16,13000002,60,1,0
17,1,17,91000002,50000,1,0
18,1,18,42010001,20,1,0
19,1,19,30020025,1,1,0
20,1,20,42010003,2,1,0
21,1,21,40000003,30,1,0
22,1,22,42010001,30,1,0
23,1,23,13000002,60,1,0
24,1,24,91000002,50000,1,0
25,1,25,42010001,20,1,0
26,1,26,30020027,1,1,0
27,1,27,42010003,2,1,0
28,1,28,40000003,30,1,0
29,1,29,91000002,500000,1,0
30,1,30,30200101,1,1,0
