id,group,lv,hp,starthp,Level1,drop1,Level2,drop2,Level3,drop3,diamond_time,diamond1,diamond_chance1,diamond2,diamond_chance2,diamond3,diamond_chance3,personalitem1,personalnum1,personalitem2,personalnum2,personalitem3,personalnum3,guilditem1,guildnum1,guilditem2,guildnum2,guilditem3,guildnum3
1,1001,1,5000,0,0,30001,111240,30001,111740,30001,3,30020009,2500,30020010,1500,30020011,1000,91000001,5000,91000025,130,0,0,91000001,2500,91000025,65,0,0
2,1001,2,10000,5000,0,30001,111240,30001,111740,30001,0,0,0,0,0,0,0,91000001,10000,91000025,195,0,0,91000001,5000,91000025,97,0,0
3,1001,3,20000,10000,0,30001,111240,30010,111740,30010,0,0,0,0,0,0,0,91000001,15000,91000025,260,0,0,91000001,7500,91000025,130,0,0
4,1001,4,40000,20000,0,30010,111240,30010,111740,30010,0,0,0,0,0,0,0,91000001,20000,91000025,325,0,0,91000001,10000,91000025,162,0,0
5,1001,5,70000,40000,0,30010,111240,30010,111740,30002,0,0,0,0,0,0,0,91000001,30000,91000025,390,0,0,91000001,15000,91000025,195,0,0
6,1001,6,120000,70000,0,30010,111240,30002,111740,30002,0,0,0,0,0,0,0,91000001,40000,91000025,455,0,0,91000001,20000,91000025,227,0,0
7,1001,7,220000,120000,0,30002,111240,30002,111740,30011,0,0,0,0,0,0,0,91000001,60000,91000025,520,0,0,91000001,30000,91000025,260,0,0
8,1001,8,450000,220000,0,30002,111240,30011,111740,30011,0,0,0,0,0,0,0,91000001,80000,91000025,585,0,0,91000001,40000,91000025,292,0,0
9,1001,9,820000,450000,0,30011,111240,30011,111740,30003,0,0,0,0,0,0,0,91000001,100000,91000025,650,0,0,91000001,50000,91000025,325,0,0
10,1001,10,1550000,820000,0,30011,111240,30003,111740,30003,0,0,0,0,0,0,0,91000001,200000,91000025,715,0,0,91000001,100000,91000025,357,0,0
11,1001,11,3000000,1550000,0,30003,111240,30003,111740,30012,0,0,0,0,0,0,0,91000001,300000,91000025,780,0,0,91000001,150000,91000025,390,0,0
12,1001,12,5500000,3000000,0,30003,111240,30012,111740,30012,0,0,0,0,0,0,0,91000001,400000,91000025,845,0,0,91000001,200000,91000025,422,0,0
13,1001,13,10000000,5500000,0,30012,111240,30012,111740,30013,0,0,0,0,0,0,0,91000001,500000,91000025,910,0,0,91000001,250000,91000025,455,0,0
14,1001,14,20000000,10000000,0,30012,111240,30013,111740,30013,0,0,0,0,0,0,0,91000001,600000,91000025,975,0,0,91000001,300000,91000025,487,0,0
15,1001,15,45000000,20000000,0,30013,111240,30013,111740,30014,0,0,0,0,0,0,0,91000001,700000,91000025,1040,0,0,91000001,350000,91000025,520,0,0
