type,parm1,parm2,parm3,general,speak,show_speak,sound,soundtime
1,0,4008,0,1001,,0,0,0
1,0,0,0,1001,,0,0,0
2,0,0,0,1001,,0,0,0
3,0,0,0,1001,,0,0,0
1,0,0,0,1002,,0,0,0
2,0,0,0,1002,,0,0,0
2,1200060,403,0,406,,1,VO_Guid/zhandou_guanka0106_2_zhangfei,80
2,0,4008,0,1002,,0,0,0
7,1200060,405,0,406,,1,VO_Guid/zhandou_guanka0106_3_zhangfei,80
1,0,0,0,1003,,0,0,0
2,0,0,0,1003,,0,0,0
3,0,0,0,1003,,0,0,0
1,0,0,0,1004,,0,0,0
2,0,0,0,1004,,0,0,0
3,0,0,0,1004,,0,0,0
1,0,0,0,1005,,0,0,0
2,0,0,0,1005,,0,0,0
3,0,0,0,1005,,0,0,0
1,0,0,0,1006,,0,0,0
2,0,0,0,1006,,0,0,0
3,0,0,0,1006,,0,0,0
1,0,0,0,1007,,0,0,0
2,0,0,0,1007,,0,0,0
3,0,0,0,1007,,0,0,0
1,0,0,0,1008,,0,0,0
2,0,0,0,1008,,0,0,0
3,0,0,0,1008,,0,0,0
1,0,0,0,1009,,0,0,0
2,0,0,0,1009,,0,0,0
3,0,0,0,1009,,0,0,0
1,0,0,0,1010,,0,0,0
2,0,0,0,1010,,0,0,0
3,0,0,0,1010,,0,0,0
1,0,0,0,2001,,0,0,0
2,0,0,0,2001,,0,0,0
3,0,0,0,2001,,0,0,0
1,0,0,0,2002,,0,0,0
2,0,0,0,2002,,0,0,0
3,0,0,0,2002,,0,0,0
1,0,0,0,2003,,0,0,0
2,0,0,0,2003,,0,0,0
3,0,0,0,2003,,0,0,0
1,0,0,0,2004,,0,0,0
2,0,0,0,2004,,0,0,0
3,0,0,0,2004,,0,0,0
1,0,0,0,2005,,0,0,0
2,0,0,0,2005,,0,0,0
3,0,0,0,2005,,0,0,0
1,0,0,0,2006,,0,0,0
2,0,0,0,2006,,0,0,0
3,0,0,0,2006,,0,0,0
1,0,0,0,2007,,0,0,0
2,0,0,0,2007,,0,0,0
3,0,0,0,2007,,0,0,0
1,0,0,0,2008,,0,0,0
2,0,0,0,2008,,0,0,0
3,0,0,0,2008,,0,0,0
1,0,0,0,2009,,0,0,0
2,0,0,0,2009,,0,0,0
3,0,0,0,2009,,0,0,0
1,0,0,0,2010,,0,0,0
2,0,0,0,2010,,0,0,0
3,0,0,0,2010,,0,0,0
1,0,0,0,3001,,0,0,0
2,0,0,0,3001,,0,0,0
3,0,0,0,3001,,0,0,0
7,1200010,102,0,3001,,0,VO_Guid/zhandou_guanka0101_1_huanggai,80
1,0,0,0,3002,,0,0,0
2,0,0,0,3002,,0,0,0
3,0,0,0,3002,,0,0,0
1,0,0,0,3003,,0,0,0
2,0,0,0,3003,,0,0,0
3,0,0,0,3003,,0,0,0
1,0,0,0,3004,,0,0,0
2,0,0,0,3004,,0,0,0
3,0,0,0,3004,,0,0,0
1,0,0,0,3005,,0,0,0
2,0,0,0,3005,,0,0,0
3,0,0,0,3005,,0,0,0
1,0,0,0,3006,,0,0,0
2,0,0,0,3006,,0,0,0
3,0,0,0,3006,,0,0,0
1,0,0,0,3007,,0,0,0
2,0,0,0,3007,,0,0,0
3,0,0,0,3007,,0,0,0
1,0,0,0,3008,,0,0,0
2,0,0,0,3008,,0,0,0
3,0,0,0,3008,,0,0,0
1,0,0,0,3009,,0,0,0
2,0,0,0,3009,,0,0,0
3,0,0,0,3009,,0,0,0
1,0,0,0,3010,,0,0,0
2,0,0,0,3010,,0,0,0
3,0,0,0,3010,,0,0,0
1,0,0,0,4001,,0,0,0
2,0,0,0,4001,,0,0,0
3,0,0,0,4001,,0,0,0
1,0,0,0,4002,,0,0,0
2,0,0,0,4002,,0,0,0
3,0,0,0,4002,,0,0,0
1,0,0,0,4003,,0,0,0
2,0,0,0,4003,,0,0,0
3,0,0,0,4003,,0,0,0
1,0,0,0,4004,,0,0,0
2,0,0,0,4004,,0,0,0
3,0,0,0,4004,,0,0,0
1,0,0,0,4005,,0,0,0
2,0,0,0,4005,,0,0,0
3,0,0,0,4005,,0,0,0
1,0,0,0,4006,,0,0,0
2,0,0,0,4006,,0,0,0
3,0,0,0,4006,,0,0,0
1,0,0,0,4007,,0,0,0
2,0,0,0,4007,,0,0,0
3,0,0,0,4007,,0,0,0
1,0,0,0,4008,,0,0,0
2,0,0,0,4008,,0,0,0
3,0,0,0,4008,,0,0,0
1,0,0,0,4009,,0,0,0
2,0,0,0,4009,,0,0,0
3,0,0,0,4009,,0,0,0
1,0,0,0,4010,,0,0,0
2,0,0,0,4010,,0,0,0
3,0,0,0,4010,,0,0,0
7,1200010,3001,0,102,,0,VO_Guid/zhandou_guanka0101_1_zhurong,80
,,,,,,,
