checkpoint_group,levelid,drop_show1,drop_show2,drop_show3,drop_show4,item1,item1_lessnum,item1_morenum,item2,item2_lessnum,item2_morenum,item3,item3_lessnum,item3_morenum,victory_drop,failure_drop,victory_roulette
1,430101,91000001,80000011,79500101,79500201,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430102,91000001,80000011,79500102,79500202,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430103,91000001,80000011,79500103,79500203,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430104,91000001,80000011,79500104,79500204,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430105,91000001,80000011,79500105,79500205,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430106,91000001,80000011,79500106,79500206,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430107,91000001,80000011,79500301,79500401,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430108,91000001,80000011,79500302,79500402,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430109,91000001,80000011,79500303,79500403,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
1,430110,91000001,80000011,79500304,79500404,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430201,91000001,80000011,79500305,79500405,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430202,91000001,80000011,79500306,79500406,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430203,91000001,80000011,79500501,79500601,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430204,91000001,80000011,79500502,79500602,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430205,91000001,80000011,79500503,79500603,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430206,91000001,80000011,79500504,79500604,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430207,91000001,80000011,79500505,79500605,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430208,91000001,80000011,79500506,79500606,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430209,91000001,80000011,79500701,79500101,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
2,430210,91000001,80000011,79500702,79500102,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430301,91000001,80000011,79500703,79500103,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430302,91000001,80000011,79500704,79500104,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430303,91000001,80000011,79500705,79500105,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430304,91000001,80000011,79500706,79500106,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430305,91000001,80000011,79500201,79500301,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430306,91000001,80000011,79500202,79500302,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430307,91000001,80000011,79500203,79500303,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430308,91000001,80000011,79500204,79500304,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430309,91000001,80000011,79500205,79500305,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
3,430310,91000001,80000011,79500206,79500306,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
4,430001,0,0,0,0,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
4,430002,0,0,0,0,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
4,430003,0,0,0,0,91000039,15,25,91000037,40,60,91000036,5,15,80001,80002,80003
