id,name,tab,coins1,coins2,coins3,pos_x,pos_y,distance,icon_size,show_plus1,show_plus2,show_plus3,instructions
1,newGameMainUI,0,91000001,91000002,0,-520,-44,170,125,0,1,0,主界面
2,YingXiong,0,0,0,0,-350,-44,170,125,0,0,0,英雄界面
3,equipUpGradeUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,装备强化界面
4,bigShrineUpUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,大圣堂进阶
5,bigShrineResetUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,大圣堂重置
6,bigShrineDisbandUI,0,91000044,91000045,0,-350,-44,170,125,0,0,0,大圣堂遣散
7,bigShrineBackUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,大圣堂回退
8,heroListUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,英雄列表
9,esxsclusiveEquipUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,专属强化
10,rewardcolumnUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,悬赏
11,artifactUpgrade,0,91000001,91000002,0,-350,-44,170,125,0,1,0,神器强化
12,summon_hallUI,1,42010001,91000002,0,-350,-44,170,125,0,1,0,高级召唤
13,summon_hallUI,2,91000048,91000002,0,-350,-44,170,125,0,1,0,友情召唤
14,summon_hallUI,3,42010002,91000002,0,-350,-44,170,125,0,1,0,阵营召唤
15,magicDragonUI,0,40000022,40000023,0,-350,-44,170,125,0,0,0,巨兽
16,magicDragonUpdateUI,0,40000022,40000023,0,-350,-44,170,125,0,0,0,巨兽
17,shop_mainUI,1,91000001,91000002,0,-350,-44,170,125,0,1,0,杂货商店
18,shop_mainUI,2,91000025,91000002,0,-350,-44,170,125,0,1,0,公会商店
19,shop_mainUI,3,91000045,91000002,0,-350,-44,170,125,0,1,0,遣散商店
20,shop_mainUI,4,91000051,91000002,0,-350,-44,170,125,0,1,0,地牢商店
21,shop_mainUI,5,91000050,91000002,0,-350,-44,170,125,0,1,0,高阶竞技场商店
22,HuoDong_MaoYiGang,0,91000001,91000002,0,-350,-44,170,125,0,0,0,集市
23,resonanceCrystalUI,0,91000049,91000002,0,-350,-44,170,125,0,1,0,共鸣水晶
24,maze_ui,0,91000051,91000002,0,-350,-44,170,125,0,0,0,地牢
25,limitActivityUI,0,91000001,91000002,0,-350,-44,170,125,0,1,0,限时活动
26,firstWeekActivityUI,0,91000001,91000002,0,-350,-44,170,125,0,0,1,七日狂欢
27,AstrologyMainUI,0,42010003,91000002,0,-350,-44,170,125,0,1,0,占星
28,CollectActivityUI,0,42010001,42010002,91000002,-520,-44,170,125,0,0,1,收藏家
29,summon_hallUI,4,91000002,0,0,-180,-44,170,125,1,0,0,自选召唤
30,LimitGiftPackShopUI,0,91000001,91000002,0,-350,-44,170,125,1,0,0,福利界面
31,XianShiShenJiang,0,91000002,42010004,0,-350,-44,170,125,1,0,0,次元召唤
32,HonourShopUI,0,91000001,91000002,0,-350,-44,170,125,0,0,0,荣誉商店
33,costfightUI,0,91000002,0,0,-180,-44,170,125,1,0,0,无双神将
34,costawardUI,0,91000028,91000029,91000002,-520,-44,170,125,0,0,1,无双神将
