id,group,rank_min,rank_max,normal_award1,normal_num1,normal_award2,normal_num2,normal_award3,normal_num3,normal_award4,normal_num4,normal_award5,normal_num5,need_point,extra_award1,extra_num1,extra_award2,extra_num2,extra_award3,extra_num3,mail_title,mail_txt1,mail_txt2,mail_txt3
1,1,1,1,12500701,120,40000004,200,91000056,800,91000002,300000,0,0,6000,12500701,120,40000005,300,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
2,1,2,2,12500701,60,40000004,150,91000056,600,91000002,200000,0,0,6000,12500701,60,40000005,150,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
3,1,3,3,12500701,60,40000004,100,91000056,400,91000002,100000,0,0,6000,12500701,60,40000005,50,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
4,1,4,4,12500701,60,40000004,40,91000056,350,91000001,400000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
5,1,5,5,12500701,60,40000004,40,91000056,320,91000001,380000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
6,1,6,6,12500701,60,40000004,40,91000056,300,91000001,360000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
7,1,7,7,12500701,60,40000004,40,91000056,280,91000001,340000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
8,1,8,8,12500701,60,40000004,40,91000056,260,91000001,320000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
9,1,9,9,12500701,60,40000004,40,91000056,240,91000001,300000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
10,1,10,10,12500701,60,40000004,40,91000056,220,91000001,280000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
11,1,11,20,13000002,240,40000003,80,91000056,200,91000001,260000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
12,1,21,30,13000002,180,40000003,60,91000056,150,91000001,240000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
13,1,31,50,13000002,120,40000003,40,91000056,100,91000001,220000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
14,1,51,100,13000002,60,40000003,20,91000056,50,91000001,200000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
15,10001,1,1,12500701,120,40000004,200,91000056,800,91000002,300000,0,0,6000,12500701,120,40000005,300,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
16,10001,2,2,12500701,60,40000004,150,91000056,600,91000002,200000,0,0,6000,12500701,60,40000005,150,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
17,10001,3,3,12500701,60,40000004,100,91000056,400,91000002,100000,0,0,6000,12500701,60,40000005,50,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
18,10001,4,4,12500701,60,40000004,40,91000056,350,91000001,400000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
19,10001,5,5,12500701,60,40000004,40,91000056,320,91000001,380000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
20,10001,6,6,12500701,60,40000004,40,91000056,300,91000001,360000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
21,10001,7,7,12500701,60,40000004,40,91000056,280,91000001,340000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
22,10001,8,8,12500701,60,40000004,40,91000056,260,91000001,320000,0,0,0,0,0,0,0,0,0,次元召唤活动排行第{%d}名奖励,"恭喜你，在次元召唤积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在次元召唤互动积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在次元召唤活动积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
