id,group,type,pay,tasktypes,n1,n2,n3,n4,condition_txt,day,item1,num1,item2,num2,totle_show,multiple_show,button,effect_show,totle_effect_show
1001101,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,1,42010001,30,30000003,2,29999,45,超值购买,1|2,42010001
1001102,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,2,42010001,10,30000003,2,29999,45,超值购买,1|2,42010001
1001103,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,3,42010001,10,30000003,2,29999,45,超值购买,1|2,42010001
1001104,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,4,42010001,10,30000003,3,29999,45,超值购买,1|2,42010001
1001105,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,5,42010001,10,30000003,3,29999,45,超值购买,1|2,42010001
1001106,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,6,42010001,10,30000003,3,29999,45,超值购买,1|2,42010001
1001107,1,1,431,261,1,1,0,0,需激活普通月卡才可购买,7,42010001,20,30000003,4,29999,45,超值购买,1|2,42010001
1001201,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,1,42010002,30,30010003,1,49999,25,特惠购买,1,42010002
1001202,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,2,42010002,10,30010003,1,49999,25,特惠购买,1,42010002
1001203,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,3,42010002,10,30010003,1,49999,25,特惠购买,1,42010002
1001204,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,4,42010002,10,30010003,2,49999,25,特惠购买,1,42010002
1001205,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,5,42010002,10,30010003,2,49999,25,特惠购买,1,42010002
1001206,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,6,42010002,10,30010003,2,49999,25,特惠购买,1,42010002
1001207,1,2,432,261,1,2,0,0,需激活超值月卡才可购买,7,42010002,20,30010003,3,49999,25,特惠购买,1,42010002
1001301,1,3,429,261,1,3,0,0,超值理财,1,42010001,50,30200000,1,2999900,450,特惠购买,1,42010001
1001302,1,3,429,261,1,3,0,0,超值理财,2,13000002,60,91000041,500000,2999900,450,特惠购买,1,13000002
1001303,1,3,429,261,1,3,0,0,超值理财,3,42010001,50,30200000,1,2999900,450,特惠购买,1,42010001
1001304,1,3,429,261,1,3,0,0,超值理财,4,30020036,1,30020037,1,2999900,450,特惠购买,1,30020036
1001305,1,3,429,261,1,3,0,0,超值理财,5,42010001,100,30200000,1,2999900,450,特惠购买,1,42010001
1001306,1,3,429,261,1,3,0,0,超值理财,6,30020038,1,30020039,1,2999900,450,特惠购买,1,30020038
1001307,1,3,429,261,1,3,0,0,超值理财,7,42010001,100,30200000,1,2999900,450,特惠购买,1,42010001
1001401,1,4,430,261,1,3,0,0,超值理财,1,30200101,1,42010002,50,4999900,250,特惠购买,1,30200101
1001402,1,4,430,261,1,3,0,0,超值理财,2,30020049,1,30020050,1,4999900,250,特惠购买,1,30020049
1001403,1,4,430,261,1,3,0,0,超值理财,3,30200101,1,42010002,50,4999900,250,特惠购买,1,30200101
1001404,1,4,430,261,1,3,0,0,超值理财,4,30020049,1,30020050,1,4999900,250,特惠购买,1,30020049
1001405,1,4,430,261,1,3,0,0,超值理财,5,30200101,1,42010002,100,4999900,250,特惠购买,1,30200101
1001406,1,4,430,261,1,3,0,0,超值理财,6,30020008,30,40000004,30,4999900,250,特惠购买,1,30020008
1001407,1,4,430,261,1,3,0,0,超值理财,7,30200101,1,42010002,100,4999900,250,特惠购买,1,30200101
