id,hero_id,initial_quality,element_type,attacktype,first_robot_group,robot_group,attribute,hero_star,artifact_type,artifact_id,artifact_lv,exclusiveequip,exclusivelv,cart,group_attribute
1,1001,4,1,1,41,41,1,1,0,0,0,0,0,1,1
2,1001,4,1,1,41,41,1,2,0,0,0,0,0,1,1
3,1001,4,1,1,41,41,1,3,0,0,0,0,0,1,1
4,1001,4,1,1,41,41,1,4,0,0,0,0,0,1,1
5,1001,4,1,1,41,41,1,5,0,0,0,0,0,1,1
6,1001,4,1,1,41,41,1,6,0,0,0,0,0,1,1
7,1001,4,1,1,41,41,1,7,0,0,0,0,0,1,1
8,1001,4,1,1,41,41,1,8,0,0,0,0,0,1,1
9,1001,4,1,1,41,41,1,9,0,0,0,0,0,1,1
10,1001,4,1,1,41,41,1,10,0,0,0,0,0,1,1
11,1001,4,1,1,41,41,1,11,0,0,0,0,0,1,1
12,1001,4,1,1,41,41,1,12,0,0,0,0,0,1,1
13,1001,4,1,1,41,41,1,13,0,0,0,0,0,1,1
14,1001,4,1,1,41,41,1,14,0,0,0,0,0,1,1
15,1001,4,1,1,41,41,1,15,0,0,0,0,0,1,1
16,1001,4,1,1,41,41,1,16,0,0,0,0,0,1,1
17,1001,4,1,1,41,41,1,17,0,0,0,0,0,1,1
18,1001,4,1,1,41,41,1,18,0,0,0,0,0,1,1
19,1001,4,1,1,41,41,1,19,0,0,0,0,0,1,1
20,1001,4,1,1,41,41,1,20,0,0,0,0,0,1,1
21,1001,4,1,1,41,41,1,21,0,0,0,0,0,1,1
22,1001,4,1,1,41,41,1,22,0,0,0,0,0,1,1
23,1001,4,1,1,41,41,1,23,0,0,0,0,0,1,1
24,1001,4,1,1,41,41,1,24,0,0,0,0,0,1,1
25,1001,4,1,1,41,41,1,25,0,0,0,0,0,1,1
26,1001,4,1,1,41,41,1,26,0,0,0,0,0,1,1
27,1001,4,1,1,41,41,1,27,0,0,0,0,0,1,1
28,1001,4,1,1,41,41,1,28,0,0,0,0,0,1,1
29,1001,4,1,1,41,41,1,29,0,0,0,0,0,1,1
30,1001,4,1,1,41,41,1,30,0,0,0,0,0,1,1
31,1001,4,1,1,41,41,1,31,0,0,0,0,0,1,1
32,1001,4,1,1,41,41,1,32,0,0,0,0,0,1,1
33,1001,4,1,1,41,41,1,33,0,0,0,0,0,1,1
34,1001,4,1,1,41,41,1,34,0,0,0,0,0,1,1
