viplevel,need_exp,totle_exp,maze_fate_gold,maze_gold,astrologer,astrologer_tips,consumetop_num,level_speed,level_three_speed,jjc_skip,hero_list,reward_onekey,reward_itask,reward_teamtask,guild_hunting1,guild_hunting2,guild_sweep,hangup_gold,hangup_heroexp,hangup_fast,hangup_time,arena_free1,arena_free2,call_optional,boss_reset,time_generals_num,privilege1,privilege2,privilege3,privilege4,privilege5,privilege6,privilege7,privilege8,privilege9,privilege10,privilege11,privilege12,privilege13,privilege14,privilege15,privilege16,privilege17,privilege18,privilege19,privilege20,privilege21,privilege22,privilege23,privilege24,privilege25,privilege26,privilege27,privilege28,privilege29,privilege30,privilege31,privilege32,privilege33,privilege34,privilege35,flag,beforenum,nownum,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6,extend_group,hero_show,explain_pic1,effect_explain,explain_pic,effect_position,daily_times,tasktypes,n1,n2,n3,n4,daily_item1,daily_num1,daily_item2,daily_num2,daily_item3,daily_num3,daily_item4,daily_num4,daily_effect_position,daily_effect_position,beautyclick,horse_higt_call
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,2,0,0,0,1,43200,2,2,0,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91000002,20,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,20,0,0,0,0,0,0,0,2,2,0,500,500,2,43200,3,3,0,99,30,0,0,0,0,0,0,0,英雄携带数量上限:[1]+3[0],0,0,0,0,0,0,0,0,0,0,0,次元召唤中每日召唤次数[1]20次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15|16|17|19,1000,10,91000041,5000,91000044,50,0,0,0,0,0,0,0,0,0,0,font_tequanlibao_yxwd_01,贵族1礼包,0,0,1,201,1,310,0,0,91000002,300,13000002,5,13000001,60,0,0,2,0,0,2
2,1,2,0,0,0,0,25,0,0,0,10,0,1,0,2,2,0,1000,1000,2,43200,3,3,0,99,40,0,0,0,0,0,0,0,英雄携带数量上限:[1]+5[0],0,0,0,0,0,0,0,0,0,0,0,次元召唤中每日召唤次数[1]30次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8|10,10000,100,91000041,10000,91000044,50,91000001,10000,0,0,0,0,0,0,0,0,font_tequanlibao_yxwd_01,贵族2礼包,0,0,1,201,1,311,0,0,91000002,300,13000002,10,13000001,60,0,0,2,0,0,3
3,1,3,0,0,0,0,30,0,0,0,15,1,1,0,2,2,0,2000,2000,3,50400,4,4,0,99,50,0,0,0,0,0,0,0,英雄携带数量上限:[1]+8[0],0,0,0,0,0,0,0,0,0,0,0,次元召唤中每日召唤次数[1]40次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|6|9|18|20,100000,1000,91000041,20000,91000044,50,91000001,20000,0,0,0,0,0,0,0,0,font_tequanlibao_yxwd_01,贵族3礼包,0,0,1,201,1,312,0,0,91000002,300,13000002,20,13000001,60,0,0,2,0,0,4
4,1,4,0,0,0,0,35,0,0,0,20,1,1,0,2,2,0,2500,2500,3,57600,4,4,0,99,60,0,0,0,0,0,0,0,英雄携带数量上限:[1]+10[0],0,0,0,0,0,0,挂机额外获得英雄经验[1]+5%[0],挂机额外获得金币[1]+5%[0],每日快速挂机次数增加[1]+2[0],0,竞技场每日免费次数提升至[1]1次[0],次元召唤中每日召唤次数[1]50次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,3000,91000041,30000,42010001,2,91000044,50,0,0,0,0,0,0,0,0,font_tequanlibao_yxwd_01,挂机资源增加,贵族4礼包,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,1,5,0,0,0,0,40,0,0,0,25,1,2,0,2,2,0,3000,3000,3,64800,5,5,1,99,80,0,0,0,0,0,0,0,英雄携带数量上限:[1]+12[0],0,赏金个人任务每日新增任务数量增加至[1]6个[0],0,0,0,0,挂机额外获得英雄经验[1]+10%[0],挂机额外获得金币[1]+10%[0],每日快速挂机次数增加+2,0,竞技场每日免费次数提升至1次,次元召唤中每日召唤次数[1]60次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,5000,42010001,4,91000041,40000,91000001,500000,0,0,0,0,0,0,0,0,font_tequanlibao_yxwd_04,赏金任务增加,贵族5礼包,0,1,201,1,314,0,0,91000002,300,13000002,20,13000001,60,0,0,2,0,0,6
6,1,6,0,0,0,0,45,0,0,1,30,1,2,1,3,3,1,5000,5000,5,86400,5,5,1,99,80,0,0,0,0,0,0,0,英雄携带数量上限:[1]+15[0],解锁赏金任务一键领取和一键派遣,赏金个人任务每日新增任务数量增加至6个,0,0,0,0,挂机额外获得英雄经验[1]+20%[0],挂机额外获得金币[1]+20%[0],每日快速挂机次数增加[1]+3[0],提升挂机奖励可以累计的时间上限[1]+2小时[0],竞技场每日免费次数提升至[1]2次[0],次元召唤中每日召唤次数[1]80次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7|11|12|13|14,800000,8000,42010001,6,40000011,2,91000044,200,91000001,1000000,0,0,0,0,0,0,font_tequanlibao_yxwd_04,赏金一键派遣,贵族6礼包,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,1,7,0,0,0,0,50,0,0,1,35,1,2,1,3,3,1,5600,5600,5,129600,6,6,2,99,100,0,0,0,0,0,0,0,英雄携带数量上限:[1]+20[0],解锁赏金任务一键领取和一键派遣,赏金个人任务每日新增任务数量增加至6个,0,0,0,0,挂机额外获得英雄经验[1]+25%[0],挂机额外获得金币[1]+25%[0],每日快速挂机次数增加+3,提升挂机奖励可以累计的时间上限[1]+4小时[0],竞技场每日免费次数提升至2次,次元召唤中每日召唤次数80次,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,12000,13000002,60,13000001,180,81000002,10,91000001,1500000,0,0,0,0,0,0,font_tequanlibao_yxwd_04,勇士魂石礼包,贵族7礼包,1,2,201,1,316,0,0,91000002,300,13000002,30,13000001,60,0,0,2,0,1,20
8,1,8,0,0,0,0,200,0,0,1,40,1,3,1,3,3,1,6000,6000,5,216000,6,6,2,99,150,自选召唤中获得指定英雄额外次数:[1]+1[0],0,0,0,0,0,0,英雄携带数量上限:[1]+25[0],解锁赏金任务一键领取和一键派遣,赏金个人任务每日新增任务数量增加至[1]7个[0],0,0,0,0,挂机额外获得英雄经验[1]+30%[0],挂机额外获得金币[1]+30%[0],每日快速挂机次数增加+3,提升挂机奖励可以累计的时间上限[1]+6小时[0],竞技场每日免费次数提升至[1]3次[0],次元召唤中每日召唤次数[1]100次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280000,22800,30020040,1,13000001,360,40000011,3,91000001,1500000,0,0,0,0,0,3002,font_tequanlibao_yxwd_04,输出英雄礼包,贵族8礼包|可自选,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
9,1,9,0,0,1,0,500,0,0,1,45,1,3,1,3,3,1,9000,9000,7,302400,7,7,2,99,1000,自选召唤中获得指定英雄额外次数:+1,0,0,0,0,0,开启竞技场跳过功能,英雄携带数量上限:[1]+30[0],解锁赏金任务一键领取和一键派遣,赏金个人任务每日新增任务数量增加至7个,赏金团队任务每日新增任务数量增加至[1]2个[0],公会普通首领挑战次数增加：[1]3次[0],公会特殊首领挑战次数增加[1]3次[0],开启公会狩猎扫荡,挂机额外获得英雄经验[1]+50%[0],挂机额外获得金币[1]+50%[0],每日快速挂机次数增加[1]+5[0],提升挂机奖励可以累计的时间上限[1]+12小时[0],竞技场每日免费次数提升至3次,次元召唤中每日召唤次数[1]150次[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3280000,32800,30200000,1,13000002,60,30020028,1,30020029,1,0,0,0,0,0,0,font_tequanlibao_yxwd_03,公会狩猎扫荡,贵族9礼包,1,2,201,1,318,0,0,91000002,600,13000002,30,13000001,60,0,0,2,0,1,40
