id,prefix_name,name,quality,star,hole_count,extract_attribute_num,attribute_list_group,skill_lv,skill_id,decompose_itembaggroup1,decompose_itembaggroup2,hole1_lv,hole2_lv,hole3_lv,hole4_lv,hole5_lv,hole6_lv,BattleSteed_mod
13100101,0,波比,1,1,3,2,1,0,0,100007,100003,20,30,50,0,0,0,ma13100101
13100201,0,波比,1,2,3,3,1,0,0,100007,100003,20,30,50,0,0,0,ma13100101
13200101,0,波比,2,1,4,2,2,0,0,100008,100004,20,30,50,70,0,0,ma13100101
13200201,0,波比,2,2,4,3,2,0,0,100008,100004,20,30,50,70,0,0,ma13100101
13200301,0,波比,2,3,4,4,2,0,0,100008,100004,20,30,50,70,0,0,ma13100101
13300201,0,派拉鼠,4,2,5,3,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13300301,0,派拉鼠,4,3,5,4,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13300401,0,派拉鼠,4,4,5,5,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13301201,0,派拉鼠,4,2,5,3,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13301301,0,派拉鼠,4,3,5,4,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13301401,0,派拉鼠,4,4,5,5,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13302201,0,派拉鼠,4,2,5,3,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13302301,0,派拉鼠,4,3,5,4,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13302401,0,派拉鼠,4,4,5,5,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13303201,0,派拉鼠,4,2,5,3,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13303301,0,派拉鼠,4,3,5,4,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13303401,0,派拉鼠,4,4,5,5,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13304201,0,派拉鼠,4,2,5,3,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13304301,0,派拉鼠,4,3,5,4,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13304401,0,派拉鼠,4,4,5,5,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13305201,0,派拉鼠,4,2,5,3,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13305301,0,派拉鼠,4,3,5,4,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13305401,0,派拉鼠,4,4,5,5,3,0,0,100009,100005,20,30,50,70,90,0,ma13200101
13400301,1阶·,暗灵,6,3,6,4,4,1,80000101,100010,100006,20,30,50,70,90,100,ma13400301
13400401,1阶·,暗灵,6,4,6,5,4,1,80000102,100010,100006,20,30,50,70,90,100,ma13400301
13400501,1阶·,暗灵,6,5,6,6,4,1,80000103,100010,100006,20,30,50,70,90,100,ma13400301
13401301,1阶·,深渊蟹,6,3,6,4,4,1,80000401,100010,100006,20,30,50,70,90,100,ma13400302
13401401,1阶·,深渊蟹,6,4,6,5,4,1,80000402,100010,100006,20,30,50,70,90,100,ma13400302
13401501,1阶·,深渊蟹,6,5,6,6,4,1,80000403,100010,100006,20,30,50,70,90,100,ma13400302
13402301,1阶·,以太蜥,6,3,6,4,4,1,80000701,100010,100006,20,30,50,70,90,100,ma13400303
13402401,1阶·,以太蜥,6,4,6,5,4,1,80000702,100010,100006,20,30,50,70,90,100,ma13400303
13402501,1阶·,以太蜥,6,5,6,6,4,1,80000703,100010,100006,20,30,50,70,90,100,ma13400303
13403301,1阶·,光灵,6,3,6,4,4,1,80001001,100010,100006,20,30,50,70,90,100,ma13400304
13403401,1阶·,光灵,6,4,6,5,4,1,80001002,100010,100006,20,30,50,70,90,100,ma13400304
13403501,1阶·,光灵,6,5,6,6,4,1,80001003,100010,100006,20,30,50,70,90,100,ma13400304
13404301,1阶·,蝴蝶龙,6,3,6,4,4,1,80001301,100010,100006,20,30,50,70,90,100,ma13400305
13404401,1阶·,蝴蝶龙,6,4,6,5,4,1,80001302,100010,100006,20,30,50,70,90,100,ma13400305
13404501,1阶·,蝴蝶龙,6,5,6,6,4,1,80001303,100010,100006,20,30,50,70,90,100,ma13400305
13405301,1阶·,孢子龟,6,3,6,4,4,1,80001601,100010,100006,20,30,50,70,90,100,ma13400306
13405401,1阶·,孢子龟,6,4,6,5,4,1,80001602,100010,100006,20,30,50,70,90,100,ma13400306
13405501,1阶·,孢子龟,6,5,6,6,4,1,80001603,100010,100006,20,30,50,70,90,100,ma13400306
