lazyid,id,name,lv,needitem,neednum,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8
1001001,52010101,步兵,1,52010101,3,7,80,9,160,29,80,6,790,8,90,10,160,30,90,99,65800
1001002,52010101,步兵,2,52010101,6,7,150,9,300,29,150,6,1500,8,160,10,310,30,160,99,122500
1001003,52010101,步兵,3,52010101,12,7,320,9,640,29,320,6,3150,8,340,10,660,30,340,99,260000
1001004,52010101,步兵,4,52010101,24,7,610,9,1220,29,610,6,6050,8,660,10,1260,30,660,99,499000
1001005,52010101,步兵,5,52010101,40,7,1060,9,2120,29,1060,6,10460,8,1140,10,2180,30,1140,99,864200
1001006,52010101,步兵,6,52010101,64,7,1680,9,3360,29,1680,6,16630,8,1820,10,3470,30,1820,99,1374100
1001007,52010101,步兵,7,52010101,90,7,2510,9,5020,29,2510,6,24810,8,2710,10,5170,30,2710,99,2049700
1001008,52010101,步兵,8,52010101,120,7,3560,9,7120,29,3560,6,35200,8,3850,10,7330,30,3850,99,2908500
1001009,52010101,步兵,9,52010101,150,7,4850,9,9700,29,4850,6,48020,8,5250,10,10000,30,5250,99,3965400
1001010,52010101,步兵,10,52010101,180,7,6410,9,12820,29,6410,6,63470,8,6940,10,13220,30,6940,99,5241400
1001011,52010101,步兵,11,52010101,220,7,8260,9,16520,29,8260,6,81750,8,8940,10,17030,30,8940,99,6752500
1001012,52010101,步兵,12,52010101,260,7,10410,9,20820,29,10410,6,103050,8,11270,10,21470,30,11270,99,8511500
1001013,52010101,步兵,13,52010101,310,7,12890,9,25780,29,12890,6,127540,8,13950,10,26570,30,13950,99,10536300
1001014,52010101,步兵,14,52010101,350,7,15700,9,31400,29,15700,6,155420,8,17000,10,32380,30,17000,99,12837400
1001015,52010101,步兵,15,52010101,400,7,18880,9,37760,29,18880,6,186860,8,20440,10,38930,30,20440,99,15435700
1001016,52010101,步兵,16,52010101,460,7,22430,9,44860,29,22430,6,222010,8,24280,10,46250,30,24280,99,18337700
1001017,52010101,步兵,17,52010101,520,7,26380,9,52760,29,26380,6,261070,8,28550,10,54390,30,28550,99,21564900
1001018,52010101,步兵,18,52010101,580,7,30730,9,61460,29,30730,6,304170,8,33270,10,63370,30,33270,99,25124900
1001019,52010101,步兵,19,52010101,640,7,35520,9,71040,29,35520,6,351500,8,38450,10,73230,30,38450,99,29037500
1001020,52010101,步兵,20,0,0,7,40740,9,81480,29,40740,6,403200,8,44100,10,84000,30,44100,99,33306000
2001001,52010201,近卫军,1,52010201,3,7,160,9,320,29,160,6,1610,8,160,10,330,30,170,99,129700
2001002,52010201,近卫军,2,52010201,6,7,310,9,620,29,310,6,3060,8,310,10,620,30,320,99,248200
2001003,52010201,近卫军,3,52010201,12,7,660,9,1320,29,660,6,6430,8,660,10,1310,30,660,99,524100
2001004,52010201,近卫军,4,52010201,24,7,1260,9,2520,29,1260,6,12340,8,1260,10,2520,30,1270,99,1003800
2001005,52010201,近卫军,5,52010201,40,7,2180,9,4360,29,2180,6,21350,8,2180,10,4360,30,2200,99,1737000
2001006,52010201,近卫军,6,52010201,64,7,3470,9,6940,29,3470,6,33960,8,3470,10,6930,30,3500,99,2763700
2001007,52010201,近卫军,7,52010201,90,7,5170,9,10340,29,5170,6,50650,8,5170,10,10340,30,5220,99,4120000
2001008,52010201,近卫军,8,52010201,120,7,7330,9,14660,29,7330,6,71860,8,7330,10,14670,30,7410,99,5843700
2001009,52010201,近卫军,9,52010201,150,7,10000,9,20000,29,10000,6,98040,8,10000,10,20010,30,10100,99,7971300
2001010,52010201,近卫军,10,52010201,180,7,13220,9,26440,29,13220,6,129580,8,13220,10,26450,30,13360,99,10538100
2001011,52010201,近卫军,11,52010201,220,7,17030,9,34060,29,17030,6,166910,8,17030,10,34060,30,17200,99,13573200
2001012,52010201,近卫军,12,52010201,260,7,21470,9,42940,29,21470,6,210390,8,21470,10,42940,30,21680,99,17110800
2001013,52010201,近卫军,13,52010201,310,7,26570,9,53140,29,26570,6,260400,8,26570,10,53140,30,26840,99,21177000
2001014,52010201,近卫军,14,52010201,350,7,32380,9,64760,29,32380,6,317320,8,32380,10,64760,30,32700,99,25806400
2001015,52010201,近卫军,15,52010201,400,7,38930,9,77860,29,38930,6,381500,8,38930,10,77860,30,39320,99,31027000
2001016,52010201,近卫军,16,52010201,460,7,46250,9,92500,29,46250,6,453280,8,46250,10,92510,30,46720,99,36863100
2001017,52010201,近卫军,17,52010201,520,7,54390,9,108780,29,54390,6,533010,8,54390,10,108780,30,54930,99,43348200
2001018,52010201,近卫军,18,52010201,580,7,63370,9,126740,29,63370,6,621020,8,63370,10,126740,30,64000,99,50505400
2001019,52010201,近卫军,19,52010201,640,7,73230,9,146460,29,73230,6,717640,8,73230,10,146460,30,73960,99,58363800
2001020,52010201,近卫军,20,0,0,7,84000,9,168000,29,84000,6,823200,8,84000,10,168000,30,84840,99,66948000
1002001,52010102,弩手,1,52010102,3,7,80,9,160,29,80,6,810,8,80,10,160,30,90,99,65200
1002002,52010102,弩手,2,52010102,6,7,150,9,300,29,150,6,1540,8,160,10,300,30,160,99,122800
1002003,52010102,弩手,3,52010102,12,7,310,9,620,29,310,6,3250,8,330,10,620,30,340,99,256000
1002004,52010102,弩手,4,52010102,24,7,600,9,1200,29,600,6,6230,8,640,10,1200,30,660,99,494600
1002005,52010102,弩手,5,52010102,40,7,1050,9,2100,29,1050,6,10780,8,1100,10,2070,30,1140,99,858100
1002006,52010102,弩手,6,52010102,64,7,1660,9,3320,29,1660,6,17150,8,1750,10,3290,30,1820,99,1362500
1002007,52010102,弩手,7,52010102,90,7,2480,9,4960,29,2480,6,25580,8,2610,10,4910,30,2710,99,2033100
1002008,52010102,弩手,8,52010102,120,7,3520,9,7040,29,3520,6,36300,8,3700,10,6970,30,3850,99,2885500
1002009,52010102,弩手,9,52010102,150,7,4800,9,9600,29,4800,6,49520,8,5050,10,9500,30,5250,99,3935400
1002010,52010102,弩手,10,52010102,180,7,6350,9,12700,29,6350,6,65450,8,6680,10,12560,30,6940,99,5204000
1002011,52010102,弩手,11,52010102,220,7,8170,9,16340,29,8170,6,84300,8,8600,10,16180,30,8940,99,6700000
1002012,52010102,弩手,12,52010102,260,7,10300,9,20600,29,10300,6,106270,8,10840,10,20390,30,11270,99,8445900
1002013,52010102,弩手,13,52010102,310,7,12750,9,25500,29,12750,6,131530,8,13420,10,25240,30,13950,99,10454600
1002014,52010102,弩手,14,52010102,350,7,15540,9,31080,29,15540,6,160280,8,16350,10,30760,30,17000,99,12740600
1002015,52010102,弩手,15,52010102,400,7,18690,9,37380,29,18690,6,192690,8,19660,10,36980,30,20440,99,15319800
1002016,52010102,弩手,16,52010102,460,7,22200,9,44400,29,22200,6,228950,8,23360,10,43940,30,24280,99,18200000
1002017,52010102,弩手,17,52010102,520,7,26110,9,52220,29,26110,6,269220,8,27470,10,51670,30,28550,99,21402900
1002018,52010102,弩手,18,52010102,580,7,30420,9,60840,29,30420,6,313680,8,32000,10,60200,30,33270,99,24936600
1002019,52010102,弩手,19,52010102,640,7,35150,9,70300,29,35150,6,362480,8,36980,10,69570,30,38450,99,28816100
1002020,52010102,弩手,20,0,0,7,40320,9,80640,29,40320,6,415800,8,42420,10,79800,30,44100,99,33054000
2002001,52010202,神射手,1,52010202,3,7,160,9,320,29,160,6,1670,8,170,10,340,30,160,99,131400
2002002,52010202,神射手,2,52010202,6,7,300,9,600,29,300,6,3180,8,320,10,660,30,300,99,248600
2002003,52010202,神射手,3,52010202,12,7,630,9,1260,29,630,6,6690,8,660,10,1380,30,630,99,520800
2002004,52010202,神射手,4,52010202,24,7,1210,9,2420,29,1210,6,12850,8,1270,10,2650,30,1210,99,1000500
2002005,52010202,神射手,5,52010202,40,7,2090,9,4180,29,2090,6,22220,8,2200,10,4580,30,2090,99,1729400
2002006,52010202,神射手,6,52010202,64,7,3330,9,6660,29,3330,6,35350,8,3500,10,7280,30,3330,99,2753000
2002007,52010202,神射手,7,52010202,90,7,4960,9,9920,29,4960,6,52710,8,5220,10,10850,30,4960,99,4102700
2002008,52010202,神射手,8,52010202,120,7,7040,9,14080,29,7040,6,74790,8,7410,10,15400,30,7040,99,5822800
2002009,52010202,神射手,9,52010202,150,7,9600,9,19200,29,9600,6,102040,8,10100,10,21010,30,9600,99,7941300
2002010,52010202,神射手,10,52010202,180,7,12690,9,25380,29,12690,6,134870,8,13360,10,27770,30,12690,99,10497900
2002011,52010202,神射手,11,52010202,220,7,16350,9,32700,29,16350,6,173720,8,17200,10,35770,30,16350,99,13522900
2002012,52010202,神射手,12,52010202,260,7,20610,9,41220,29,20610,6,218970,8,21680,10,45080,30,20610,99,17045400
2002013,52010202,神射手,13,52010202,310,7,25510,9,51020,29,25510,6,271030,8,26840,10,55800,30,25510,99,21098600
2002014,52010202,神射手,14,52010202,350,7,31080,9,62160,29,31080,6,330270,8,32700,10,68000,30,31080,99,25707400
2002015,52010202,神射手,15,52010202,400,7,37370,9,74740,29,37370,6,397070,8,39320,10,81750,30,37370,99,30908900
2002016,52010202,神射手,16,52010202,460,7,44400,9,88800,29,44400,6,471780,8,46720,10,97130,30,44400,99,36724100
2002017,52010202,神射手,17,52010202,520,7,52210,9,104420,29,52210,6,554760,8,54930,10,114220,30,52210,99,43183200
2002018,52010202,神射手,18,52010202,580,7,60830,9,121660,29,60830,6,646370,8,64000,10,133080,30,60830,99,50313400
2002019,52010202,神射手,19,52010202,640,7,70300,9,140600,29,70300,6,746940,8,73960,10,153780,30,70300,99,58143800
2002020,52010202,神射手,20,0,0,7,80640,9,161280,29,80640,6,856800,8,84840,10,176400,30,80640,99,66696000
