id,event_id,office,spyid,chance,drop,boxpng,notice,png,name,txt
100101,2,1,72,50,30004,icon_msmq_01,0,1000,传令兵,主公！刚刚在街道上发现一名可疑男子酷似江洋大盗，是否需要将其拿下？
100102,2,1,73,30,30004,icon_msmq_02,0,1000,传令兵,主公！广场上的民众为了争抢活动地盘发生了争执，眼看就要打起来了！
100103,2,1,74,20,30004,icon_msmq_03,0,1000,传令兵,主公！运送军粮的马车因为道路崎岖发成侧翻，散落的粮食正遭到民众哄抢！
100201,2,2,72,50,30004,icon_msmq_01,0,1000,传令兵,主公！刚刚在街道上发现一名可疑男子酷似江洋大盗，是否需要将其拿下？
100202,2,2,73,30,30004,icon_msmq_02,0,1000,传令兵,主公！广场上的民众为了争抢活动地盘发生了争执，眼看就要打起来了！
100203,2,2,74,20,30004,icon_msmq_03,1,1000,传令兵,主公！运送军粮的马车因为道路崎岖发成侧翻，散落的粮食正遭到民众哄抢！
100301,2,3,72,50,30004,icon_msmq_01,0,1000,传令兵,主公！刚刚在街道上发现一名可疑男子酷似江洋大盗，是否需要将其拿下？
100302,2,3,73,30,30004,icon_msmq_02,0,1000,传令兵,主公！广场上的民众为了争抢活动地盘发生了争执，眼看就要打起来了！
100303,2,3,74,20,30004,icon_msmq_03,0,1000,传令兵,主公！运送军粮的马车因为道路崎岖发成侧翻，散落的粮食正遭到民众哄抢！
100401,2,3,72,20,30004,icon_msmq_01,0,1000,传令兵,主公！刚刚在街道上发现一名可疑男子酷似江洋大盗，是否需要将其拿下？
100402,2,4,73,50,30004,icon_msmq_02,0,1000,传令兵,主公！广场上的民众为了争抢活动地盘发生了争执，眼看就要打起来了！
100403,2,4,74,30,30004,icon_msmq_03,0,1000,传令兵,主公！运送军粮的马车因为道路崎岖发成侧翻，散落的粮食正遭到民众哄抢！
100501,2,4,72,20,30004,icon_msmq_01,0,1000,传令兵,主公！刚刚在街道上发现一名可疑男子酷似江洋大盗，是否需要将其拿下？
100502,2,4,73,50,30004,icon_msmq_02,0,1000,传令兵,主公！广场上的民众为了争抢活动地盘发生了争执，眼看就要打起来了！
100503,2,5,74,30,30004,icon_msmq_03,1,1000,传令兵,主公！运送军粮的马车因为道路崎岖发成侧翻，散落的粮食正遭到民众哄抢！
100601,2,5,72,20,30004,icon_msmq_01,0,1000,传令兵,主公！刚刚在街道上发现一名可疑男子酷似江洋大盗，是否需要将其拿下？
