id,class,name,icon,type,drop,num,time,txt
1,1,劫掠村落,city_repress_1001,1,100,0,0,压制城池基础收益加成额外提升100%
2,1,劫掠商队,city_repress_1002,2,60000101,1,1800,每30分钟额外获得100符文经验
3,1,劫掠庄园,city_repress_1003,2,60000104,1,3600,每60分钟额外获得50个英雄勋章
4,2,劫掠村落,city_repress_1001,1,100,0,0,压制城池基础收益加成额外提升100%
5,2,劫掠商队,city_repress_1002,2,60000101,1,1800,每30分钟额外获得100符文经验
6,2,劫掠庄园,city_repress_1003,2,60000104,1,3600,每60分钟额外获得50个英雄勋章
7,2,劫掠城镇,city_repress_1004,2,60000102,1,7200,每120分钟额外获得20钻石
8,3,劫掠村落,city_repress_1001,1,100,0,0,压制城池基础收益加成额外提升100%
9,3,劫掠商队,city_repress_1002,2,60000101,1,1800,每30分钟额外获得100符文经验
10,3,劫掠庄园,city_repress_1003,2,60000104,1,3600,每60分钟额外获得50个英雄勋章
11,3,劫掠城镇,city_repress_1004,2,60000102,1,7200,每120分钟额外获得20钻石
12,3,劫掠城堡,city_repress_1005,2,60000103,1,10800,每180分钟额外获得1个魔灵碎片
