id,type,sort,tasktypes,n1,n2,n3,n4,dec,txt,judge,item1,num1,item2,num2,item3,num3
1,2001,1,1,20,0,0,0,20,主公等级,0,91000002,100,91000001,100000,72000002,3
2,2001,2,1,26,0,0,0,26,主公等级,0,91000002,200,91000001,200000,72000003,2
3,2001,3,1,30,0,0,0,30,主公等级,0,91000002,300,91000001,300000,72000004,1
4,2002,1,240,60,0,0,0,60,宝石总等级,0,91000002,100,91000001,100000,60000212,3
5,2002,2,240,80,0,0,0,80,宝石总等级,0,91000002,200,91000001,200000,60000213,3
6,2002,3,240,100,0,0,0,100,宝石总等级,0,91000002,300,91000001,300000,60000214,3
7,2003,1,196,1,310030,0,0,30,铜雀台层数,0,91000002,100,91000001,100000,91000035,50
8,2003,2,196,1,310040,0,0,40,铜雀台层数,0,91000002,200,91000001,200000,91000035,100
9,2003,3,196,1,310050,0,0,50,铜雀台层数,0,91000002,300,91000001,300000,91000035,200
10,2004,1,241,50000,0,0,0,5W,宠物战力,1,91000002,100,91000001,100000,91000027,2000
11,2004,2,241,60000,0,0,0,6W,宠物战力,1,91000002,200,91000001,200000,91000030,10
12,2004,3,241,80000,0,0,0,8W,宠物战力,1,91000002,300,91000001,300000,15100101,10
13,2005,1,242,60000,0,0,0,6W,虎符战力,1,91000002,100,91000001,100000,91000031,66666
14,2005,2,242,80000,0,0,0,8W,虎符战力,1,91000002,200,91000001,200000,41000006,10
15,2005,3,242,100000,0,0,0,10W,虎符战力,1,91000002,300,91000001,300000,41000007,10
16,2006,1,14,700000,0,0,0,70W,总战力,1,91000002,100,91000001,100000,30101000,200
17,2006,2,14,800000,0,0,0,80W,总战力,1,91000002,200,91000001,200000,30101000,400
18,2006,3,14,880000,0,0,0,88W,总战力,1,91000002,300,91000001,300000,30101000,666
19,2007,1,222,300,0,0,0,300,校场排名,0,91000002,100,91000001,100000,60000224,20
20,2007,2,222,100,0,0,0,100,校场排名,0,91000002,200,91000001,200000,60000200,10
21,2007,3,222,50,0,0,0,50,校场排名,0,91000002,300,91000001,300000,42000001,3
