hid,order,hmane,hchengwei,afkneme,showstar,maxstar,type,png,pzbg,showlv,tujianshowlv,showzy,showhtype,showzdw,showfdw,showskill1,showskill2,showskill3,showskill4,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,prize,prizenum,exclusive_id,exclusive_lv,hide,levelid,herostanding,friendlymonster1,friendlystanding1,friendlymonster2,friendlystanding2
5001,1,莱尔,审判利刃,天罚之刃：阿塔利亚,10,37,1,logohero5001,heroList_05,300,240,5,12,23,44,50010403,50010104,50010203,50010303,1,594330,2,44521,3,8009,6,200,99,33588900,21,10000,22,240,91000002,10000,105001,40,1,991001,2,9900003,1,0,0
5002,2,安＆努,创世双子,双生星灵：伊莱亚莱拉,10,37,1,logohero5002,heroList_05,300,240,5,13,28,45,50020403,50020104,50020203,50020303,1,622596,2,42401,3,8715,6,200,99,34012600,21,10000,22,240,91000002,10000,105002,40,1,991004,4,9900010,1,9900010,2
5003,3,梅塔特隆,时序天使,永恒时针：奥瑟鲁斯,10,37,1,logohero5003,heroList_05,300,240,5,11,27,41,50030403,50030104,50030203,50030303,1,665235,2,39341,3,9424,6,200,99,34586500,21,10000,22,240,91000002,10000,105003,40,1,991001,2,9900003,1,0,0
5004,4,米迦勒,黎明圣炎,焚列圣炎：米迦勒,10,37,1,logohero5004,heroList_05,300,240,5,12,22,45,50040403,50040104,50040203,50040303,1,637201,2,42873,3,7775,6,200,99,34310400,21,10000,22,240,91000002,10000,105004,40,1,991004,4,9900010,1,9900010,2
5005,5,湿婆,轮回之主,天罚之刃：阿塔利亚,10,37,1,logohero5005,heroList_05,300,240,5,13,24,43,50050403,50050104,50050203,50050303,1,623539,2,41929,3,8951,6,200,99,33970100,21,10000,22,240,91000002,10000,105005,40,1,991004,4,9900010,1,9900010,2
5006,6,宙斯,众神之王,诡惑女王：梅希拉,10,37,1,logohero5006,heroList_05,300,240,5,13,21,43,50060403,50060104,50060203,50060303,1,623539,2,41929,3,8951,6,200,99,33970100,21,10000,22,240,91000002,10000,105006,40,1,991004,4,9900010,1,9900010,2
5007,7,孙悟空,齐天大圣,天罚之刃：阿塔利亚,10,37,1,logohero5007,heroList_05,300,240,5,11,22,42,50070403,50070104,50070203,50070303,1,594330,2,44521,3,8009,6,200,99,33588900,21,10000,22,240,91000002,10000,105007,40,1,991001,2,9900003,1,0,0
6001,8,丹利格,暗域之炎,摄魂恐魔：埃兹,10,37,1,logohero6001,heroList_06,300,240,6,11,24,45,60010403,60010104,60010203,60010303,1,651805,2,39811,3,9658,6,200,99,34394800,21,10000,22,240,91000002,10000,106001,40,1,991001,2,9900003,1,0,0
6002,9,迦摩,支配魔眼,诡惑女王：梅希拉,10,37,1,logohero6002,heroList_06,300,240,6,13,25,43,60020403,60020104,60020203,60020303,1,623539,2,41929,3,8951,6,200,99,33970100,21,10000,22,240,91000002,10000,106002,40,1,991004,4,9900010,1,9900010,2
6003,10,丽尔敏,逆时之影,时之魇：佐拉斯,10,37,1,logohero6003,heroList_06,300,240,6,12,23,42,60030403,60030104,60030203,60030303,1,622596,2,41932,3,8953,6,200,99,33943300,21,10000,22,240,91000002,10000,106003,40,1,991004,4,9900010,1,0,0
