id,type,grid,group,itemid,itemname,itemnumber,weightfunction,cost_item1,cost_num1,level_limit,level_shield,judge,replacegroup,replaceitem,replacename,replacenum,replaceweight,replacecost1,replacecostnum1
1,1,1,1,91000044,魔粉,10,1,91000001,50000,0,110401,0,0,0,0,0,0,0,0
2,1,1,1,91000044,魔粉,50,1,91000001,250000,110401,110511,0,0,0,0,0,0,0,0
3,1,1,1,91000044,魔粉,100,1,91000001,500000,110511,110640,0,0,0,0,0,0,0,0
4,1,1,1,91000044,魔粉,200,1,91000001,1000000,110640,110901,0,0,0,0,0,0,0,0
5,1,1,1,91000044,魔粉,300,1,91000001,1500000,110901,111021,0,0,0,0,0,0,0,0
6,1,1,1,91000044,魔粉,400,1,91000001,2000000,111021,111240,0,0,0,0,0,0,0,0
7,1,1,1,91000044,魔粉,500,1,91000001,2500000,111240,112560,0,0,0,0,0,0,0,0
8,1,1,1,91000044,魔粉,1000,1,91000001,5000000,112560,0,0,0,0,0,0,0,0,0
9,1,2,1,91000044,魔粉,100,1,91000002,12000,0,110401,0,0,0,0,0,0,0,0
10,1,2,1,91000044,魔粉,200,1,91000002,24000,110401,110511,0,0,0,0,0,0,0,0
11,1,2,1,91000044,魔粉,400,1,91000002,48000,110511,110640,0,0,0,0,0,0,0,0
12,1,2,1,91000044,魔粉,800,1,91000002,96000,110640,110901,0,0,0,0,0,0,0,0
13,1,2,1,91000044,魔粉,1000,1,91000002,120000,110901,111021,0,0,0,0,0,0,0,0
14,1,2,1,91000044,魔粉,1500,1,91000002,180000,111021,111240,0,0,0,0,0,0,0,0
15,1,2,1,91000044,魔粉,2000,1,91000002,240000,111240,112560,0,0,0,0,0,0,0,0
16,1,2,1,91000044,魔粉,2500,1,91000002,300000,112560,0,0,0,0,0,0,0,0,0
17,1,2,1,81000002,白银锻造币,5,1,91000002,120000,0,110401,0,0,0,0,0,0,0,0
18,1,2,1,81000002,白银锻造币,5,1,91000002,120000,110401,110511,0,0,0,0,0,0,0,0
19,1,2,1,81000002,白银锻造币,5,1,91000002,120000,110511,110640,0,0,0,0,0,0,0,0
20,1,2,1,81000002,白银锻造币,5,1,91000002,120000,110640,110901,0,0,0,0,0,0,0,0
21,1,2,1,81000002,白银锻造币,10,1,91000002,240000,110901,111021,0,0,0,0,0,0,0,0
22,1,2,1,81000002,白银锻造币,10,1,91000002,240000,111021,111240,0,0,0,0,0,0,0,0
