way_id,start_building,end_building,pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos5_x,pos5_y,pos6_x,pos6_y,movetime
1,1001,1004,310,473,510,307,0,0,0,0,0,0,0,0,15
2,1004,1001,510,307,310,473,0,0,0,0,0,0,0,0,15
3,1001,1002,310,473,378,745,0,0,0,0,0,0,0,0,15
4,1002,1001,378,745,310,473,0,0,0,0,0,0,0,0,15
5,1002,1003,378,745,667,832,0,0,0,0,0,0,0,0,15
6,1003,1002,667,832,378,745,0,0,0,0,0,0,0,0,15
7,1002,1006,378,745,589,574,0,0,0,0,0,0,0,0,15
8,1006,1002,589,574,378,745,0,0,0,0,0,0,0,0,15
9,1003,1007,667,832,863,629,0,0,0,0,0,0,0,0,15
10,1007,1003,863,629,667,832,0,0,0,0,0,0,0,0,15
11,1006,1004,589,574,510,307,0,0,0,0,0,0,0,0,15
12,1004,1006,510,307,589,574,0,0,0,0,0,0,0,0,15
13,1004,1005,510,307,803,358,0,0,0,0,0,0,0,0,15
14,1005,1004,803,358,510,307,0,0,0,0,0,0,0,0,15
15,1005,1007,803,358,863,629,0,0,0,0,0,0,0,0,15
16,1007,1005,863,629,803,358,0,0,0,0,0,0,0,0,15
17,1006,1007,589,574,863,629,0,0,0,0,0,0,0,0,15
18,1007,1006,863,629,589,574,0,0,0,0,0,0,0,0,15
19,2001,2002,1905,266,1628,166,0,0,0,0,0,0,0,0,15
20,2002,2001,1628,166,1905,266,0,0,0,0,0,0,0,0,15
21,2002,2003,1628,166,1364,256,0,0,0,0,0,0,0,0,15
22,2003,2002,1364,256,1628,166,0,0,0,0,0,0,0,0,15
23,2002,2006,1628,166,1672,369,0,0,0,0,0,0,0,0,15
24,2006,2002,1672,369,1628,166,0,0,0,0,0,0,0,0,15
25,2003,2007,1364,256,1376,515,0,0,0,0,0,0,0,0,15
26,2007,2003,1376,515,1364,256,0,0,0,0,0,0,0,0,15
27,2001,2004,1905,266,1963,482,0,0,0,0,0,0,0,0,15
28,2004,2001,1963,482,1905,266,0,0,0,0,0,0,0,0,15
29,2004,2005,1963,482,1707,544,0,0,0,0,0,0,0,0,15
30,2005,2004,1707,544,1963,482,0,0,0,0,0,0,0,0,15
31,2004,2006,1963,482,1672,369,0,0,0,0,0,0,0,0,15
32,2006,2004,1672,369,1963,482,0,0,0,0,0,0,0,0,15
33,2005,2007,1707,544,1376,515,0,0,0,0,0,0,0,0,15
34,2007,2005,1376,515,1707,544,0,0,0,0,0,0,0,0,15
35,2006,2007,1672,369,1376,515,0,0,0,0,0,0,0,0,15
36,2007,2006,1376,515,1672,369,0,0,0,0,0,0,0,0,15
37,3001,3002,1790,1215,1889,991,0,0,0,0,0,0,0,0,15
38,3002,3001,1889,991,1790,1215,0,0,0,0,0,0,0,0,15
39,3002,3003,1889,991,1674,836,0,0,0,0,0,0,0,0,15
40,3003,3002,1674,836,1889,991,0,0,0,0,0,0,0,0,15
41,3002,3006,1889,991,1606,1031,0,0,0,0,0,0,0,0,15
42,3006,3002,1606,1031,1889,991,0,0,0,0,0,0,0,0,15
43,3003,3007,1674,836,1373,856,0,0,0,0,0,0,0,0,15
44,3007,3003,1373,856,1674,836,0,0,0,0,0,0,0,0,15
45,3001,3004,1790,1215,1472,1213,0,0,0,0,0,0,0,0,15
46,3004,3001,1472,1213,1790,1215,0,0,0,0,0,0,0,0,15
47,3004,3005,1472,1213,1220,1058,0,0,0,0,0,0,0,0,15
48,3005,3004,1220,1058,1472,1213,0,0,0,0,0,0,0,0,15
49,3004,3006,1472,1213,1606,1031,0,0,0,0,0,0,0,0,15
50,3006,3004,1606,1031,1472,1213,0,0,0,0,0,0,0,0,15
51,3005,3007,1220,1058,1373,856,0,0,0,0,0,0,0,0,15
52,3007,3005,1373,856,1220,1058,0,0,0,0,0,0,0,0,15
53,3006,3007,1606,1031,1373,856,0,0,0,0,0,0,0,0,15
54,3007,3006,1373,856,1606,1031,0,0,0,0,0,0,0,0,15
