attribute_list_group,weight_attribute,attribute_type,lv,odds_lv1,odds_lv2,attribute_valve,quality,icon,name
10101,1000,6,1,10000,10000,500,9,elogo14300101.png,兵力
10101,1000,6,2,5000,8000,1000,9,elogo14300101.png,兵力
10101,1000,6,3,2500,5000,1500,9,elogo14300101.png,兵力
10101,1000,6,4,1000,3000,2000,9,elogo14300101.png,兵力
10101,1000,6,5,500,1500,2500,9,elogo14300101.png,兵力
10101,1000,6,6,200,700,3000,9,elogo14300101.png,兵力
10101,1000,6,7,100,410,3500,9,elogo14300101.png,兵力
10101,1000,6,8,50,240,4000,9,elogo14300101.png,兵力
10101,1000,6,9,50,240,4500,9,elogo14300101.png,兵力
10101,1000,6,10,0,0,5000,9,elogo14300101.png,兵力
10101,1000,7,1,10000,10000,50,9,elogo14300201.png,近战攻击
10101,1000,7,2,5000,8000,100,9,elogo14300201.png,近战攻击
10101,1000,7,3,2500,5000,150,9,elogo14300201.png,近战攻击
10101,1000,7,4,1000,3000,200,9,elogo14300201.png,近战攻击
10101,1000,7,5,500,1500,250,9,elogo14300201.png,近战攻击
10101,1000,7,6,200,700,300,9,elogo14300201.png,近战攻击
10101,1000,7,7,100,410,350,9,elogo14300201.png,近战攻击
10101,1000,7,8,50,240,400,9,elogo14300201.png,近战攻击
10101,1000,7,9,50,240,450,9,elogo14300201.png,近战攻击
10101,1000,7,10,0,0,500,9,elogo14300201.png,近战攻击
10101,1000,8,1,10000,10000,50,9,elogo14300301.png,近战防御
10101,1000,8,2,5000,8000,100,9,elogo14300301.png,近战防御
10101,1000,8,3,2500,5000,150,9,elogo14300301.png,近战防御
10101,1000,8,4,1000,3000,200,9,elogo14300301.png,近战防御
10101,1000,8,5,500,1500,250,9,elogo14300301.png,近战防御
10101,1000,8,6,200,700,300,9,elogo14300301.png,近战防御
10101,1000,8,7,100,410,350,9,elogo14300301.png,近战防御
10101,1000,8,8,50,240,400,9,elogo14300301.png,近战防御
10101,1000,8,9,50,240,450,9,elogo14300301.png,近战防御
10101,1000,8,10,0,0,500,9,elogo14300301.png,近战防御
10101,1000,9,1,10000,10000,50,9,elogo14300401.png,远程攻击
10101,1000,9,2,5000,8000,100,9,elogo14300401.png,远程攻击
10101,1000,9,3,2500,5000,150,9,elogo14300401.png,远程攻击
10101,1000,9,4,1000,3000,200,9,elogo14300401.png,远程攻击
10101,1000,9,5,500,1500,250,9,elogo14300401.png,远程攻击
10101,1000,9,6,200,700,300,9,elogo14300401.png,远程攻击
10101,1000,9,7,100,410,350,9,elogo14300401.png,远程攻击
10101,1000,9,8,50,240,400,9,elogo14300401.png,远程攻击
10101,1000,9,9,50,240,450,9,elogo14300401.png,远程攻击
10101,1000,9,10,0,0,500,9,elogo14300401.png,远程攻击
10101,1000,10,1,10000,10000,50,9,elogo14300501.png,远程防御
10101,1000,10,2,5000,8000,100,9,elogo14300501.png,远程防御
10101,1000,10,3,2500,5000,150,9,elogo14300501.png,远程防御
10101,1000,10,4,1000,3000,200,9,elogo14300501.png,远程防御
10101,1000,10,5,500,1500,250,9,elogo14300501.png,远程防御
10101,1000,10,6,200,700,300,9,elogo14300501.png,远程防御
10101,1000,10,7,100,410,350,9,elogo14300501.png,远程防御
10101,1000,10,8,50,240,400,9,elogo14300501.png,远程防御
10101,1000,10,9,50,240,450,9,elogo14300501.png,远程防御
10101,1000,10,10,0,0,500,9,elogo14300501.png,远程防御
10102,1000,6,1,10000,10000,500,9,elogo14300101.png,兵力
10102,1000,6,2,5000,8000,1000,9,elogo14300101.png,兵力
10102,1000,6,3,2500,5000,1500,9,elogo14300101.png,兵力
10102,1000,6,4,1000,3000,2000,9,elogo14300101.png,兵力
10102,1000,6,5,500,1500,2500,9,elogo14300101.png,兵力
10102,1000,6,6,200,700,3000,9,elogo14300101.png,兵力
10102,1000,6,7,100,410,3500,9,elogo14300101.png,兵力
10102,1000,6,8,50,240,4000,9,elogo14300101.png,兵力
10102,1000,6,9,50,240,4500,9,elogo14300101.png,兵力
10102,1000,6,10,0,0,5000,9,elogo14300101.png,兵力
10102,1000,7,1,10000,10000,50,9,elogo14300201.png,近战攻击
10102,1000,7,2,5000,8000,100,9,elogo14300201.png,近战攻击
10102,1000,7,3,2500,5000,150,9,elogo14300201.png,近战攻击
10102,1000,7,4,1000,3000,200,9,elogo14300201.png,近战攻击
10102,1000,7,5,500,1500,250,9,elogo14300201.png,近战攻击
10102,1000,7,6,200,700,300,9,elogo14300201.png,近战攻击
10102,1000,7,7,100,410,350,9,elogo14300201.png,近战攻击
10102,1000,7,8,50,240,400,9,elogo14300201.png,近战攻击
10102,1000,7,9,50,240,450,9,elogo14300201.png,近战攻击
