id,sort,type,time,item,num,cost,costnum,group
1001,1,2,5,12100901,5,91000029,750,0
1002,2,2,5,60000214,3,91000029,648,0
1003,3,2,5,60000201,10,91000029,1600,0
1004,4,2,5,60000202,10,91000029,1600,0
1005,5,2,5,60000203,10,91000029,1600,0
1006,6,2,5,60000204,10,91000029,1600,0
1007,7,2,5,60000205,10,91000029,1600,0
1008,8,2,5,60000206,10,91000029,1600,0
1009,9,2,5,60000207,10,91000029,1600,0
1010,10,2,20,30101000,300,91000029,720,0
1011,11,1,0,60000201,1,91000029,150,0
1012,12,1,0,60000202,1,91000029,150,0
1013,13,1,0,60000203,1,91000029,150,0
1014,14,1,0,60000204,1,91000029,150,0
1015,15,1,0,60000205,1,91000029,150,0
1016,16,1,0,60000206,1,91000029,150,0
1017,17,1,0,60000207,1,91000029,150,0
1018,18,1,0,15100103,1,91000029,30,0
1019,19,1,0,15100104,1,91000029,30,0
1020,20,1,0,80000011,1,91000029,50,0
1021,1,2,5,12100901,5,91000029,750,1
1022,2,2,5,60000214,3,91000029,648,1
1023,3,2,5,60000201,10,91000029,1600,1
1024,4,2,5,60000202,10,91000029,1600,1
1025,5,2,5,60000203,10,91000029,1600,1
1026,6,2,5,60000204,10,91000029,1600,1
1027,7,2,5,60000205,10,91000029,1600,1
1028,8,2,5,60000206,10,91000029,1600,1
1029,9,2,5,60000207,10,91000029,1600,1
1030,10,2,20,30101000,300,91000029,720,1
1031,11,1,0,60000201,1,91000029,150,1
1032,12,1,0,60000202,1,91000029,150,1
1033,13,1,0,60000203,1,91000029,150,1
1034,14,1,0,60000204,1,91000029,150,1
1035,15,1,0,60000205,1,91000029,150,1
1036,16,1,0,60000206,1,91000029,150,1
1037,17,1,0,60000207,1,91000029,150,1
1038,18,1,0,15100103,1,91000029,30,1
1039,19,1,0,15100104,1,91000029,30,1
1040,20,1,0,80000011,1,91000029,50,1
1041,1,2,5,12100901,5,91000029,750,2
1042,2,2,5,60000214,3,91000029,648,2
1043,3,2,5,60000201,10,91000029,1600,2
1044,4,2,5,60000202,10,91000029,1600,2
1045,5,2,5,60000203,10,91000029,1600,2
1046,6,2,5,60000204,10,91000029,1600,2
1047,7,2,5,60000205,10,91000029,1600,2
1048,8,2,5,60000206,10,91000029,1600,2
1049,9,2,5,60000207,10,91000029,1600,2
1050,10,2,20,30101000,300,91000029,720,2
1051,11,1,0,60000201,1,91000029,150,2
1052,12,1,0,60000202,1,91000029,150,2
1053,13,1,0,60000203,1,91000029,150,2
1054,14,1,0,60000204,1,91000029,150,2
1055,15,1,0,60000205,1,91000029,150,2
1056,16,1,0,60000206,1,91000029,150,2
1057,17,1,0,60000207,1,91000029,150,2
1058,18,1,0,15100103,1,91000029,30,2
1059,19,1,0,15100104,1,91000029,30,2
1060,20,1,0,80000011,1,91000029,50,2
1061,1,2,5,12100901,5,91000029,750,3
1062,2,2,5,60000214,3,91000029,648,3
1063,3,2,5,60000201,10,91000029,1600,3
1064,4,2,5,60000202,10,91000029,1600,3
1065,5,2,5,60000203,10,91000029,1600,3
1066,6,2,5,60000204,10,91000029,1600,3
1067,7,2,5,60000205,10,91000029,1600,3
1068,8,2,5,60000206,10,91000029,1600,3
1069,9,2,5,60000207,10,91000029,1600,3
1070,10,2,20,30101000,300,91000029,720,3
1071,11,1,0,60000201,1,91000029,150,3
1072,12,1,0,60000202,1,91000029,150,3
1073,13,1,0,60000203,1,91000029,150,3
1074,14,1,0,60000204,1,91000029,150,3
1075,15,1,0,60000205,1,91000029,150,3
1076,16,1,0,60000206,1,91000029,150,3
1077,17,1,0,60000207,1,91000029,150,3
1078,18,1,0,15100103,1,91000029,30,3
1079,19,1,0,15100104,1,91000029,30,3
1080,20,1,0,80000011,1,91000029,50,3
