id,city1,city2
1,1,2
2,1,3
3,2,3
4,2,7
5,2,8
6,3,4
7,3,5
8,3,6
185,4,5
183,5,132
184,6,133
9,7,9
10,8,9
11,8,10
12,9,11
21,9,19
13,10,11
28,18,20
14,11,12
15,11,13
18,12,15
20,12,18
16,13,14
17,14,15
19,15,16
24,16,17
25,16,27
222,16,156
23,17,18
26,17,24
22,18,19
27,18,23
29,19,21
30,20,21
31,20,23
33,21,22
36,22,44
32,23,25
34,24,25
38,24,26
35,25,45
39,25,31
42,26,31
43,26,29
44,27,28
45,28,29
46,29,30
47,30,31
48,30,33
41,31,32
40,32,45
49,32,33
50,33,34
51,34,35
53,34,39
52,35,36
54,35,37
55,37,38
56,38,39
58,38,41
57,39,40
59,40,41
60,40,42
61,41,42
62,42,43
63,43,47
37,44,45
215,44,143
64,46,47
65,47,48
66,48,49
67,48,54
68,48,57
69,49,54
70,49,53
72,50,53
74,50,52
76,50,51
75,51,52
73,52,53
71,53,54
77,54,55
78,54,56
79,56,57
80,56,59
81,57,58
82,58,59
84,58,60
92,58,62
83,59,60
85,59,64
86,59,63
88,60,61
90,61,65
91,61,62
94,61,66
93,62,67
87,63,64
223,63,155
89,64,65
96,65,73
95,66,67
97,66,73
98,66,72
99,67,72
100,67,68
101,68,69
103,68,71
102,69,70
104,70,71
105,71,75
106,72,74
107,73,76
111,73,79
108,74,75
109,74,76
110,75,77
112,76,80
113,77,78
210,78,138
219,78,139
220,78,137
114,79,80
115,79,81
116,80,82
117,81,83
118,82,83
119,83,84
120,84,85
121,85,86
122,85,87
123,86,88
124,87,91
125,88,91
126,88,89
127,89,90
128,90,91
129,91,92
132,91,94
130,92,93
131,93,94
133,94,96
134,94,95
138,95,97
135,96,100
136,96,101
139,97,98
140,98,99
141,98,109
142,99,100
137,100,101
143,100,103
145,101,102
146,102,105
144,103,105
147,103,104
155,104,108
156,105,106
157,106,107
221,106,154
158,107,108
159,107,117
154,108,112
148,109,111
149,109,110
150,110,113
151,111,112
160,112,116
152,113,114
153,113,115
186,114,135
161,115,116
162,116,119
163,117,118
164,118,121
165,119,121
166,119,120
167,120,122
168,121,123
169,122,123
176,122,129
178,122,131
170,123,124
171,124,125
172,125,126
173,125,128
174,126,127
175,127,128
177,129,130
179,130,133
180,131,133
182,131,132
181,132,133
187,134,135
188,135,153
189,135,152
190,135,136
191,136,152
208,136,138
209,136,137
206,138,148
207,138,152
211,138,139
212,139,146
218,139,140
217,140,141
216,141,142
213,142,144
214,142,143
200,144,147
202,144,145
203,144,146
201,145,147
199,146,147
204,146,149
198,147,150
195,148,151
205,148,149
197,149,150
194,150,153
196,150,151
192,151,152
193,151,153
