level,exp,free_times,max_time,add_time,get_exp,Get_item,base_value,luck_add,mcrate,mcrit1,mcrit2,mcrit3,odds,drop_group
1,3,2,7200,3600,1,91000031,3000,3,8000,10,5,2,1000,1
2,4,3,7800,3600,1,91000031,3000,3,8000,10,5,2,1000,1
3,5,4,8400,3600,1,91000031,3000,3,8000,10,5,2,1000,1
4,6,5,9000,3600,1,91000031,3000,3,8000,10,5,2,1000,1
5,7,5,9600,3600,1,91000031,3000,3,8000,10,5,2,1000,1
6,8,6,10200,3600,1,91000031,3000,3,8000,10,5,2,1000,1
7,9,6,10800,3600,1,91000031,3000,3,8000,10,5,2,1000,1
8,10,6,11400,3600,1,91000031,3000,3,8000,10,5,2,1000,1
9,15,7,12000,3600,1,91000031,3000,3,8000,10,5,2,1000,1
10,15,7,12600,3600,1,91000031,3000,3,8000,10,5,2,1000,1
11,15,7,13200,3600,1,91000031,3000,3,8000,10,5,2,1000,1
12,20,8,13800,3600,1,91000031,3000,3,8000,10,5,2,1000,1
13,20,8,14400,3600,1,91000031,3000,3,8000,10,5,2,1000,1
14,20,8,15000,3600,1,91000031,3000,3,8000,10,5,2,1000,1
15,25,8,15600,3600,1,91000031,3000,3,8000,10,5,2,1000,1
16,25,9,16200,3600,1,91000031,3000,3,8000,10,5,2,1000,1
17,25,9,16800,3600,1,91000031,3000,3,8000,10,5,2,1000,1
18,30,9,17400,3600,1,91000031,3000,3,8000,10,5,2,1000,1
19,30,9,18000,3600,1,91000031,3000,3,8000,10,5,2,1000,1
20,30,10,18600,3600,1,91000031,3000,3,8000,10,5,2,1000,1
