id,class,name,minvip,maxvip,type,total,group1,num1,group2,num2,group3,num3,group4,chance,typetime
1,10101,金币神格-刷新-小R,0,4,101,5,1001,0,1002,2,1003,3,0,60,0
2,10102,金币神格-刷新-小R,0,4,101,5,1001,0,1002,3,1003,2,0,20,0
3,10103,金币神格-刷新-小R,0,4,101,5,1001,1,1002,2,1003,2,0,20,0
4,10104,金币神格-刷新-中R,5,10,101,5,1001,0,1002,2,1003,3,0,30,0
5,10105,金币神格-刷新-中R,5,10,101,5,1001,1,1002,2,1003,2,0,30,0
6,10106,金币神格-刷新-中R,5,10,101,5,1001,2,1002,2,1003,1,0,40,0
7,10107,金币神格-刷新-大R,11,15,101,5,1001,1,1002,2,1003,2,0,5,0
8,10108,金币神格-刷新-大R,11,15,101,5,1001,2,1002,2,1003,1,0,90,0
9,10109,金币神格-刷新-大R,11,15,101,5,1001,2,1002,3,1003,0,0,10,0
10,10201,钻石神格-刷新-小R,0,4,201,12,2001,0,2002,5,2003,7,0,60,0
11,10201,钻石神格-刷新-小R,0,4,201,12,2001,1,2002,5,2003,6,0,20,0
12,10201,钻石神格-刷新-小R,0,4,201,12,2001,2,2002,5,2003,5,0,20,0
13,10202,钻石神格-刷新-中R,5,10,201,12,2001,1,2002,5,2003,6,0,30,0
14,10202,钻石神格-刷新-中R,5,10,201,12,2001,1,2002,5,2003,6,0,30,0
15,10202,钻石神格-刷新-中R,5,10,201,12,2001,2,2002,5,2003,5,0,40,0
16,10203,钻石神格-刷新-大R,11,15,201,12,2001,1,2002,5,2003,6,0,5,0
17,10203,钻石神格-刷新-大R,11,15,201,12,2001,2,2002,5,2003,5,0,90,0
18,10203,钻石神格-刷新-大R,11,15,201,12,2001,3,2002,5,2003,4,0,10,0
