id,min,max,crtchance,crtnum,encpoints
1,30,50,3600,100,100
2,30,50,3550,100,100
3,30,50,3500,100,100
4,30,50,3450,100,100
5,30,50,3400,100,100
6,30,50,3350,100,100
7,30,50,3300,100,100
8,30,50,3250,100,100
9,30,50,3200,100,100
10,30,50,3150,100,100
11,30,50,3100,100,100
12,30,50,3050,100,100
13,30,50,3000,100,100
14,30,50,2950,100,100
15,30,50,2900,100,100
16,30,50,2850,100,100
17,30,50,2800,100,100
18,30,50,2750,100,100
19,30,50,2700,100,100
20,30,50,2650,100,100
21,30,50,2600,100,100
22,30,50,2550,100,100
23,30,50,2500,100,100
24,30,50,2450,100,100
25,30,50,2400,100,100
26,30,50,2350,100,100
27,30,50,2300,100,100
28,30,50,2250,100,100
29,30,50,2200,100,100
30,30,50,2150,100,100
31,30,50,2100,100,100
32,30,50,2050,100,100
33,30,50,2000,100,100
34,30,50,1950,100,100
35,30,50,1900,100,100
36,30,50,1850,100,100
37,30,50,1800,100,100
38,30,50,1750,100,100
39,30,50,1700,100,100
40,30,50,1650,100,100
41,30,50,1600,100,100
42,30,50,1550,100,100
43,30,50,1500,100,100
44,30,50,1450,100,100
45,30,50,1400,100,100
46,30,50,1350,100,100
47,30,50,1300,100,100
48,30,50,1250,100,100
49,30,50,1200,100,100
50,30,50,1150,100,100
51,30,50,1100,100,100
52,30,50,1050,100,100
53,30,50,1000,100,100
54,30,50,950,100,100
55,30,50,900,100,100
56,30,50,850,100,100
57,30,50,800,100,100
58,30,50,750,100,100
59,30,50,700,100,100
60,30,50,650,100,100
