id,signnum,rewarditem1,rewardnum1,rewarditem2,rewardnum2,rewarditem3,rewardnum3
1,1,91000002,100,79000008,5,91000001,10000
2,3,91000002,200,79000008,10,91000001,20000
3,5,91000002,300,79000008,10,91000001,30000
4,10,91000002,500,79000008,25,91000001,50000
5,15,91000002,500,79000008,25,91000001,50000
6,20,91000002,500,79000008,25,91000001,50000
7,25,91000002,500,79000008,25,91000001,50000
8,30,91000002,500,79000008,25,91000001,50000
9,40,91000002,500,79000008,50,91000001,50000
10,50,91000002,500,79000008,50,91000001,50000
11,60,91000002,500,79000008,50,91000001,50000
12,70,91000002,500,79000008,50,91000001,50000
13,80,91000002,500,79000008,50,91000001,50000
14,90,91000002,500,79000008,50,91000001,50000
15,100,91000002,500,79000008,50,91000001,50000
16,110,91000002,500,79000008,50,91000001,50000
17,120,91000002,500,79000008,50,91000001,50000
18,130,91000002,500,79000008,50,91000001,50000
19,140,91000002,500,79000008,50,91000001,50000
20,150,91000002,500,79000008,50,91000001,50000
21,160,91000002,500,79000008,50,91000001,50000
22,170,91000002,500,79000008,50,91000001,50000
23,180,91000002,500,79000008,50,91000001,50000
24,190,91000002,500,79000008,50,91000001,50000
25,200,91000002,500,79000008,50,91000001,50000
26,210,91000002,500,79000008,50,91000001,50000
27,220,91000002,500,79000008,50,91000001,50000
28,230,91000002,500,79000008,50,91000001,50000
29,240,91000002,500,79000008,50,91000001,50000
30,250,91000002,500,79000008,50,91000001,50000
31,260,91000002,500,79000008,50,91000001,50000
32,270,91000002,500,79000008,50,91000001,50000
33,280,91000002,500,79000008,50,91000001,50000
34,290,91000002,500,79000008,50,91000001,50000
35,300,91000002,500,79000008,50,91000001,50000
36,310,91000002,500,79000008,50,91000001,50000
37,320,91000002,500,79000008,50,91000001,50000
38,330,91000002,500,79000008,50,91000001,50000
39,340,91000002,500,79000008,50,91000001,50000
40,350,91000002,500,79000008,50,91000001,50000
41,360,91000002,500,79000008,50,91000001,50000
