id,label,type,column_group,protect_id1,condition1,protect_id2,condition2,protect_id3,condition3,protect_id4,condition4,protect_id5,condition5,science_group,name,back_picture,icon,icon_r,icon_g,icon_b,attribute_show,attributetype_show
1,1,1,1,0,0,0,0,0,0,0,0,0,0,12,生命之树,pj_keji_yxwd_02.png,keji_hldj.png,171,209,255,6,生命总量
2,1,1,2,1,1,0,0,0,0,0,0,0,0,21,冶炼术,pj_keji_yxwd_02.png,keji_wlgj.png,171,209,255,7,物理攻击
3,1,1,2,1,1,0,0,0,0,0,0,0,0,22,智慧术,pj_keji_yxwd_02.png,keji_mfgj.png,171,209,255,9,魔法攻击
4,1,1,2,1,1,0,0,0,0,0,0,0,0,23,预言术,pj_keji_yxwd_02.png,keji_mfbl.png,171,209,255,62,神圣攻击
5,1,1,3,2,1,0,0,0,0,0,0,0,0,31,锻造术,pj_keji_yxwd_02.png,keji_wlfy.png,171,209,255,8,物理防御
6,1,1,3,3,1,0,0,0,0,0,0,0,0,32,神秘术,pj_keji_yxwd_02.png,keji_mffy.png,171,209,255,10,魔法防御
7,1,1,3,4,1,0,0,0,0,0,0,0,0,33,钝化术,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,63,神圣防御
8,1,1,4,5,25,6,25,7,25,0,0,0,0,42,生命之泉,pj_keji_yxwd_02.png,keji_hldj.png,171,209,255,106,生命总量属性百分比
9,1,1,5,8,5,0,0,0,0,0,0,0,0,51,武器保养,pj_keji_yxwd_02.png,keji_wlgj.png,171,209,255,107,物理攻击属性百分比
10,1,1,5,8,5,0,0,0,0,0,0,0,0,52,魔网增幅,pj_keji_yxwd_02.png,keji_mfgj.png,171,209,255,109,魔法攻击属性百分比
11,1,1,5,8,5,0,0,0,0,0,0,0,0,53,心灵控制,pj_keji_yxwd_02.png,keji_mfbl.png,171,209,255,162,神圣攻击属性百分比
12,1,1,6,9,5,0,0,0,0,0,0,0,0,61,盔甲保养,pj_keji_yxwd_02.png,keji_wlfy.png,171,209,255,108,物理防御属性百分比
13,1,1,6,10,5,0,0,0,0,0,0,0,0,62,魔法屏障,pj_keji_yxwd_02.png,keji_mffy.png,171,209,255,110,魔法防御属性百分比
14,1,1,6,11,5,0,0,0,0,0,0,0,0,63,心灵锁闭,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,163,神圣防御属性百分比
15,1,1,7,12,15,0,0,0,0,0,0,0,0,71,尖刺武器,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,38,穿刺近伤
16,1,1,7,13,15,0,0,0,0,0,0,0,0,72,魔法穿透,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,39,穿刺远伤
17,1,1,7,14,15,0,0,0,0,0,0,0,0,73,心灵侵蚀,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,88,穿刺圣伤
18,1,1,8,15,15,0,0,0,0,0,0,0,0,81,曲面板甲,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,41,穿刺近防
19,1,1,8,16,15,0,0,0,0,0,0,0,0,82,强化屏障,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,42,穿刺远防
20,1,1,8,17,15,0,0,0,0,0,0,0,0,83,心灵封印,pj_keji_yxwd_02.png,keji_mfdk.png,171,209,255,87,穿刺圣抗
