taskid,sort,taskname,star,type,tasktypes,n1,n2,n3,n4,content,groupdef,value,iconid,openleve,openvip,showitem1,showitem2,showitem3,showitem4,mustitem,num,draw1,drawcost1,group1,draw2,drawcost2,group2,draw3,drawcost3,group3,draw4,drawcost4,group4,drawall,moment
2001001,1,清剿匪徒II,2,2,2,208,0,0,0,向王国提交,90001,15,renwu_01_010,10,0,91000001,91000031,21000011,20000011,91000001,200,1,0,91011,100,15,91012,1000,20,91013,8899,40,91014,36,10
2002001,1,珍品贸易II,2,2,2,209,0,0,0,向王国提交,90002,15,renwu_01_010,10,0,91000001,91000031,21000012,20000012,91000001,200,1,0,91011,100,15,91012,1000,20,91013,8899,40,91014,36,10
2003001,1,税款征收II,2,2,2,210,0,0,0,向王国提交,90003,15,renwu_01_010,10,0,91000001,91000031,21000013,20000013,91000001,200,1,0,91011,100,15,91012,1000,20,91013,8899,40,91014,36,10
2004001,1,招兵募马II,2,2,2,211,0,0,0,向王国提交,90004,15,renwu_01_010,10,0,91000001,91000031,21000014,20000014,91000001,200,1,0,91011,100,15,91012,1000,20,91013,8899,40,91014,36,10
2005001,1,冶炼兵器II,2,2,2,212,0,0,0,向王国提交,90005,15,renwu_01_010,10,0,91000001,91000031,21000015,20000015,91000001,200,1,0,91011,100,15,91012,1000,20,91013,8899,40,91014,36,10
2006001,1,宗教宣传II,2,2,2,213,0,0,0,向王国提交,90006,15,renwu_01_010,10,0,91000001,91000031,21000016,20000016,91000001,200,1,0,91011,100,15,91012,1000,20,91013,8899,40,91014,36,10
3001001,1,清剿匪徒III,3,3,2,214,0,0,0,向王国提交,90007,10,renwu_01_010,20,1,91000001,91000031,21000101,20000101,91000001,500,1,0,91021,100,20,91022,1000,30,91023,8899,70,91024,60,15
3002001,1,珍品贸易III,3,3,2,215,0,0,0,向王国提交,90008,10,renwu_01_010,20,1,91000001,91000031,21000102,20000102,91000001,500,1,0,91021,100,20,91022,1000,30,91023,8899,70,91024,60,15
3003001,1,税款征收III,3,3,2,216,0,0,0,向王国提交,90009,10,renwu_01_010,20,1,91000001,91000031,21000103,20000103,91000001,500,1,0,91021,100,20,91022,1000,30,91023,8899,70,91024,60,15
3004001,1,招兵募马III,3,3,2,217,0,0,0,向王国提交,90010,10,renwu_01_010,20,1,91000001,91000031,21000104,20000104,91000001,500,1,0,91021,100,20,91022,1000,30,91023,8899,70,91024,60,15
3005001,1,冶炼兵器III,3,3,2,218,0,0,0,向王国提交,90011,10,renwu_01_010,20,1,91000001,91000031,21000105,20000105,91000001,500,1,0,91021,100,20,91022,1000,30,91023,8899,70,91024,60,15
3006001,1,宗教宣传III,3,3,2,219,0,0,0,向王国提交,90012,10,renwu_01_010,20,1,91000001,91000031,21000106,20000106,91000001,500,1,0,91021,100,20,91022,1000,30,91023,8899,70,91024,60,15
4001001,1,清剿匪徒IV,4,4,2,220,0,0,0,向王国提交,90013,30,renwu_01_010,30,4,91000001,91000031,21001001,20001001,91000001,1000,1,0,91031,100,60,91032,1000,80,91033,8899,160,91034,200,50
4002001,1,珍品贸易IV,4,4,2,221,0,0,0,向王国提交,90014,30,renwu_01_010,30,4,91000001,91000031,21001002,20001002,91000001,1000,1,0,91031,100,60,91032,1000,80,91033,8899,160,91034,200,50
4003001,1,税款征收IV,4,4,2,222,0,0,0,向王国提交,90015,30,renwu_01_010,30,4,91000001,91000031,21001003,20001003,91000001,1000,1,0,91031,100,60,91032,1000,80,91033,8899,160,91034,200,50
4004001,1,招兵募马IV,4,4,2,223,0,0,0,向王国提交,90016,30,renwu_01_010,30,4,91000001,91000031,21001004,20001004,91000001,1000,1,0,91031,100,60,91032,1000,80,91033,8899,160,91034,200,50
4005001,1,冶炼兵器IV,4,4,2,224,0,0,0,向王国提交,90017,30,renwu_01_010,30,4,91000001,91000031,21001005,20001005,91000001,1000,1,0,91031,100,60,91032,1000,80,91033,8899,160,91034,200,50
4006001,1,宗教宣传IV,4,4,2,225,0,0,0,向王国提交,90018,30,renwu_01_010,30,4,91000001,91000031,21001006,20001006,91000001,1000,1,0,91031,100,60,91032,1000,80,91033,8899,160,91034,200,50
5001001,1,清剿匪徒V,5,5,2,226,0,0,0,向王国提交,90019,25,renwu_01_010,40,7,91000001,91000031,21010001,20010001,91000001,1500,1,0,91041,100,170,91042,1000,280,91043,8899,550,91044,800,150
5002001,1,珍品贸易V,5,5,2,227,0,0,0,向王国提交,90020,25,renwu_01_010,40,7,91000001,91000031,21010002,20010002,91000001,1500,1,0,91041,100,170,91042,1000,280,91043,8899,550,91044,800,150
5003001,1,税款征收V,5,5,2,228,0,0,0,向王国提交,90021,25,renwu_01_010,40,7,91000001,91000031,21010003,20010003,91000001,1500,1,0,91041,100,170,91042,1000,280,91043,8899,550,91044,800,150
5004001,1,招兵募马V,5,5,2,229,0,0,0,向王国提交,90022,25,renwu_01_010,40,7,91000001,91000031,21010004,20010004,91000001,1500,1,0,91041,100,170,91042,1000,280,91043,8899,550,91044,800,150
5005001,1,冶炼兵器V,5,5,2,230,0,0,0,向王国提交,90023,25,renwu_01_010,40,7,91000001,91000031,21010005,20010005,91000001,1500,1,0,91041,100,170,91042,1000,280,91043,8899,550,91044,800,150
5006001,1,宗教宣传IV,5,5,2,231,0,0,0,向王国提交,90024,25,renwu_01_010,40,7,91000001,91000031,21010006,20010006,91000001,1500,1,0,91041,100,170,91042,1000,280,91043,8899,550,91044,800,150
6001001,1,清剿匪徒VI,6,6,2,232,0,0,0,向王国提交,90025,20,renwu_01_010,50,11,80000011,60000200,21100001,20100001,91000001,2000,1,0,91051,100,1000,91052,1000,1500,91053,8899,3200,91054,4640,400
6002001,1,珍品贸易VI,6,6,2,233,0,0,0,向王国提交,90026,20,renwu_01_010,50,11,80000011,60000200,21100002,20100002,91000001,2000,1,0,91051,100,1000,91052,1000,1500,91053,8899,3200,91054,4640,400
6003001,1,税款征收VI,6,6,2,234,0,0,0,向王国提交,90027,20,renwu_01_010,50,11,80000011,60000200,21100003,20100003,91000001,2000,1,0,91051,100,1000,91052,1000,1500,91053,8899,3200,91054,4640,400
6004001,1,招兵募马VI,6,6,2,235,0,0,0,向王国提交,90028,20,renwu_01_010,50,11,80000011,60000200,21100004,20100004,91000001,2000,1,0,91051,100,1000,91052,1000,1500,91053,8899,3200,91054,4640,400
6005001,1,冶炼兵器VI,6,6,2,236,0,0,0,向王国提交,90029,20,renwu_01_010,50,11,80000011,60000200,21100005,20100005,91000001,2000,1,0,91051,100,1000,91052,1000,1500,91053,8899,3200,91054,4640,400
6006001,1,宗教宣传VI,6,6,2,237,0,0,0,向王国提交,90030,20,renwu_01_010,50,11,80000011,60000200,21100006,20100006,91000001,2000,1,0,91051,100,1000,91052,1000,1500,91053,8899,3200,91054,4640,400
