equip_id,equip_name,equip_type,quality,twinkle,recommend,hole,upgrade_id,star_id,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,upgrade_type1,upgrade_value1,upgrade_type2,upgrade_value2,upgrade_type3,upgrade_value3,star_type1,star_value1,star_type2,star_value2,star_type3,star_value3,suit_id,icon,decompose_itembaggroup
20000001,翡翠战刃,1,1,0,0,1,100001,100001,7,50,0,0,99,5000,7,20,0,0,99,2000,32,15,0,0,99,7500,1001,elogo20000001.png,50001
20000002,翡翠铠甲,2,1,0,0,1,100001,100001,8,20,0,0,99,2000,8,7,0,0,99,1000,23,15,0,0,99,7500,1001,elogo20000004.png,50001
20000003,翡翠戒指,3,1,0,0,1,100001,100001,9,100,0,0,99,5000,9,40,0,0,99,2000,33,15,0,0,99,7500,1001,elogo20000002.png,50001
20000004,翡翠护腿,4,1,0,0,1,100001,100001,10,30,0,0,99,1500,10,14,0,0,99,1000,24,15,0,0,99,7500,1001,elogo20000005.png,50001
20000005,翡翠拳套,5,1,0,0,1,100001,100001,29,50,0,0,99,5000,29,20,0,0,99,2000,73,15,0,0,99,7500,1001,elogo20000003.png,50001
20000006,翡翠战靴,6,1,0,0,1,100001,100001,6,500,0,0,99,10000,6,200,0,0,99,4000,74,15,0,0,99,7500,1001,elogo20000006.png,50001
20000011,军团之剑,1,2,0,0,2,100002,100002,7,100,0,0,99,10000,7,30,0,0,99,3000,32,25,0,0,99,12500,1002,elogo20000011.png,50002
20000012,军团战甲,2,2,0,0,2,100002,100002,8,30,0,0,99,3000,8,10,0,0,99,1000,23,25,0,0,99,12500,1002,elogo20000014.png,50002
20000013,军团之握,3,2,0,0,2,100002,100002,9,200,0,0,99,10000,9,60,0,0,99,3000,33,25,0,0,99,12500,1002,elogo20000012.png,50002
20000014,军团护腿,4,2,0,0,2,100002,100002,10,70,0,0,99,3500,10,20,0,0,99,1000,24,25,0,0,99,12500,1002,elogo20000015.png,50002
20000015,军团拳套,5,2,0,0,2,100002,100002,29,100,0,0,99,10000,29,30,0,0,99,3000,73,25,0,0,99,12500,1002,elogo20000013.png,50002
20000016,军团战靴,6,2,0,0,2,100002,100002,6,1000,0,0,99,20000,6,300,0,0,99,6000,74,25,0,0,99,12500,1002,elogo20000016.png,50002
20000101,龙牙长剑,1,3,0,0,3,100003,100003,7,200,0,0,99,20000,7,45,0,0,99,4500,32,50,0,0,99,25000,1003,elogo20000101.png,50003
20000102,龙牙战甲,2,3,0,0,3,100003,100003,8,70,0,0,99,7000,8,15,0,0,99,2000,23,50,0,0,99,25000,1003,elogo20000104.png,50003
20000103,龙牙之戒,3,3,0,0,3,100003,100003,9,400,0,0,99,20000,9,90,0,0,99,4500,33,50,0,0,99,25000,1003,elogo20000102.png,50003
20000104,龙牙护腿,4,3,0,0,3,100003,100003,10,130,0,0,99,6500,10,30,0,0,99,2000,24,50,0,0,99,25000,1003,elogo20000105.png,50003
20000105,龙牙拳套,5,3,0,0,3,100003,100003,29,200,0,0,99,20000,29,45,0,0,99,4500,73,50,0,0,99,25000,1003,elogo20000103.png,50003
20000106,龙牙战靴,6,3,0,0,3,100003,100003,6,2000,0,0,99,40000,6,450,0,0,99,9000,74,50,0,0,99,25000,1003,elogo20000106.png,50003
20001001,深渊重剑,1,4,0,0,4,100004,100004,7,400,0,0,99,40000,7,70,0,0,99,7000,32,100,0,0,99,50000,1004,elogo20001001.png,50004
20001002,深渊铠甲,2,4,0,0,4,100004,100004,8,130,0,0,99,13000,8,23,0,0,99,2000,23,100,0,0,99,50000,1004,elogo20001004.png,50004
20001003,深渊魔眼,3,4,0,0,4,100004,100004,9,800,0,0,99,40000,9,140,0,0,99,7000,33,100,0,0,99,50000,1004,elogo20001002.png,50004
20001004,深渊护腿,4,4,0,0,4,100004,100004,10,270,0,0,99,13500,10,46,0,0,99,2000,24,100,0,0,99,50000,1004,elogo20001005.png,50004
20001005,深渊拳套,5,4,0,0,4,100004,100004,29,400,0,0,99,40000,29,70,0,0,99,7000,73,100,0,0,99,50000,1004,elogo20001003.png,50004
20001006,深渊战靴,6,4,0,0,4,100004,100004,6,4000,0,0,99,80000,6,700,0,0,99,14000,74,100,0,0,99,50000,1004,elogo20001006.png,50004
20010001,水晶战刃,1,5,pzc,1,5,100005,100005,7,600,0,0,99,60000,7,100,0,0,99,10000,32,200,0,0,99,100000,1005,elogo20010001.png,50005
20010002,水晶板甲,2,5,pzc,1,5,100005,100005,8,200,0,0,99,20000,8,33,0,0,99,3000,23,200,0,0,99,100000,1005,elogo20010004.png,50005
20010003,水晶之心,3,5,pzc,1,5,100005,100005,9,1200,0,0,99,60000,9,200,0,0,99,10000,33,200,0,0,99,100000,1005,elogo20010002.png,50005
20010004,水晶护腿,4,5,pzc,1,5,100005,100005,10,400,0,0,99,20000,10,66,0,0,99,3000,24,200,0,0,99,100000,1005,elogo20010005.png,50005
20010005,水晶拳套,5,5,pzc,1,5,100005,100005,29,600,0,0,99,60000,29,100,0,0,99,10000,73,200,0,0,99,100000,1005,elogo20010003.png,50005
20010006,水晶战靴,6,5,pzc,1,5,100005,100005,6,6000,0,0,99,120000,6,1000,0,0,99,20000,74,200,0,0,99,100000,1005,elogo20010006.png,50005
20100001,圣者巨刃,1,6,pzh1,1,6,100006,100006,7,1200,0,0,99,120000,7,150,0,0,99,15000,32,400,0,0,99,200000,1006,elogo20100001.png,0
20100002,圣者重铠,2,6,pzh1,1,6,100006,100006,8,400,0,0,99,40000,8,50,0,0,99,5000,23,400,0,0,99,200000,1006,elogo20100004.png,0
20100003,圣者之泪,3,6,pzh1,1,6,100006,100006,9,2400,0,0,99,120000,9,300,0,0,99,15000,33,400,0,0,99,200000,1006,elogo20100002.png,0
20100004,圣者护腿,4,6,pzh1,1,6,100006,100006,10,800,0,0,99,40000,10,100,0,0,99,5000,24,400,0,0,99,200000,1006,elogo20100005.png,0
20100005,圣者拳套,5,6,pzh1,1,6,100006,100006,29,1200,0,0,99,120000,29,150,0,0,99,15000,73,400,0,0,99,200000,1006,elogo20100003.png,0
20100006,圣者战靴,6,6,pzh1,1,6,100006,100006,6,12000,0,0,99,240000,6,1500,0,0,99,30000,74,400,0,0,99,200000,1006,elogo20100006.png,0
