star_id,star_lv,star_quality,star_num,cost_type1,cost_num1,cost_type2,cost_num2,cost_type3,cost_num3,cost_type4,cost_num4
100001,0,0,0,91000001,8000,31000101,1,0,0,0,0
100001,1,2,1,91000001,16000,31000101,1,0,0,0,0
100001,2,2,2,91000001,23000,31000101,1,0,0,0,0
100001,3,2,3,91000001,31000,31000102,1,0,0,0,0
100001,4,3,1,91000001,39000,31000102,1,0,0,0,0
100001,5,3,2,91000001,47000,31000102,1,0,0,0,0
100001,6,3,3,91000001,55000,31000103,1,0,0,0,0
100001,7,4,1,91000001,63000,31000103,1,0,0,0,0
100001,8,4,2,91000001,70000,31000103,1,0,0,0,0
100001,9,4,3,91000001,78000,31000104,1,0,0,0,0
100001,10,5,1,91000001,86000,31000104,1,0,0,0,0
100001,11,5,2,91000001,94000,31000105,1,0,0,0,0
100001,12,5,3,91000001,102000,31000105,1,0,0,0,0
100001,13,6,1,91000001,109000,31000106,1,0,0,0,0
100001,14,6,2,91000001,117000,31000106,1,0,0,0,0
100001,15,6,3,0,0,0,0,0,0,0,0
100002,0,0,0,91000001,16000,31000101,1,0,0,0,0
100002,1,2,1,91000001,31000,31000101,1,0,0,0,0
100002,2,2,2,91000001,47000,31000101,1,0,0,0,0
100002,3,2,3,91000001,63000,31000102,1,0,0,0,0
100002,4,3,1,91000001,78000,31000102,1,0,0,0,0
100002,5,3,2,91000001,94000,31000102,1,0,0,0,0
100002,6,3,3,91000001,109000,31000103,1,0,0,0,0
100002,7,4,1,91000001,125000,31000103,1,0,0,0,0
100002,8,4,2,91000001,141000,31000103,1,0,0,0,0
100002,9,4,3,91000001,156000,31000104,1,0,0,0,0
100002,10,5,1,91000001,172000,31000104,1,0,0,0,0
100002,11,5,2,91000001,188000,31000105,1,0,0,0,0
100002,12,5,3,91000001,203000,31000105,1,0,0,0,0
100002,13,6,1,91000001,219000,31000106,1,0,0,0,0
100002,14,6,2,91000001,234000,31000106,1,0,0,0,0
100002,15,6,3,0,0,0,0,0,0,0,0
100003,0,0,0,91000001,31000,31000101,1,0,0,0,0
