id,stage,attribute_type1,value1,attribute_type2,value2,attribute_type3,value3,attribute_type4,value4,attribute_type5,value5,attribute_type6,value6,attribute_type7,value7,attribute_type8,value8,name,item_icon,Picture,quality
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,黄铜纹章,elogo16001000.png,icon_hufu_1.png,2
2,1,6,3000,7,300,8,300,9,600,10,600,29,300,30,300,99,240000,黄铜纹章,elogo16001000.png,icon_hufu_1.png,2
3,2,6,6000,7,600,8,600,9,1200,10,1200,29,600,30,600,99,480000,白银纹章,elogo16001001.png,icon_hufu_2.png,3
4,3,6,14000,7,1400,8,1400,9,2800,10,2800,29,1400,30,1400,99,1120000,白银纹章,elogo16001001.png,icon_hufu_2.png,3
5,4,6,27000,7,2700,8,2700,9,5400,10,5400,29,2700,30,2700,99,2160000,白银纹章,elogo16001001.png,icon_hufu_2.png,3
6,5,6,44000,7,4400,8,4400,9,8800,10,8800,29,4400,30,4400,99,3520000,白银纹章,elogo16001001.png,icon_hufu_2.png,3
7,6,6,66000,7,6600,8,6600,9,13200,10,13200,29,6600,30,6600,99,5280000,白银纹章,elogo16001001.png,icon_hufu_2.png,3
8,7,6,92000,7,9200,8,9200,9,18400,10,18400,29,9200,30,9200,99,7360000,黄金纹章,elogo16001002.png,icon_hufu_3.png,4
9,8,6,122000,7,12200,8,12200,9,24400,10,24400,29,12200,30,12200,99,9760000,黄金纹章,elogo16001002.png,icon_hufu_3.png,4
10,9,6,157000,7,15700,8,15700,9,31300,10,31300,29,15700,30,15700,99,12550000,黄金纹章,elogo16001002.png,icon_hufu_3.png,4
11,10,6,195000,7,19500,8,19500,9,39000,10,39000,29,19500,30,19500,99,15600000,黄金纹章,elogo16001002.png,icon_hufu_3.png,4
12,11,6,238000,7,23800,8,23800,9,47500,10,47500,29,23800,30,23800,99,19030000,白金纹章,elogo16001003.png,icon_hufu_4.png,5
13,12,6,284000,7,28400,8,28400,9,56900,10,56900,29,28400,30,28400,99,22730000,白金纹章,elogo16001003.png,icon_hufu_4.png,5
14,13,6,335000,7,33500,8,33500,9,67000,10,67000,29,33500,30,33500,99,26800000,白金纹章,elogo16001004.png,icon_hufu_5.png,5
15,14,6,389000,7,38900,8,38900,9,77900,10,77900,29,38900,30,38900,99,31130000,白金纹章,elogo16001004.png,icon_hufu_5.png,5
16,15,6,448000,7,44800,8,44800,9,89600,10,89600,29,44800,30,44800,99,35840000,白金纹章,elogo16001005.png,icon_hufu_6.png,5
17,16,6,510000,7,51000,8,51000,9,102000,10,102000,29,51000,30,51000,99,40800000,白金纹章,elogo16001005.png,icon_hufu_6.png,5
18,17,6,576000,7,57600,8,57600,9,115200,10,115200,29,57600,30,57600,99,46080000,龙晶纹章,elogo16001006.png,icon_hufu_7.png,6
19,18,6,646000,7,64600,8,64600,9,129200,10,129200,29,64600,30,64600,99,51680000,龙晶纹章,elogo16001006.png,icon_hufu_7.png,6
20,19,6,720000,7,72000,8,72000,9,144000,10,144000,29,72000,30,72000,99,57600000,龙晶纹章,elogo16001006.png,icon_hufu_7.png,6
