ID,battle_steed_id,awaken_level,quality,prefix_name,cost_horse_star,cost_horse_num,cost_item,cost_num,attribute_type1,attribute_valve1,attribute_type2,attribute_valve2,attribute_type3,attribute_valve3,attribute_type4,attribute_valve4,attribute_type5,attribute_valve5,attribute_type6,attribute_valve6,dragon_hole_num
1340050101,13400501,1,5,1阶·,5,1,15100103,100,6,0,7,0,107,0,50,0,99,0,0,0,0
1340050102,13400501,2,6,2阶·,5,2,15100103,300,6,170000,7,17000,107,300,50,600,99,5000000,0,0,1
1340050103,13400501,3,6,3阶·,5,3,15100103,600,6,330000,7,33000,107,400,50,1200,99,10000000,0,0,2
1340050104,13400501,4,6,4阶·,5,5,15100103,1000,6,500000,7,50000,107,500,50,1800,99,15000000,0,0,3
1340050105,13400501,5,6,5阶·,5,8,15100103,1500,6,670000,7,67000,107,600,50,2400,99,20000000,0,0,4
1340050106,13400501,6,6,6阶·,5,10,15100103,2000,6,830000,7,83000,107,750,50,3000,99,25000000,0,0,5
1340050107,13400501,7,6,7阶·,0,0,0,0,6,1110000,7,111000,107,1000,50,4000,99,33000000,0,0,6
1340150101,13401501,1,5,1阶·,5,1,15100103,100,6,0,8,0,108,0,53,0,99,0,0,0,0
1340150102,13401501,2,6,2阶·,5,2,15100103,300,6,170000,8,17000,108,300,53,600,99,5000000,0,0,1
1340150103,13401501,3,6,3阶·,5,3,15100103,600,6,330000,8,33000,108,400,53,1200,99,10000000,0,0,2
1340150104,13401501,4,6,4阶·,5,5,15100103,1000,6,500000,8,50000,108,500,53,1800,99,15000000,0,0,3
1340150105,13401501,5,6,5阶·,5,8,15100103,1500,6,670000,8,67000,108,600,53,2400,99,20000000,0,0,4
1340150106,13401501,6,6,6阶·,5,10,15100103,2000,6,830000,8,83000,108,750,53,3000,99,25000000,0,0,5
1340150107,13401501,7,6,7阶·,0,0,0,0,6,1110000,8,111000,108,1000,53,4000,99,33000000,0,0,6
1340250101,13402501,1,5,1阶·,5,1,15100103,100,6,0,9,0,109,0,51,0,99,0,0,0,0
1340250102,13402501,2,6,2阶·,5,2,15100103,300,6,170000,9,33000,109,300,51,600,99,5000000,0,0,1
1340250103,13402501,3,6,3阶·,5,3,15100103,600,6,330000,9,67000,109,400,51,1200,99,10000000,0,0,2
1340250104,13402501,4,6,4阶·,5,5,15100103,1000,6,500000,9,100000,109,500,51,1800,99,15000000,0,0,3
1340250105,13402501,5,6,5阶·,5,8,15100103,1500,6,670000,9,133000,109,600,51,2400,99,20000000,0,0,4
1340250106,13402501,6,6,6阶·,5,10,15100103,2000,6,830000,9,167000,109,750,51,3000,99,25000000,0,0,5
1340250107,13402501,7,6,7阶·,0,0,0,0,6,1110000,9,222000,109,1000,51,4000,99,33000000,0,0,6
1340350101,13403501,1,5,1阶·,5,1,15100103,100,6,0,10,0,110,0,54,0,99,0,0,0,0
1340350102,13403501,2,6,2阶·,5,2,15100103,300,6,170000,10,33000,110,300,54,600,99,5000000,0,0,1
1340350103,13403501,3,6,3阶·,5,3,15100103,600,6,330000,10,67000,110,400,54,1200,99,10000000,0,0,2
1340350104,13403501,4,6,4阶·,5,5,15100103,1000,6,500000,10,100000,110,500,54,1800,99,15000000,0,0,3
1340350105,13403501,5,6,5阶·,5,8,15100103,1500,6,670000,10,133000,110,600,54,2400,99,20000000,0,0,4
1340350106,13403501,6,6,6阶·,5,10,15100103,2000,6,830000,10,167000,110,750,54,3000,99,25000000,0,0,5
1340350107,13403501,7,6,7阶·,0,0,0,0,6,1110000,10,222000,110,1000,54,4000,99,33000000,0,0,6
1340450101,13404501,1,5,1阶·,5,1,15100103,100,6,0,29,0,129,0,92,0,99,0,0,0,0
1340450102,13404501,2,6,2阶·,5,2,15100103,300,6,170000,29,17000,129,300,92,600,99,5000000,0,0,1
1340450103,13404501,3,6,3阶·,5,3,15100103,600,6,330000,29,33000,129,400,92,1200,99,10000000,0,0,2
1340450104,13404501,4,6,4阶·,5,5,15100103,1000,6,500000,29,50000,129,500,92,1800,99,15000000,0,0,3
1340450105,13404501,5,6,5阶·,5,8,15100103,1500,6,670000,29,67000,129,600,92,2400,99,20000000,0,0,4
1340450106,13404501,6,6,6阶·,5,10,15100103,2000,6,830000,29,83000,129,750,92,3000,99,25000000,0,0,5
1340450107,13404501,7,6,7阶·,0,0,0,0,6,1110000,29,111000,129,1000,92,4000,99,33000000,0,0,6
1340550101,13405501,1,5,1阶·,5,1,15100103,100,6,0,30,0,130,0,91,0,99,0,0,0,0
1340550102,13405501,2,6,2阶·,5,2,15100103,300,6,170000,30,17000,130,300,91,600,99,5000000,0,0,1
1340550103,13405501,3,6,3阶·,5,3,15100103,600,6,330000,30,33000,130,400,91,1200,99,10000000,0,0,2
1340550104,13405501,4,6,4阶·,5,5,15100103,1000,6,500000,30,50000,130,500,91,1800,99,15000000,0,0,3
1340550105,13405501,5,6,5阶·,5,8,15100103,1500,6,670000,30,67000,130,600,91,2400,99,20000000,0,0,4
1340550106,13405501,6,6,6阶·,5,10,15100103,2000,6,830000,30,83000,130,750,91,3000,99,25000000,0,0,5
1340550107,13405501,7,6,7阶·,0,0,0,0,6,1110000,30,111000,130,1000,91,4000,99,33000000,0,0,6
