shoptypy,cost,currency,refresh_item,refresh_cost
1001,0,91000002,79000008,1
1002,0,91000002,79000008,1
1003,0,91000002,79000008,1
1004,0,91000002,79000008,1
1005,0,91000002,79000008,1
1006,0,91000002,79000008,1
1007,0,91000002,79000008,1
1008,0,91000002,79000008,1
1009,0,91000002,79000008,1
1010,0,91000002,79000008,1
1011,0,91000002,79000008,1
1012,0,91000002,79000008,1
1013,0,91000002,79000008,1
1014,0,91000002,79000008,1
1015,0,91000002,79000008,1
1016,0,91000002,79000008,1
1017,0,91000002,79000008,1
1018,0,91000002,79000008,1
1019,0,91000002,79000008,1
1020,0,91000002,79000008,1
1021,10,91000002,79000008,1
1022,10,91000002,79000008,1
1023,10,91000002,79000008,1
1024,10,91000002,79000008,1
1025,10,91000002,79000008,1
1026,10,91000002,79000008,1
1027,10,91000002,79000008,1
1028,10,91000002,79000008,1
1029,10,91000002,79000008,1
1030,10,91000002,79000008,1
1031,20,91000002,79000008,1
1032,20,91000002,79000008,1
1033,20,91000002,79000008,1
1034,20,91000002,79000008,1
1035,20,91000002,79000008,1
1036,20,91000002,79000008,1
1037,20,91000002,79000008,1
1038,20,91000002,79000008,1
1039,20,91000002,79000008,1
1040,20,91000002,79000008,1
1041,30,91000002,79000008,1
1042,30,91000002,79000008,1
1043,30,91000002,79000008,1
1044,30,91000002,79000008,1
1045,30,91000002,79000008,1
1046,40,91000002,79000008,1
1047,40,91000002,79000008,1
1048,40,91000002,79000008,1
1049,40,91000002,79000008,1
1050,40,91000002,79000008,1
1051,50,91000002,79000008,1
1052,50,91000002,79000008,1
1053,50,91000002,79000008,1
1054,50,91000002,79000008,1
1055,50,91000002,79000008,1
1056,60,91000002,79000008,1
1057,60,91000002,79000008,1
1058,60,91000002,79000008,1
1059,60,91000002,79000008,1
1060,60,91000002,79000008,1
1061,70,91000002,79000008,1
1062,70,91000002,79000008,1
1063,70,91000002,79000008,1
1064,70,91000002,79000008,1
1065,70,91000002,79000008,1
1066,80,91000002,79000008,1
1067,80,91000002,79000008,1
1068,80,91000002,79000008,1
1069,80,91000002,79000008,1
1070,80,91000002,79000008,1
1071,90,91000002,79000008,1
1072,90,91000002,79000008,1
1073,90,91000002,79000008,1
1074,90,91000002,79000008,1
1075,90,91000002,79000008,1
1076,100,91000002,79000008,1
1077,100,91000002,79000008,1
1078,100,91000002,79000008,1
1079,100,91000002,79000008,1
1080,100,91000002,79000008,1
1081,110,91000002,79000008,1
1082,110,91000002,79000008,1
1083,110,91000002,79000008,1
1084,110,91000002,79000008,1
1085,110,91000002,79000008,1
1086,120,91000002,79000008,1
1087,120,91000002,79000008,1
1088,120,91000002,79000008,1
1089,120,91000002,79000008,1
1090,120,91000002,79000008,1
1091,130,91000002,79000008,1
1092,130,91000002,79000008,1
1093,130,91000002,79000008,1
1094,130,91000002,79000008,1
1095,130,91000002,79000008,1
1096,140,91000002,79000008,1
1097,140,91000002,79000008,1
1098,140,91000002,79000008,1
1099,140,91000002,79000008,1
1100,140,91000002,79000008,1
1101,150,91000002,79000008,1
1102,150,91000002,79000008,1
1103,150,91000002,79000008,1
1104,150,91000002,79000008,1
1105,150,91000002,79000008,1
1106,160,91000002,79000008,1
1107,160,91000002,79000008,1
1108,160,91000002,79000008,1
1109,160,91000002,79000008,1
1110,160,91000002,79000008,1
1111,170,91000002,79000008,1
1112,170,91000002,79000008,1
1113,170,91000002,79000008,1
1114,170,91000002,79000008,1
1115,170,91000002,79000008,1
1116,180,91000002,79000008,1
