chapterid,item1,num1,item2,num2,item3,num3,item4,num4,explore
1,91000001,20000,91000002,100,0,0,0,0,100
2,91000001,20000,91000002,100,0,0,0,0,100
3,91000001,20000,91000002,100,0,0,0,0,100
4,91000001,20000,91000002,100,0,0,0,0,100
5,91000001,20000,91000002,100,0,0,0,0,100
6,91000001,20000,91000002,100,0,0,0,0,100
7,91000001,20000,91000002,100,0,0,0,0,100
8,91000001,20000,91000002,100,0,0,0,0,100
9,91000001,20000,91000002,100,0,0,0,0,100
10,91000001,20000,91000002,100,0,0,0,0,100
11,91000001,20000,91000002,100,0,0,0,0,100
12,91000001,20000,91000002,100,0,0,0,0,100
13,91000001,20000,91000002,100,0,0,0,0,100
14,91000001,20000,91000002,100,0,0,0,0,100
15,91000001,20000,91000002,100,0,0,0,0,100
16,91000001,20000,91000002,100,0,0,0,0,100
17,91000001,20000,91000002,100,0,0,0,0,100
18,91000001,20000,91000002,100,0,0,0,0,100
19,91000001,20000,91000002,100,0,0,0,0,100
20,91000001,20000,91000002,100,0,0,0,0,100
21,91000001,20000,91000002,100,0,0,0,0,100
22,91000001,20000,91000002,100,0,0,0,0,100
23,91000001,20000,91000002,100,0,0,0,0,100
24,91000001,20000,91000002,100,0,0,0,0,100
25,91000001,20000,91000002,100,0,0,0,0,100
26,91000001,20000,91000002,100,0,0,0,0,100
27,91000001,20000,91000002,100,0,0,0,0,100
28,91000001,20000,91000002,100,0,0,0,0,100
29,91000001,20000,91000002,100,0,0,0,0,100
30,91000001,20000,91000002,100,0,0,0,0,100
31,91000001,20000,91000002,100,0,0,0,0,100
32,91000001,20000,91000002,100,0,0,0,0,100
33,91000001,20000,91000002,100,0,0,0,0,100
34,91000001,20000,91000002,100,0,0,0,0,100
35,91000001,20000,91000002,100,0,0,0,0,100
36,91000001,20000,91000002,100,0,0,0,0,100
37,91000001,20000,91000002,100,0,0,0,0,100
38,91000001,20000,91000002,100,0,0,0,0,100
39,91000001,20000,91000002,100,0,0,0,0,100
40,91000001,20000,91000002,100,0,0,0,0,100
41,91000001,20000,91000002,100,0,0,0,0,100
42,91000001,20000,91000002,100,0,0,0,0,100
43,91000001,20000,91000002,100,0,0,0,0,100
44,91000001,20000,91000002,100,0,0,0,0,100
45,91000001,20000,91000002,100,0,0,0,0,100
46,91000001,20000,91000002,100,0,0,0,0,100
47,91000001,20000,91000002,100,0,0,0,0,100
48,91000001,20000,91000002,100,0,0,0,0,100
49,91000001,20000,91000002,100,0,0,0,0,100
50,91000001,20000,91000002,100,0,0,0,0,100
51,91000001,20000,91000002,100,0,0,0,0,100
52,91000001,20000,91000002,100,0,0,0,0,100
53,91000001,20000,91000002,100,0,0,0,0,100
54,91000001,20000,91000002,100,0,0,0,0,100
55,91000001,20000,91000002,100,0,0,0,0,100
56,91000001,20000,91000002,100,0,0,0,0,100
57,91000001,20000,91000002,100,0,0,0,0,100
58,91000001,20000,91000002,100,0,0,0,0,100
59,91000001,20000,91000002,100,0,0,0,0,100
60,91000001,20000,91000002,100,0,0,0,0,100
