class,index,base_type,initial_value,max_value,weight,limit,low_up,low_down,low_flat,threshold,high_up,high_down,high_flat,change_max,unit,evaluate
1,1,6,60,1200,5,4,1500,4500,4000,4000,800,8200,1000,24,1,2
1,1,7,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
1,1,8,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
1,1,9,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,5
1,1,10,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,5
1,1,29,6,120,8,4,1500,4500,4000,4000,800,8200,1000,2,1,10
1,1,30,6,120,5,4,1500,4500,4000,4000,800,8200,1000,2,1,10
1,1,15,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,36,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,13,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,14,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,66,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,67,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,68,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,1,69,1,12,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,6,120,2400,5,4,1500,4500,4000,4000,800,8200,1000,48,1,2
1,2,7,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
1,2,8,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
1,2,9,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,5
1,2,10,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,5
1,2,29,12,240,8,4,1500,4500,4000,4000,800,8200,1000,4,1,10
1,2,30,12,240,5,4,1500,4500,4000,4000,800,8200,1000,4,1,10
1,2,15,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,36,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,13,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,14,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,66,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,67,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,68,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,2,69,1,25,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,6,240,4800,5,4,1500,4500,4000,4000,800,8200,1000,96,1,2
1,3,7,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
1,3,8,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
1,3,9,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,5
1,3,10,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,5
1,3,29,24,480,8,4,1500,4500,4000,4000,800,8200,1000,9,1,10
1,3,30,24,480,5,4,1500,4500,4000,4000,800,8200,1000,9,1,10
1,3,15,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,36,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,13,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,14,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,66,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,67,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,68,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,3,69,3,50,0,2,1500,4500,4000,4000,800,8200,1000,1,1,240
1,4,6,480,9600,5,4,1500,4500,4000,4000,800,8200,1000,192,1,2
1,4,7,48,960,8,4,1500,4500,4000,4000,800,8200,1000,19,1,10
1,4,8,48,960,5,4,1500,4500,4000,4000,800,8200,1000,19,1,10
