id,sort,step,activity,backicon,nameicon,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,cost,sale,fund,power,start,continued,cd,show,coctime,renovate,reset,status,touch,vip_limit,point
100010001,1,1,每日福利,bg_huodong_qr1,开服狂欢,累计充值 1000元宝,60,1000,0,0,0,30101000,240,91000032,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100010002,1,1,每日福利,bg_huodong_qr1,开服狂欢,累计充值 2000元宝,60,2000,0,0,0,60000213,2,30101000,120,91000032,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100010003,1,1,每日福利,bg_huodong_qr1,开服狂欢,登录游戏,129,1,0,0,0,91000002,100,79000008,10,91000032,1000,91000033,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100010004,1,1,每日福利,bg_huodong_qr1,开服狂欢,领主等级达到 30,1,30,0,0,0,91000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100010005,1,1,每日福利,bg_huodong_qr1,开服狂欢,战斗力达到 80000,14,80000,0,0,0,91000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020001,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第一章,186,1,110105,0,0,91000002,10,30101000,50,12400801,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020002,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第二章,186,1,110210,0,0,91000002,10,30101000,60,12400801,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020003,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第三章,186,1,110310,0,0,91000002,20,30101000,80,12400801,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020004,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第四章,186,1,110410,0,0,91000002,20,30101000,100,12400801,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020005,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 10,1,10,0,0,0,91000002,10,30101000,50,12400801,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020006,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 15,1,15,0,0,0,91000002,20,30101000,100,12400801,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020007,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 20,1,20,0,0,0,91000002,30,30101000,150,12400801,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020008,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 30,1,30,0,0,0,91000002,40,30101000,200,12400801,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020009,1,2,成长历练,bg_huodong_qr1,开服狂欢,地下城副本通关 1-1,187,1,200101,0,0,91000002,10,91000001,10000,91000032,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020010,1,2,成长历练,bg_huodong_qr1,开服狂欢,地下城副本通关 1-2,187,1,200102,0,0,91000002,10,91000001,10000,91000032,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020011,1,2,成长历练,bg_huodong_qr1,开服狂欢,地下城副本通关 1-3,187,1,200103,0,0,91000002,20,91000001,20000,91000032,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020012,1,2,成长历练,bg_huodong_qr1,开服狂欢,地下城副本通关 1-4,187,1,200104,0,0,91000002,20,91000001,20000,91000032,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020013,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 40,1,40,0,0,0,91000002,100,30101000,500,91000033,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020014,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 50,1,50,0,0,0,91000002,200,30101000,600,91000033,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020015,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 55,1,55,0,0,0,91000002,300,30101000,700,91000033,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020016,1,2,成长历练,bg_huodong_qr1,开服狂欢,领主等级到达 60,1,60,0,0,0,91000002,500,30101000,1000,91000033,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020017,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第八章,186,1,110810,0,0,91000002,20,30101000,100,79000008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020018,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第九章,186,1,110910,0,0,91000002,20,30101000,100,79000008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020019,1,2,成长历练,bg_huodong_qr1,开服狂欢,剧情副本通关 第十章,186,1,111010,0,0,91000002,20,30101000,100,79000008,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
100020020,1,2,成长历练,bg_huodong_qr1,开服狂欢,地下城副本通关 2-1,187,1,200201,0,0,91000002,30,91000001,30000,91000032,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,86400,86400,0,0,1,1,0,1
