valuetype,name,cname,text,type,show,fightingnum,queue,icon1
0,basicstr,力量等级,影响英雄的[1]物理攻击[0]和[1]物理防御[0],1,0,0,1,0
1,basicagi,精神等级,影响英雄的[1]神术攻击[0]和[1]神术防御[0],1,0,0,2,0
2,basicint,智力等级,影响英雄的[1]魔法攻击[0]和[1]魔法防御[0],1,0,0,3,0
3,str,力量成长,影响英雄的力量成长,1,0,0,4,0
4,agi,精神成长,影响英雄的精神成长,1,0,0,5,0
5,int,智力成长,影响英雄的智力成长,1,0,0,6,0
6,hp,生命总量,影响英雄的[1]总体血量[0],1,1,20,7,wenzhang_sm.png
7,attack,物理攻击,影响英雄的[1]物理攻击[0],1,1,100,8,wenzhang_wg.png
8,armor,物理防御,影响英雄的[1]物理防御[0],1,1,100,9,wenzhang_wf.png
9,magic,魔法攻击,影响英雄的[1]魔法攻击[0],1,1,50,10,wenzhang_mg.png
10,res,魔法防御,影响英雄的[1]魔法防御[0],1,1,50,11,wenzhang_mf.png
11,attackspeed,攻击速度,英雄的攻击速度,1,0,0,14,0
12,movespeed,移动速度,英雄的移动速度,1,0,0,15,0
13,hit,命中等级,英雄的命中率,0,1,0,16,0
14,dodge,闪避等级,英雄的闪避率,0,1,0,17,0
15,block,格挡等级,英雄的格挡率,0,1,0,18,0
16,phycrit,物理暴击,英雄的物理暴击率,0,1,0,19,0
17,magiccrit,魔法暴击,英雄的魔法暴击率,0,1,0,20,0
18,phycrittimes,物暴等级,影响英雄造成的[1]物理暴击伤害[0],1,1,0,21,0
19,armorbreak,物理穿透,减少敌方[1]物理防御[0]的效果,1,1,0,22,0
20,magicbreak,魔法穿透,减少敌方[1]魔法防御[0]的效果,1,1,0,23,0
21,vampire,吸血比率,造成伤害所转换的回血量,0,1,0,24,0
22,heal,治疗等级,影响英雄的治疗量,0,1,0,25,0
23,physicaldamage,物理抵抗,减少[1]物理伤害[0]的最终值,0,1,0,26,0
24,magichurt,魔法抵抗,减少[1]魔法伤害[0]的最终值,0,1,0,27,0
25,immunitydamage,伤害抵抗,减少[1]所有伤害[0]的最终值,0,1,0,28,0
26,phychance,物理暴率,英雄的[1]物理伤害[0]暴击率,0,1,0,29,0
27,magicchance,魔法暴率,英雄的[1]魔法伤害[0]暴击率,0,1,0,30,0
28,blockchance,格挡概率,英雄的格挡几率,0,1,0,31,0
29,mentalattack,神术攻击,影响英雄的[1]神术攻击[0],1,1,100,12,wenzhang_sg.png
30,mentaldefense,神术防御,影响英雄的[1]神术防御[0],1,1,100,13,wenzhang_sf.png
31,plusdamage,增加伤害,英雄的额外伤害增加,0,1,0,32,0
32,damagenearly,强化物理,增加英雄的[1]物理伤害[0],0,1,0,33,0
33,damagefar,强化魔法,增加英雄的[1]魔法伤害[0],0,1,0,34,0
34,critnearlyavoid,物理抗暴,增加英雄[1]抵抗物理暴击[0]的几率,0,1,0,35,0
35,critfaravoid,魔法抗暴,增加英雄[1]抵抗魔法暴击[0]的几率,0,1,0,36,0
36,broken,破击等级,提高[1]无视敌人格挡[0]的几率,0,1,0,37,0
37,magictimes,魔暴等级,影响英雄造成的[1]魔法暴击伤害[0],1,1,0,38,0
38,nearlypower,物理穿刺,增加[1]物理穿刺伤害[0],0,1,0,39,0
39,farpower,魔法穿刺,增加[1]魔法穿刺伤害[0],0,1,0,40,0
40,powerdamage,穿刺伤害,增加[1]穿刺伤害[0],0,1,0,41,0
41,nearlypowerbreaks,穿刺物防,提升对[1]物理穿刺伤害的防御[0],0,1,0,42,0
42,farpowerbreaks,穿刺魔防,提升对[1]魔法穿刺伤害的防御[0],0,1,0,43,0
43,powerbreaks,穿刺防御,提升对[1]穿刺伤害的防御[0],0,1,0,44,0
44,nearlyreal,物理重击,增加[1]物理重击伤害[0],0,1,0,45,0
45,farreal,魔法重击,增加[1]魔法重击伤害[0],0,1,0,46,0
46,realdamage,重击伤害,增加[1]重击伤害[0],0,1,0,47,0
47,nearlyrealbreaks,重击物防,提升对[1]物理重击伤害的防御[0],0,1,0,48,0
48,farrealbreaks,重击魔防,提升对[1]魔法重击伤害的防御[0],0,1,0,49,0
49,realbreaks,重击防御,提升对[1]重击伤害的防御[0],0,1,0,50,0
50,nearlystrong,碾压物伤,增加[1]物理碾压伤害[0],0,1,0,51,0
51,farstrong,碾压法伤,增加[1]魔法碾压伤害[0],0,1,0,52,0
52,strongdamage,碾压伤害,增加[1]碾压伤害[0],0,1,0,53,0
53,nearlystrongbreaks,碾压物防,提升对[1]物理碾压伤害的防御[0],0,1,0,54,0
54,farstrongbreaks,碾压法防,提升对[1]魔法碾压伤害的防御[0],0,1,0,55,0
55,strongbreaks,碾压防御,提升对[1]碾压伤害的防御[0],0,1,0,56,0
56,nearlychaos,致命物伤,增加[1]物理致命伤害[0],0,1,0,57,0
57,farchaos,致命法伤,增加[1]魔法致命伤害[0],0,1,0,58,0
58,chaosdamage,致命伤害,增加[1]致命伤害[0],0,1,0,59,0
59,nearlychaosbreaks,致命物防,提升对[1]物理致命伤害的防御[0],0,1,0,60,0
60,farchaosbreaks,致命法防,提升对[1]魔法致命伤害的防御[0],0,1,0,61,0
61,chaosbreaks,致命防御,提升对[1]致命伤害的防御[0],0,1,0,62,0
62,holyatt,神圣攻击,[1]神圣属性[0]的攻击力,1,1,0,63,0
63,holydef,神圣防御,[1]神圣属性[0]的防御力,1,1,0,64,0
64,holydamage,神圣加成,提升[1]神圣攻击[0],0,1,0,65,0
65,holybreaks,神圣减免,提升[1]神圣防御[0],0,1,0,66,0
66,injury,重伤等级,减少敌人的[1]治疗效果[0],0,1,0,67,0
67,cure,治愈等级,提升英雄的[1]治疗效果[0],0,1,0,68,0
68,toughness,韧性等级,降低[1]控制技能[0]的持续时间,0,1,0,69,0
69,resistance,抵抗控制,提升英雄[1]抵抗控制技能[0]的几率,0,1,0,70,0
70,phycritbreaks,物暴减伤,降低英雄受到[1]物理暴击[0]的伤害,0,1,0,71,0
71,magiccritbreaks,魔暴减伤,降低英雄受到[1]魔法暴击[0]的伤害,0,1,0,72,0
72,attacksubspeed,佣兵攻速,佣兵的攻速,1,1,0,73,0
