mercenary_id,mercenary_name,mercenary_icon,mercenary_level,mercenary_camp,mercenary_type,mercenary_hole,mercenary_index,mercenary_txt,base_type,base_value,base_txt,value_txt1,value_txt2,mercenary_speed,mercenary_attack,mercenary_skill1,mercenary_skill2,mercenary_skill3,mercenary_skill4,mercenary_model,flyeffect,sort,show
50100001,默认近战佣兵,clogo2201,1,1,1,0,1,0,0,0,0,0,0,2000,10001,100001,0,0,0,1101,0,0,0
50100002,默认远程佣兵,clogo2201,1,1,2,0,1,0,0,0,0,0,0,1000,10002,200001,0,0,0,1102,0,0,0
50100003,默认远程佣兵,clogo2201,1,1,2,0,1,0,0,0,0,0,0,1000,10003,200001,0,0,0,1103,0,0,0
50101011,卫兵·首领,mercenary_1010,1,1,1,1,1,主属性为物理攻击，副属性为物理攻击,0,0,激活属性：无,物理攻击,物理攻击,2000,10001,100001,0,0,0,1101,0,1,1
50101012,卫兵·首领,mercenary_1010,1,1,1,1,2,主属性为物理攻击，副属性为物理攻击,0,0,激活属性：无,物理攻击,物理攻击,2000,10001,100001,0,0,0,1101,0,1,1
50101013,卫兵·首领,mercenary_1010,1,1,1,1,3,主属性为物理攻击，副属性为物理攻击,0,0,激活属性：无,物理攻击,物理攻击,2000,10001,100001,0,0,0,1101,0,1,1
50101014,卫兵·首领,mercenary_1010,1,1,1,1,4,主属性为物理攻击，副属性为物理攻击,0,0,激活属性：无,物理攻击,物理攻击,2000,10001,100001,0,0,0,1101,0,1,1
50101021,卫兵·核心,mercenary_1010,1,1,1,2,1,主属性为物理攻击，副属性为物理防御,107,38,激活属性：物理攻击,物理攻击,物理防御,0,0,0,0,0,0,0,0,2,1
50101022,卫兵·核心,mercenary_1010,1,1,1,2,2,主属性为物理攻击，副属性为物理防御,107,75,激活属性：物理攻击,物理攻击,物理防御,0,0,0,0,0,0,0,0,2,1
50101023,卫兵·核心,mercenary_1010,1,1,1,2,3,主属性为物理攻击，副属性为物理防御,107,150,激活属性：物理攻击,物理攻击,物理防御,0,0,0,0,0,0,0,0,2,1
50101024,卫兵·核心,mercenary_1010,1,1,1,2,4,主属性为物理攻击，副属性为物理防御,107,300,激活属性：物理攻击,物理攻击,物理防御,0,0,0,0,0,0,0,0,2,1
50101031,卫兵·精锐,mercenary_1010,1,1,1,3,1,主属性为物理防御，副属性为魔法防御,108,38,激活属性：物理防御,物理防御,魔法防御,0,0,0,0,0,0,0,0,3,1
50101032,卫兵·精锐,mercenary_1010,1,1,1,3,2,主属性为物理防御，副属性为魔法防御,108,75,激活属性：物理防御,物理防御,魔法防御,0,0,0,0,0,0,0,0,3,1
50101033,卫兵·精锐,mercenary_1010,1,1,1,3,3,主属性为物理防御，副属性为魔法防御,108,150,激活属性：物理防御,物理防御,魔法防御,0,0,0,0,0,0,0,0,3,1
50101034,卫兵·精锐,mercenary_1010,1,1,1,3,4,主属性为物理防御，副属性为魔法防御,108,300,激活属性：物理防御,物理防御,魔法防御,0,0,0,0,0,0,0,0,3,1
50101041,卫兵·特种,mercenary_1010,1,1,1,4,1,主属性为活力等级，副属性为物理防御,106,38,激活属性：生命总量,活力等级,物理防御,0,0,0,0,0,0,0,0,4,1
50101042,卫兵·特种,mercenary_1010,1,1,1,4,2,主属性为活力等级，副属性为物理防御,106,75,激活属性：生命总量,活力等级,物理防御,0,0,0,0,0,0,0,0,4,1
50101043,卫兵·特种,mercenary_1010,1,1,1,4,3,主属性为活力等级，副属性为物理防御,106,150,激活属性：生命总量,活力等级,物理防御,0,0,0,0,0,0,0,0,4,1
50101044,卫兵·特种,mercenary_1010,1,1,1,4,4,主属性为活力等级，副属性为物理防御,106,300,激活属性：生命总量,活力等级,物理防御,0,0,0,0,0,0,0,0,4,1
50102011,骷髅兵·首领,mercenary_1010,1,2,1,1,1,主属性为心智攻击，副属性为心智伤害,0,0,激活属性：无,心智攻击,心智伤害,1000,10002,200001,0,0,0,2101,0,5,1
50102012,骷髅兵·首领,mercenary_1010,1,2,1,1,2,主属性为心智攻击，副属性为心智伤害,0,0,激活属性：无,心智攻击,心智伤害,1000,10002,200001,0,0,0,2101,0,5,1
50102013,骷髅兵·首领,mercenary_1010,1,2,1,1,3,主属性为心智攻击，副属性为心智伤害,0,0,激活属性：无,心智攻击,心智伤害,1000,10002,200001,0,0,0,2101,0,5,1
50102014,骷髅兵·首领,mercenary_1010,1,2,1,1,4,主属性为心智攻击，副属性为心智伤害,0,0,激活属性：无,心智攻击,心智伤害,1000,10002,200001,0,0,0,2101,0,5,1
50102021,骷髅兵·核心,mercenary_1010,1,2,1,2,1,主属性为心智攻击，副属性为心智伤害,73,38,激活属性：心智伤害,心智攻击,心智伤害,0,0,0,0,0,0,0,0,6,1
50102022,骷髅兵·核心,mercenary_1010,1,2,1,2,2,主属性为心智攻击，副属性为心智伤害,73,75,激活属性：心智伤害,心智攻击,心智伤害,0,0,0,0,0,0,0,0,6,1
50102023,骷髅兵·核心,mercenary_1010,1,2,1,2,3,主属性为心智攻击，副属性为心智伤害,73,150,激活属性：心智伤害,心智攻击,心智伤害,0,0,0,0,0,0,0,0,6,1
50102024,骷髅兵·核心,mercenary_1010,1,2,1,2,4,主属性为心智攻击，副属性为心智伤害,73,300,激活属性：心智伤害,心智攻击,心智伤害,0,0,0,0,0,0,0,0,6,1
50102031,骷髅兵·精锐,mercenary_1010,1,2,1,3,1,主属性为心智防御，副属性为物理防御,74,38,激活属性：心智减免,心智防御,物理防御,0,0,0,0,0,0,0,0,7,1
50102032,骷髅兵·精锐,mercenary_1010,1,2,1,3,2,主属性为心智防御，副属性为物理防御,74,75,激活属性：心智减免,心智防御,物理防御,0,0,0,0,0,0,0,0,7,1
50102033,骷髅兵·精锐,mercenary_1010,1,2,1,3,3,主属性为心智防御，副属性为物理防御,74,150,激活属性：心智减免,心智防御,物理防御,0,0,0,0,0,0,0,0,7,1
50102034,骷髅兵·精锐,mercenary_1010,1,2,1,3,4,主属性为心智防御，副属性为物理防御,74,300,激活属性：心智减免,心智防御,物理防御,0,0,0,0,0,0,0,0,7,1
50102041,骷髅兵·特种,mercenary_1010,1,2,1,4,1,主属性为活力等级，副属性为魔法防御,106,38,激活属性：生命总量,活力等级,魔法防御,0,0,0,0,0,0,0,0,8,1
50102042,骷髅兵·特种,mercenary_1010,1,2,1,4,2,主属性为活力等级，副属性为魔法防御,106,75,激活属性：生命总量,活力等级,魔法防御,0,0,0,0,0,0,0,0,8,1
50102043,骷髅兵·特种,mercenary_1010,1,2,1,4,3,主属性为活力等级，副属性为魔法防御,106,150,激活属性：生命总量,活力等级,魔法防御,0,0,0,0,0,0,0,0,8,1
50102044,骷髅兵·特种,mercenary_1010,1,2,1,4,4,主属性为活力等级，副属性为魔法防御,106,300,激活属性：生命总量,活力等级,魔法防御,0,0,0,0,0,0,0,0,8,1
50103011,矮人战士·首领,mercenary_1010,1,3,1,1,1,主属性为物理防御，副属性为物理防御,0,0,激活属性：无,物理防御,物理防御,2000,10002,200001,0,0,0,3101,0,9,1
50103012,矮人战士·首领,mercenary_1010,1,3,1,1,2,主属性为物理防御，副属性为物理防御,0,0,激活属性：无,物理防御,物理防御,2000,10002,200001,0,0,0,3101,0,9,1
50103013,矮人战士·首领,mercenary_1010,1,3,1,1,3,主属性为物理防御，副属性为物理防御,0,0,激活属性：无,物理防御,物理防御,2000,10002,200001,0,0,0,3101,0,9,1
50103014,矮人战士·首领,mercenary_1010,1,3,1,1,4,主属性为物理防御，副属性为物理防御,0,0,激活属性：无,物理防御,物理防御,2000,10002,200001,0,0,0,3101,0,9,1
50103021,矮人战士·核心,mercenary_1010,1,3,1,2,1,主属性为物理攻击，副属性为活力等级,107,38,激活属性：物理攻击,物理攻击,活力等级,0,0,0,0,0,0,0,0,10,1
50103022,矮人战士·核心,mercenary_1010,1,3,1,2,2,主属性为物理攻击，副属性为活力等级,107,75,激活属性：物理攻击,物理攻击,活力等级,0,0,0,0,0,0,0,0,10,1
50103023,矮人战士·核心,mercenary_1010,1,3,1,2,3,主属性为物理攻击，副属性为活力等级,107,150,激活属性：物理攻击,物理攻击,活力等级,0,0,0,0,0,0,0,0,10,1
50103024,矮人战士·核心,mercenary_1010,1,3,1,2,4,主属性为物理攻击，副属性为活力等级,107,300,激活属性：物理攻击,物理攻击,活力等级,0,0,0,0,0,0,0,0,10,1
50103031,矮人战士·精锐,mercenary_1010,1,3,1,3,1,主属性为物理防御，副属性为物理攻击,108,38,激活属性：物理防御,物理防御,物理攻击,0,0,0,0,0,0,0,0,11,1
50103032,矮人战士·精锐,mercenary_1010,1,3,1,3,2,主属性为物理防御，副属性为物理攻击,108,75,激活属性：物理防御,物理防御,物理攻击,0,0,0,0,0,0,0,0,11,1
50103033,矮人战士·精锐,mercenary_1010,1,3,1,3,3,主属性为物理防御，副属性为物理攻击,108,150,激活属性：物理防御,物理防御,物理攻击,0,0,0,0,0,0,0,0,11,1
50103034,矮人战士·精锐,mercenary_1010,1,3,1,3,4,主属性为物理防御，副属性为物理攻击,108,300,激活属性：物理防御,物理防御,物理攻击,0,0,0,0,0,0,0,0,11,1
50103041,矮人战士·特种,mercenary_1010,1,3,1,4,1,主属性为活力等级，副属性为物理攻击,106,38,激活属性：生命总量,活力等级,物理攻击,0,0,0,0,0,0,0,0,12,1
50103042,矮人战士·特种,mercenary_1010,1,3,1,4,2,主属性为活力等级，副属性为物理攻击,106,75,激活属性：生命总量,活力等级,物理攻击,0,0,0,0,0,0,0,0,12,1
50103043,矮人战士·特种,mercenary_1010,1,3,1,4,3,主属性为活力等级，副属性为物理攻击,106,150,激活属性：生命总量,活力等级,物理攻击,0,0,0,0,0,0,0,0,12,1
50103044,矮人战士·特种,mercenary_1010,1,3,1,4,4,主属性为活力等级，副属性为物理攻击,106,300,激活属性：生命总量,活力等级,物理攻击,0,0,0,0,0,0,0,0,12,1
50104011,林妖·首领,mercenary_1010,1,4,2,1,1,主属性为魔法攻击，副属性为魔法攻击,0,0,激活属性：无,魔法攻击,魔法攻击,1000,10002,100001,200001,0,0,2101,0,13,1
50104012,林妖·首领,mercenary_1010,1,4,2,1,2,主属性为魔法攻击，副属性为魔法攻击,0,0,激活属性：无,魔法攻击,魔法攻击,1000,10002,100001,200001,0,0,2101,0,13,1
50104013,林妖·首领,mercenary_1010,1,4,2,1,3,主属性为魔法攻击，副属性为魔法攻击,0,0,激活属性：无,魔法攻击,魔法攻击,1000,10002,100001,200001,0,0,2101,0,13,1
50104014,林妖·首领,mercenary_1010,1,4,2,1,4,主属性为魔法攻击，副属性为魔法攻击,0,0,激活属性：无,魔法攻击,魔法攻击,1000,10002,100001,200001,0,0,2101,0,13,1
50104021,林妖·核心,mercenary_1010,1,4,2,2,1,主属性为魔法攻击，副属性为魔法攻击,109,38,激活属性：魔法攻击,魔法攻击,魔法攻击,0,0,0,0,0,0,0,0,14,1
50104022,林妖·核心,mercenary_1010,1,4,2,2,2,主属性为魔法攻击，副属性为魔法攻击,109,75,激活属性：魔法攻击,魔法攻击,魔法攻击,0,0,0,0,0,0,0,0,14,1
50104023,林妖·核心,mercenary_1010,1,4,2,2,3,主属性为魔法攻击，副属性为魔法攻击,109,150,激活属性：魔法攻击,魔法攻击,魔法攻击,0,0,0,0,0,0,0,0,14,1
50104024,林妖·核心,mercenary_1010,1,4,2,2,4,主属性为魔法攻击，副属性为魔法攻击,109,300,激活属性：魔法攻击,魔法攻击,魔法攻击,0,0,0,0,0,0,0,0,14,1
50104031,林妖·精锐,mercenary_1010,1,4,2,3,1,主属性为魔法防御，副属性为物理防御,110,38,激活属性：魔法防御,魔法防御,物理防御,0,0,0,0,0,0,0,0,15,1
50104032,林妖·精锐,mercenary_1010,1,4,2,3,2,主属性为魔法防御，副属性为物理防御,110,75,激活属性：魔法防御,魔法防御,物理防御,0,0,0,0,0,0,0,0,15,1
50104033,林妖·精锐,mercenary_1010,1,4,2,3,3,主属性为魔法防御，副属性为物理防御,110,150,激活属性：魔法防御,魔法防御,物理防御,0,0,0,0,0,0,0,0,15,1
50104034,林妖·精锐,mercenary_1010,1,4,2,3,4,主属性为魔法防御，副属性为物理防御,110,300,激活属性：魔法防御,魔法防御,物理防御,0,0,0,0,0,0,0,0,15,1
50104041,林妖·特种,mercenary_1010,1,4,2,4,1,主属性为活力等级，副属性为心智防御,106,38,激活属性：生命总量,活力等级,心智防御,0,0,0,0,0,0,0,0,16,1
50104042,林妖·特种,mercenary_1010,1,4,2,4,2,主属性为活力等级，副属性为心智防御,106,75,激活属性：生命总量,活力等级,心智防御,0,0,0,0,0,0,0,0,16,1
50104043,林妖·特种,mercenary_1010,1,4,2,4,3,主属性为活力等级，副属性为心智防御,106,150,激活属性：生命总量,活力等级,心智防御,0,0,0,0,0,0,0,0,16,1
50104044,林妖·特种,mercenary_1010,1,4,2,4,4,主属性为活力等级，副属性为心智防御,106,300,激活属性：生命总量,活力等级,心智防御,0,0,0,0,0,0,0,0,16,1
50105011,小恶魔·首领,mercenary_1010,1,5,1,1,1,主属性为心智防御，副属性为心智减免,0,0,激活属性：无,心智防御,心智减免,2000,10001,100001,200001,0,0,2101,0,17,1
