id,type,activity_id,call_single_type,call_single_points,call_ten_type,call_ten_points,cost_single_item,cost_single_num,cost_ten_item,cost_ten_num,reward_points_group,rank_award_group,main_hero_id1,hero_id1,hero_id2,hero_id3,hero_id4,hero_id5,hero_id6,hero_id7,call_describe,describe,keyid
1,1,0,203,10,105,100,91000002,300,91000002,2680,1,1,2002,3002,4010,2005,3007,3011,4002,1011,橙色或红色英雄,众神之剑,1
10001,2,900701,203,10,105,100,91000002,300,91000002,2680,10001,10001,1003,1008,1011,3001,3005,3007,3011,4002,橙色或红色英雄,复仇天使,10001
10002,2,0,203,10,105,100,91000002,300,91000002,2680,10002,10002,1004,1001,1002,1005,2005,3007,3011,4002,橙色或红色英雄,破誓者,10002
10003,2,0,203,10,105,100,91000002,300,91000002,2680,10003,10003,1009,2001,2003,2008,2009,4010,2005,3007,橙色或红色英雄,黑暗先知,10003
10004,2,0,203,10,105,100,91000002,300,91000002,2680,10004,10004,2002,3002,3003,3009,4005,4010,2005,3007,橙色或红色英雄,众神之剑,10004
10005,2,0,203,10,105,100,91000002,300,91000002,2680,10005,10005,2011,1001,1005,3007,2005,3011,4002,1011,橙色或红色英雄,教廷圣女,10005
10006,2,0,203,10,105,100,91000002,300,91000002,2680,10006,10006,3010,3003,3009,2005,3007,3011,4002,1011,橙色或红色英雄,恶魔之拥,10006
10007,2,0,203,10,105,100,91000002,300,91000002,2680,10007,10007,4003,1005,1006,3002,4010,3011,3007,1011,橙色或红色英雄,圣光祭司,10007
10008,2,0,203,10,105,100,91000002,300,91000002,2680,10008,10008,4007,3009,1005,1006,2005,3007,3011,4002,橙色或红色英雄,猩红之王,10008
10009,2,0,203,10,105,100,91000002,300,91000002,2680,10009,10009,4011,2008,2009,3009,4010,2005,3007,1011,橙色或红色英雄,冰晶之心,10009
