base_id,beauty_id,name,quality,stage_lv_show,stage_lv,treasurea1_stage_lv,treasurea1,treasurea2,treasurea3,treasurea4,treasurea5,treasurea6,item1,item_cost1,item2,item_cost2,skill_id,extra_attributes_type1,extra_attribute_addvalue1,extra_attributes_type2,extra_attribute_addvalue2,fight,announcement,beauty_picture,beauty_icon,describe,rank,nickname_picture,scene_picture,text,maxlevel
1,5001,夏梵龙泪冠,5,0,0,1,500101,500102,500103,500104,500105,500106,0,0,0,0,0,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
2,5001,夏梵龙泪冠,5,1,1,2,500101,500102,500103,500104,500105,500106,80500101,4,80000011,2,900101,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
3,5001,夏梵龙泪冠,5,2,2,3,500101,500102,500103,500104,500105,500106,80500101,5,80000011,3,900102,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
4,5001,夏梵龙泪冠,5,3,3,4,500101,500102,500103,500104,500105,500106,80500101,6,80000011,4,900103,6,4800,99,96000,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
5,5001,夏梵龙泪冠,5,4,4,5,500101,500102,500103,500104,500105,500106,80500101,8,80000011,5,900104,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
6,5001,夏梵龙泪冠,5,5,5,6,500101,500102,500103,500104,500105,500106,80500101,11,80000011,6,900105,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
7,5001,夏梵龙泪冠,5,6,6,7,500101,500102,500103,500104,500105,500106,80500101,14,80000011,8,900106,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
8,5001,夏梵龙泪冠,5,7,7,8,500101,500102,500103,500104,500105,500106,80500101,18,80000011,10,900107,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
9,5001,夏梵龙泪冠,5,8,8,9,500101,500102,500103,500104,500105,500106,80500101,23,80000011,13,900108,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
10,5001,夏梵龙泪冠,5,9,9,10,500101,500102,500103,500104,500105,500106,80500101,30,80000011,17,900109,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
11,5001,夏梵龙泪冠,5,10,10,11,500101,500102,500103,500104,500105,500106,80500101,39,80000011,22,900110,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
12,5001,夏梵龙泪冠,5,11,11,12,500101,500102,500103,500104,500105,500106,80500101,51,80000011,28,900111,6,23200,99,464000,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
13,5001,夏梵龙泪冠,5,12,12,13,500101,500102,500103,500104,500105,500106,80500101,67,80000011,37,900112,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
14,5001,夏梵龙泪冠,5,13,13,14,500101,500102,500103,500104,500105,500106,80500101,87,80000011,48,900113,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
15,5001,夏梵龙泪冠,5,14,14,15,500101,500102,500103,500104,500105,500106,80500101,113,80000011,63,900114,0,0,99,0,0,0,130003,130003,近战进攻型,1,130003,130003,0,20
16,5001,夏梵龙泪冠,5,15,15,16,500101,500102,500103,500104,500105,500106,80500101,146,80000011,81,900115,0,0,99,0,0,1,130003,130003,近战进攻型,1,130003,130003,0,20
17,5001,夏梵龙泪冠,5,16,16,17,500101,500102,500103,500104,500105,500106,80500101,190,80000011,106,900116,0,0,99,0,0,1,130003,130003,近战进攻型,1,130003,130003,0,20
18,5001,夏梵龙泪冠,5,17,17,18,500101,500102,500103,500104,500105,500106,80500101,247,80000011,137,900117,0,0,99,0,0,1,130003,130003,近战进攻型,1,130003,130003,0,20
19,5001,夏梵龙泪冠,5,18,18,19,500101,500102,500103,500104,500105,500106,80500101,322,80000011,179,900118,0,0,99,0,0,1,130003,130003,近战进攻型,1,130003,130003,0,20
20,5001,夏梵龙泪冠,5,19,19,20,500101,500102,500103,500104,500105,500106,80500101,456,80000011,232,900119,0,0,99,0,0,1,130003,130003,近战进攻型,1,130003,130003,0,20
21,5001,夏梵龙泪冠,5,20,20,21,500101,500102,500103,500104,500105,500106,0,0,0,0,900120,6,572000,99,11440000,0,1,130003,130003,近战进攻型,1,130003,130003,0,20
