ID,type,call_num,cost_item1,cost_num1,cost_item2,cost_num2,weight1,dropsmall_horse_id1,dropitem_num1,weight2,dropsmall_horse_id2,dropitem_num2,get_judge_exp
1001,1,2,91000001,10000,0,0,10000,1001,1,0,0,1,1
1002,1,4,91000001,10000,0,0,10000,1001,1,0,0,1,1
1003,1,6,91000001,20000,0,0,10000,1001,1,0,0,1,1
1004,1,8,91000001,20000,0,0,10000,1001,1,0,0,1,1
1005,1,12,91000001,30000,0,0,10000,1001,1,0,0,1,1
1006,1,16,91000001,50000,0,0,10000,1001,1,0,0,1,1
1007,1,20,91000001,80000,0,0,10000,1001,1,0,0,1,1
1008,1,25,91000001,100000,0,0,10000,1001,1,0,0,1,1
1009,1,30,91000001,100000,0,0,10000,1001,1,0,0,1,1
1010,1,35,91000001,100000,0,0,10000,1001,1,0,0,1,1
1011,1,40,91000001,100000,0,0,10000,1001,1,0,0,1,1
1012,1,45,91000001,100000,0,0,10000,1001,1,0,0,1,1
1013,1,50,91000001,100000,0,0,10000,1001,1,0,0,1,1
1014,1,60,91000001,100000,0,0,10000,1001,1,0,0,1,1
1015,1,70,91000001,100000,0,0,10000,1001,1,0,0,1,1
1016,1,99999999,91000001,100000,0,0,10000,1001,1,0,0,1,1
2001,2,1,91000002,50,15100105,1,10000,1002,1,0,0,0,2
2002,2,3,91000002,50,15100105,1,10000,1002,1,0,0,0,2
2003,2,5,91000002,50,15100105,1,10000,1002,1,0,0,0,2
2004,2,7,91000002,60,15100105,1,10000,1002,1,0,0,0,2
2005,2,9,91000002,60,15100105,1,10000,1002,1,0,0,0,2
2006,2,12,91000002,60,15100105,1,10000,1002,1,0,0,0,2
2007,2,15,91000002,60,15100105,1,10000,1002,1,0,0,0,2
2008,2,18,91000002,80,15100105,1,10000,1002,1,0,0,0,2
2009,2,22,91000002,80,15100105,1,10000,1002,1,0,0,0,2
2010,2,26,91000002,80,15100105,1,10000,1002,1,0,0,0,2
2011,2,30,91000002,80,15100105,1,10000,1002,1,0,0,0,2
2012,2,34,91000002,100,15100105,1,10000,1002,1,0,0,0,2
2013,2,38,91000002,100,15100105,1,10000,1002,1,0,0,0,2
2014,2,42,91000002,100,15100105,1,10000,1002,1,0,0,0,2
2015,2,46,91000002,100,15100105,1,10000,1002,1,0,0,0,2
2016,2,99999999,91000002,100,15100105,1,10000,1002,1,0,0,0,2
