ID,type,quality,soul_type,name,attribute_name,attribute_type,attribute_base_valve,attribute_parm1,dragon_hole_attribute,dragon_hole_attribute_type1,dragon_hole_attribute1,upgrade_model,soul_mod,soul_icon
14100101,1,2,1,活力,生命总量,6,100,10,30000,99,600000,61,0,elogo14100101.png
14100201,1,2,2,利爪,物理攻击,7,100,10,3000,99,300000,71,0,elogo14100201.png
14100301,1,2,3,石肤,物理防御,8,100,10,3000,99,300000,71,0,elogo14100301.png
14100401,1,2,4,魔力,魔法攻击,9,100,10,6000,99,300000,91,0,elogo14100401.png
14100501,1,2,5,抗魔,魔法防御,10,100,10,6000,99,300000,91,0,elogo14100501.png
14200101,1,3,1,强壮,生命总量,6,200,10,60000,99,1200000,62,0,elogo14200101.png
14200201,1,3,2,凶猛,物理攻击,7,200,10,6000,99,600000,72,0,elogo14200201.png
14200301,1,3,3,硬化,物理防御,8,200,10,6000,99,600000,72,0,elogo14200301.png
14200401,1,3,4,魔能,魔法攻击,9,200,10,12000,99,600000,92,0,elogo14200401.png
14200501,1,3,5,破魔,魔法防御,10,200,10,12000,99,600000,92,0,elogo14200501.png
14200601,1,3,6,侵蚀,神术攻击,29,200,10,6000,99,600000,72,0,elogo14200601.png
14200701,1,3,7,集中,神术防御,30,200,10,6000,99,600000,72,0,elogo14200701.png
14300101,1,4,1,血脉,生命总量,6,400,10,90000,99,1800000,63,0,elogo14300101.png
14300201,1,4,2,狂暴,物理攻击,7,400,10,9000,99,900000,73,0,elogo14300201.png
14300301,1,4,3,坚韧,物理防御,8,400,10,9000,99,900000,73,0,elogo14300301.png
14300401,1,4,4,强能,魔法攻击,9,400,10,18000,99,900000,93,0,elogo14300401.png
14300501,1,4,5,虚无,魔法防御,10,400,10,18000,99,900000,93,0,elogo14300501.png
14300601,1,4,6,折磨,神术攻击,29,400,10,9000,99,900000,73,0,elogo14300601.png
14300701,1,4,7,冥想,神术防御,30,400,10,9000,99,900000,73,0,elogo14300701.png
14300801,1,4,8,龙魂,物理暴击,16,400,10,180,99,900000,1063,0,elogo14300801.png
14300901,1,4,9,嗜血,魔法暴击,17,400,10,180,99,900000,1063,0,elogo14300901.png
14301001,1,4,10,钢骨,物理抗暴,34,400,10,180,99,900000,1063,0,elogo14301001.png
14301101,1,4,11,神启,魔法抗暴,35,400,10,180,99,900000,1063,0,elogo14301101.png
14301201,1,4,12,力场,命中等级,13,400,10,180,99,900000,1063,0,elogo14301201.png
14301301,1,4,13,噬魂,闪避等级,14,400,10,180,99,900000,1063,0,elogo14301301.png
14301401,1,4,14,洞悉,格挡等级,15,400,10,180,99,900000,1063,0,elogo14301401.png
14400101,1,5,1,龙族血脉,生命总量,6,800,10,150000,99,3000000,64,0,elogo14400101.png
14400201,1,5,2,泰坦之力,物理攻击,7,800,10,15000,99,1500000,74,0,elogo14400201.png
14400301,1,5,3,神盾护体,物理防御,8,800,10,15000,99,1500000,74,0,elogo14400301.png
14400401,1,5,4,魔力奔腾,魔法攻击,9,800,10,30000,99,1500000,94,0,elogo14400401.png
14400501,1,5,5,元素铠甲,魔法防御,10,800,10,30000,99,1500000,94,0,elogo14400501.png
14400601,1,5,6,心灵控制,神术攻击,29,800,10,15000,99,1500000,74,0,elogo14400601.png
14400701,1,5,7,灵魂结界,神术防御,30,800,10,15000,99,1500000,74,0,elogo14400701.png
14400801,1,5,8,远古体魄,物理暴击,16,800,10,300,99,1500000,1064,0,elogo14400801.png
14400901,1,5,9,无敌战技,魔法暴击,17,800,10,300,99,1500000,1064,0,elogo14400901.png
14401001,1,5,10,不朽皮肤,物理抗暴,34,800,10,300,99,1500000,1064,0,elogo14401001.png
14401101,1,5,11,魔力之躯,魔法抗暴,35,800,10,300,99,1500000,1064,0,elogo14401101.png
14401201,1,5,12,魔法亲和,命中等级,13,800,10,300,99,1500000,1064,0,elogo14401201.png
14401301,1,5,13,心灵压制,闪避等级,14,800,10,300,99,1500000,1064,0,elogo14401301.png
14401401,1,5,14,灵魂封闭,格挡等级,15,800,10,300,99,1500000,1064,0,elogo14401401.png
14401501,1,5,15,战兽王,破击等级,36,800,10,300,99,1500000,1064,0,elogo14401501.png
14401601,1,5,16,魔兽王,韧性等级,68,800,10,300,99,1500000,1064,0,elogo14401601.png
