id,class,position,attribute_type1,attribute_value1,attribute_type2,attribute_value2,attribute_type3,attribute_value3,attribute_type4,attribute_value4,attribute_hole1,attribute_hole2,attribute_hole3,add_effect,decompose_group,quality,icon,name,position_show
19100001,1,1,7,1800,9,1800,0,0,0,0,10101,10102,10103,1,1,9,elogo19100001.png,湛卢之剑,部位1
19100002,1,2,8,1800,10,1800,0,0,0,0,10101,10102,10103,1,1,9,elogo19100002.png,乌金之铠,部位2
19100003,1,3,6,9000,8,1800,0,0,0,0,10101,10102,10103,1,1,9,elogo19100003.png,玉衡之戒,部位3
19100004,1,4,6,9000,10,1800,0,0,0,0,10101,10102,10103,1,1,9,elogo19100004.png,月晕手环,部位4
19100005,1,5,6,18000,0,0,0,0,0,0,10101,10102,10103,1,1,9,elogo19100005.png,沧月项链,部位5
19100006,1,6,7,1800,9,1800,0,0,0,0,10101,10102,10103,1,1,9,elogo19100006.png,紫霞灵珠,部位6
19200001,2,1,7,3600,9,3600,0,0,0,0,20101,20102,20103,1,2,14,elogo19200001.png,龙渊之剑,部位1
19200002,2,2,8,3600,10,3600,0,0,0,0,20101,20102,20103,1,2,14,elogo19200002.png,龙吟之铠,部位2
19200003,2,3,6,18000,8,3600,0,0,0,0,20101,20102,20103,1,2,14,elogo19200003.png,开阳之戒,部位3
19200004,2,4,6,18000,10,3600,0,0,0,0,20101,20102,20103,1,2,14,elogo19200004.png,日灸手环,部位4
19200005,2,5,6,36000,0,0,0,0,0,0,20101,20102,20103,1,2,14,elogo19200005.png,金露项链,部位5
19200006,2,6,7,3600,9,3600,0,0,0,0,20101,20102,20103,1,2,14,elogo19200006.png,贯日灵珠,部位6
19300001,3,1,7,12000,9,12000,0,0,0,0,30101,30102,30103,1,3,20,elogo19300001.png,赤霄之剑,部位1
19300002,3,2,8,12000,10,12000,0,0,0,0,30101,30102,30103,1,3,20,elogo19300002.png,飞升之铠,部位2
19300003,3,3,6,30000,8,12000,0,0,0,0,30101,30102,30103,1,3,20,elogo19300003.png,明空之戒,部位3
19300004,3,4,6,30000,10,12000,0,0,0,0,30101,30102,30103,1,3,20,elogo19300004.png,摇光手环,部位4
19300005,3,5,6,60000,0,0,0,0,0,0,30101,30102,30103,1,3,20,elogo19300005.png,玄精项链,部位5
19300006,3,6,7,12000,9,12000,0,0,0,0,30101,30102,30103,1,3,20,elogo19300006.png,九玄灵珠,部位6
