sequence,bag,probability1,item,probability2,num,probability3
1,1,1,42000001,1,1,0
2,2,8900,71000003,100,1,0
3,2,0,71000004,20,1,0
4,2,0,76000003,100,1,0
5,2,0,76000004,34,1,0
6,2,0,76000005,10,1,0
7,2,0,76000006,4,1,0
8,2,0,81900001,20,1,0
9,2,0,71000003,50,2,0
10,2,0,71000004,10,2,0
11,2,0,76000003,50,2,0
12,2,0,76000004,17,2,0
13,2,0,76000005,5,2,0
14,2,0,76000006,2,2,0
15,2,0,81900001,10,2,0
16,2,0,83100001,100,1,0
17,2,0,83200001,100,1,0
18,2,0,82100001,100,1,0
19,2,0,82200001,100,1,0
20,2,0,81100001,100,1,0
21,2,0,81200001,100,1,0
22,3,1000,83100002,20,1,0
23,3,0,83100003,5,1,0
24,3,0,83100004,2,1,0
25,3,0,83100005,2,1,0
26,3,0,83100006,2,1,0
27,3,0,83200002,20,1,0
28,3,0,83200003,5,1,0
29,3,0,83200004,2,1,0
30,3,0,83200005,2,1,0
31,3,0,83200006,2,1,0
32,3,0,82100002,20,1,0
33,3,0,82100003,5,1,0
34,3,0,82100004,2,1,0
35,3,0,82100005,2,1,0
36,3,0,82100006,2,1,0
37,3,0,82200002,20,1,0
38,3,0,82200003,5,1,0
39,3,0,82200004,2,1,0
40,3,0,82200005,2,1,0
41,3,0,82200006,2,1,0
42,3,0,81100002,20,1,0
43,3,0,81100003,5,1,0
44,3,0,81100004,2,1,0
45,3,0,81100005,2,1,0
46,3,0,81100006,2,1,0
47,3,0,81200002,20,1,0
48,3,0,81200003,5,1,0
49,3,0,81200004,2,1,0
50,3,0,81200005,2,1,0
51,3,0,81200006,2,1,0
52,4,100,42000001,1,1,0
