id,type,jjccategory,jjcrankmin,jjcrankmax,robotlevel,robotstar,showfight,showfight1,optionhero1,armtype1,optionhero2,armtype2,optionhero3,armtype3,optionhero4,armtype4,optionhero5,armtype5,optionhero6,armtype6,optionhero7,armtype7,optionhero8,armtype8,optionhero9,armtype9,optionhero10,armtype10,hydraoption,ragevalue,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,base_type12,base_value12,base_type13,base_value13
1,1,1,1,1,35,7,24010000,22809500,2001,0,2007,0,4006,0,2005,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,171500,7,8575,8,1715,9,8575,10,1715,29,8575,30,1715,0,0,0,0,0,0,0,0
2,1,1,2,2,34,7,22009600,20909120,3011,0,4002,0,2003,0,1008,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,157216,7,7860,8,1572,9,7860,10,1572,29,7860,30,1572,0,0,0,0,0,0,0,0
3,1,1,3,3,33,7,20123800,19117610,2001,0,2007,0,4006,0,2005,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,143748,7,7187,8,1437,9,7187,10,1437,29,7187,30,1437,0,0,0,0,0,0,0,0
4,1,1,4,4,32,6,18348700,17431265,3011,0,4002,0,2003,0,1008,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,131072,7,6553,8,1310,9,6553,10,1310,29,6553,30,1310,0,0,0,0,0,0,0,0
5,1,1,5,5,31,6,16681900,15847805,2001,0,2007,0,4006,0,2005,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,119164,7,5958,8,1191,9,5958,10,1191,29,5958,30,1191,0,0,0,0,0,0,0,0
6,1,1,6,6,30,6,15120000,14364000,3011,0,4002,0,2003,0,1008,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,108000,7,5400,8,1080,9,5400,10,1080,29,5400,30,1080,0,0,0,0,0,0,0,0
7,1,1,7,7,29,6,13656600,12973770,2001,0,2007,0,4006,0,2005,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,97556,7,4877,8,975,9,4877,10,975,29,4877,30,975,0,0,0,0,0,0,0,0
8,1,1,8,8,28,6,12292800,11678160,3011,0,4002,0,2003,0,1008,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,87808,7,4390,8,878,9,4390,10,878,29,4390,30,878,0,0,0,0,0,0,0,0
9,1,1,9,9,27,6,11021700,10470615,2001,0,2007,0,4006,0,2005,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,78732,7,3936,8,787,9,3936,10,787,29,3936,30,787,0,0,0,0,0,0,0,0
10,1,1,10,10,27,5,11021700,10470615,3011,0,4002,0,2003,0,1008,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5004,0,11,20000,12,90,6,78732,7,3936,8,787,9,3936,10,787,29,3936,30,787,0,0,0,0,0,0,0,0
11,1,1,11,11,27,5,11021700,10470615,3011,0,4002,0,2003,0,1008,0,3007,0,4004,0,2009,0,1006,0,4005,0,2008,0,5003,0,11,20000,12,90,6,78732,7,3936,8,787,9,3936,10,787,29,3936,30,787,0,0,0,0,0,0,0,0
12,1,1,12,12,26,5,9842400,9350280,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,70304,7,3515,8,703,9,3515,10,703,29,3515,30,703,0,0,0,0,0,0,0,0
13,1,1,13,13,26,5,9842400,9350280,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,70304,7,3515,8,703,9,3515,10,703,29,3515,30,703,0,0,0,0,0,0,0,0
14,1,1,14,14,26,5,9842400,9350280,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,70304,7,3515,8,703,9,3515,10,703,29,3515,30,703,0,0,0,0,0,0,0,0
15,1,1,15,15,25,5,8750000,8312500,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,62500,7,3125,8,625,9,3125,10,625,29,3125,30,625,0,0,0,0,0,0,0,0
16,1,1,16,16,25,5,8750000,8312500,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,62500,7,3125,8,625,9,3125,10,625,29,3125,30,625,0,0,0,0,0,0,0,0
17,1,1,17,17,25,5,8750000,8312500,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,62500,7,3125,8,625,9,3125,10,625,29,3125,30,625,0,0,0,0,0,0,0,0
18,1,1,18,18,24,5,7739600,7352620,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,55296,7,2764,8,552,9,2764,10,552,29,2764,30,552,0,0,0,0,0,0,0,0
19,1,1,19,19,24,5,7739600,7352620,4010,0,1011,0,3009,0,1002,0,3002,0,3005,0,1005,0,1001,0,3003,0,3001,0,5003,0,11,20000,12,90,6,55296,7,2764,8,552,9,2764,10,552,29,2764,30,552,0,0,0,0,0,0,0,0
20,1,1,20,20,24,5,7739600,7352620,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5003,0,11,20000,12,90,6,55296,7,2764,8,552,9,2764,10,552,29,2764,30,552,0,0,0,0,0,0,0,0
21,1,1,21,40,23,5,6812300,6471685,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5003,0,11,20000,12,90,6,48668,7,2433,8,486,9,2433,10,486,29,2433,30,486,0,0,0,0,0,0,0,0
22,1,1,41,80,23,5,6812300,6471685,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5003,0,11,20000,12,90,6,48668,7,2433,8,486,9,2433,10,486,29,2433,30,486,0,0,0,0,0,0,0,0
23,1,1,81,100,23,4,6812300,6471685,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,48668,7,2433,8,486,9,2433,10,486,29,2433,30,486,0,0,0,0,0,0,0,0
24,1,1,101,150,22,4,5961200,5663140,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,42592,7,2129,8,425,9,2129,10,425,29,2129,30,425,0,0,0,0,0,0,0,0
25,1,1,151,200,22,4,5961200,5663140,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,42592,7,2129,8,425,9,2129,10,425,29,2129,30,425,0,0,0,0,0,0,0,0
26,1,1,201,300,22,4,5961200,5663140,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,42592,7,2129,8,425,9,2129,10,425,29,2129,30,425,0,0,0,0,0,0,0,0
27,1,1,301,400,21,4,5185400,4926130,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,37044,7,1852,8,370,9,1852,10,370,29,1852,30,370,0,0,0,0,0,0,0,0
28,1,1,401,500,21,4,5185400,4926130,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,37044,7,1852,8,370,9,1852,10,370,29,1852,30,370,0,0,0,0,0,0,0,0
29,1,1,501,1000,21,4,5185400,4926130,2010,0,3012,0,4001,0,1010,0,4009,0,3006,0,3008,0,1007,0,4008,0,0,0,5002,0,11,20000,12,90,6,37044,7,1852,8,370,9,1852,10,370,29,1852,30,370,0,0,0,0,0,0,0,0
30,1,1,1001,1500,20,4,4480000,4256000,2006,0,4010,0,2004,0,1002,0,3004,0,3003,0,0,0,0,0,0,0,0,0,5001,0,11,20000,12,90,6,32000,7,1600,8,320,9,1600,10,320,29,1600,30,320,0,0,0,0,0,0,0,0
