id,type,item_id,decompose_item,decompose_num,name
1,1,12100101,91000032,50,海洋之狼魂石
2,1,12100201,91000032,50,仲裁官魂石
3,1,12100301,91000032,2500,复仇天使魂石
4,1,12100401,91000032,2500,破誓者魂石
5,1,12100501,91000032,50,爆裂队长魂石
6,1,12100601,91000032,125,收割者魂石
7,1,12100701,91000032,5,灾祸使者魂石
8,1,12100801,91000032,125,唤魂妖姬魂石
9,1,12100901,91000032,2500,黑暗先知魂石
10,1,12101001,91000032,5,灵翼刺客魂石
11,1,12101101,91000032,50,影之牙魂石
12,1,12200101,91000032,125,暮光骑士魂石
13,1,12200201,91000032,2500,众神之剑魂石
14,1,12200301,91000032,125,通灵师魂石
15,1,12200401,91000032,2,精灵妖狐魂石
16,1,12200501,91000032,125,荒漠可汗魂石
17,1,12200601,91000032,2,圣殿先锋魂石
18,1,12200701,91000032,125,恶魔猎人魂石
19,1,12200801,91000032,125,风暴之眼魂石
20,1,12200901,91000032,125,原力法师魂石
21,1,12201001,91000032,5,熔岩斗士魂石
22,1,12201101,91000032,2500,教廷圣女魂石
23,1,12300101,91000032,50,火焰领主魂石
24,1,12300201,91000032,50,黑羽之箭魂石
25,1,12300301,91000032,50,魅魔女王魂石
26,1,12300401,91000032,2,凤凰之心魂石
27,1,12300501,91000032,50,刀魂魂石
28,1,12300601,91000032,5,部族贤者魂石
29,1,12300701,91000032,125,灵界大帝魂石
30,1,12300801,91000032,5,觅血屠夫魂石
31,1,12300901,91000032,50,夺灵者魂石
32,1,12301001,91000032,2500,恶魔之拥魂石
33,1,12301101,91000032,125,烈火精灵魂石
34,1,12301201,91000032,5,北岭之弓魂石
35,1,12400101,91000032,5,星界猎人魂石
36,1,12400201,91000032,125,雷霆之王魂石
37,1,12400301,91000032,2500,圣光祭司魂石
38,1,12400401,91000032,125,碎颅者魂石
39,1,12400501,91000032,125,狂暴利刃魂石
40,1,12400601,91000032,125,混沌法师魂石
41,1,12400701,91000032,2500,猩红之王魂石
42,1,12400801,91000032,5,仙林女神魂石
43,1,12400901,91000032,5,女伯爵魂石
44,1,12401001,91000032,50,元素之女魂石
45,1,12401101,91000032,2500,冰晶之心魂石
46,2,42000001,91000008,20,龙血
47,2,42100104,91000008,100,海洋之狼灵珀
48,2,42100204,91000008,100,仲裁官灵珀
49,2,42100304,91000040,100,战争女神灵珀
50,2,42100404,91000040,100,雷神灵珀
51,2,42100504,91000008,100,爆裂队长灵珀
52,2,42100604,91000008,100,收割者灵珀
53,2,42100704,91000008,100,灾祸使者灵珀
54,2,42100804,91000008,100,唤灵妖姬灵珀
55,2,42100904,91000040,100,堕落天使灵珀
56,2,42101004,91000008,100,灵翼刺客灵珀
57,2,42101104,91000008,100,影之牙灵珀
58,2,42200104,91000008,100,暮光骑士灵珀
59,2,42200204,91000040,100,众神之剑灵珀
60,2,42200304,91000008,100,通灵师灵珀
61,2,42200404,91000008,100,精灵妖狐灵珀
62,2,42200504,91000008,100,荒漠可汗灵珀
63,2,42200604,91000008,100,圣殿先锋灵珀
64,2,42200704,91000008,100,恶魔猎人灵珀
65,2,42200804,91000008,100,风暴之眼灵珀
66,2,42200904,91000008,100,原力法师灵珀
67,2,42201004,91000008,100,熔岩斗士灵珀
68,2,42201104,91000040,100,圣女灵珀
69,2,42300104,91000008,100,火焰领主灵珀
70,2,42300204,91000008,100,黑羽之箭灵珀
71,2,42300304,91000008,100,魅魔女王灵珀
72,2,42300404,91000008,100,凤凰之心灵珀
73,2,42300504,91000008,100,刀魂灵珀
74,2,42300604,91000008,100,部族贤者灵珀
75,2,42300704,91000008,100,灵界大帝灵珀
76,2,42300804,91000008,100,觅血屠夫灵珀
77,2,42300904,91000008,100,夺灵者灵珀
78,2,42301004,91000040,100,撒旦之力灵珀
79,2,42301104,91000008,100,烈火精灵灵珀
80,2,42301204,91000008,100,北岭之弓灵珀
81,2,42400104,91000008,100,星界猎人灵珀
82,2,42400204,91000008,100,雷霆之王灵珀
83,2,42400304,91000040,100,月神祭司灵珀
84,2,42400404,91000008,100,碎颅者灵珀
85,2,42400504,91000008,100,狂暴利刃灵珀
86,2,42400604,91000008,100,混沌法师灵珀
87,2,42400704,91000040,100,猩红之王灵珀
88,2,42400804,91000008,100,仙林女神灵珀
89,2,42400904,91000008,100,女伯爵灵珀
90,2,42401004,91000008,100,元素之女灵珀
91,2,42401104,91000040,100,奥术之主灵珀
92,2,44100104,91000008,5,海洋之狼碎珀
93,2,44100204,91000008,5,仲裁官碎珀
94,2,44100304,91000008,5,战争女神碎珀
95,2,44100404,91000040,5,雷神碎珀
96,2,44100504,91000040,5,爆裂队长碎珀
97,2,44100604,91000008,5,收割者碎珀
98,2,44100704,91000008,5,灾祸使者碎珀
99,2,44100804,91000008,5,唤灵妖姬碎珀
100,2,44100904,91000008,5,堕落天使碎珀
101,2,44101004,91000040,5,灵翼刺客碎珀
102,2,44101104,91000008,5,影之牙碎珀
103,2,44200104,91000008,5,暮光骑士碎珀
104,2,44200204,91000008,5,众神之剑碎珀
105,2,44200304,91000040,5,通灵师碎珀
106,2,44200404,91000008,5,精灵妖狐碎珀
107,2,44200504,91000008,5,荒漠可汗碎珀
108,2,44200604,91000008,5,圣殿先锋碎珀
109,2,44200704,91000008,5,恶魔猎人碎珀
110,2,44200804,91000008,5,风暴之眼碎珀
111,2,44200904,91000008,5,原力法师碎珀
112,2,44201004,91000008,5,熔岩斗士碎珀
113,2,44201104,91000008,5,圣女碎珀
114,2,44300104,91000040,5,火焰领主碎珀
115,2,44300204,91000008,5,黑羽之箭碎珀
116,2,44300304,91000008,5,魅魔女王碎珀
117,2,44300404,91000008,5,凤凰之心碎珀
118,2,44300504,91000008,5,刀魂碎珀
119,2,44300604,91000008,5,部族贤者碎珀
120,2,44300704,91000008,5,灵界大帝碎珀
121,2,44300804,91000008,5,觅血屠夫碎珀
122,2,44300904,91000008,5,夺灵者碎珀
123,2,44301004,91000008,5,撒旦之力碎珀
124,2,44301104,91000040,5,烈火精灵碎珀
125,2,44301204,91000008,5,北岭之弓碎珀
126,2,44400104,91000008,5,星界猎人碎珀
127,2,44400204,91000008,5,雷霆之王碎珀
128,2,44400304,91000008,5,月神祭司碎珀
129,2,44400404,91000040,5,碎颅者碎珀
130,2,44400504,91000008,5,狂暴利刃碎珀
131,2,44400604,91000008,5,混沌法师碎珀
132,2,44400704,91000008,5,猩红之王碎珀
133,2,44400804,91000040,5,仙林女神碎珀
134,2,44400904,91000008,5,女伯爵碎珀
135,2,44401004,91000008,5,元素之女碎珀
136,2,44401104,91000008,5,奥术之主碎珀
