ordernumber,type,shine_rank,taskid,taskname,level,checkpoint,tasktypes,n1,n2,n3,n4,uicontent,content,itemid,numberofcycles,starttime,endtime,teamexp,reward1,number1,reward2,number2,reward3,number3,taskindexes,pretask,vip
1,1,0,200010,高级召唤,1,0,26,1,2,0,0,默认开启,高级召唤1次,0,0,0,0,0,91000005,10,30101000,5,81400801,5,"ui_mgr.openUI(""summon_hallUI"")",0,0
2,1,0,200018,普通召唤,1,0,26,2,1,0,0,默认开启,普通召唤2次,0,0,0,0,0,91000005,10,30101000,5,81400801,5,"ui_mgr.openUI(""summon_hallUI"")",0,0
3,1,0,200033,普通关卡,1,0,186,10,0,0,0,默认开启,通关任意普通关卡10次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,"ui_mgr.openUI(""levelMapUI"")",0,0
4,1,0,200031,装备强化,0,110203,182,1,0,0,0,强化,强化任意装备1次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI( ""equip_mainUI"", enOpenUIType.EUIT_ListType, {_index = 1 } )",0,0
5,1,0,200017,购买金币,0,110301,24,2,2,0,0,购买金币,购买金币2次,0,0,0,0,0,91000005,10,30101000,5,81400801,5,"ui_mgr.openUI( ""buyMoneyUI"" , enOpenUIType.EUIT_ListType,2)",0,0
6,1,0,200019,购买体力,0,110301,39,1,0,0,0,购买体力,购买体力1次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI( ""buyMoneyUI"" , enOpenUIType.EUIT_ListType,1)",0,0
7,1,0,200020,商店购买,0,110308,40,1,0,0,0,勋章,任意商店购买道具1次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,shop_mainUI.show(enShopType.enST_ZaHuo),0,0
8,1,0,200034,地下城关卡,0,110405,187,3,0,0,0,地下城,通关任意地下城普通关卡3次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,mod_dungeons.openDungeonsView()  ,0,0
9,1,0,200040,斗技场挑战,0,110503,193,5,0,0,0,斗技场,斗技场挑战5次,0,0,0,0,0,91000005,10,30101000,5,81400801,5,"ui_mgr.openUI(""arena_hallUI"")",0,0
10,1,0,200036,魔龙洞窟挑战,0,110508,189,1,0,0,0,魔龙洞窟,通关任意魔龙洞窟关卡1次,0,0,0,0,0,91000005,10,30101000,5,81400801,5,mod_gemInstance.gemStoneInfo(),0,0
11,1,0,200022,军团捐献,0,110603,215,3,0,0,0,军团,军团捐献3次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI(""jt_main_ui"",enOpenUIType.EUIT_ListType,1)",0,0
12,1,0,200026,王座争夺,0,110603,165,1,0,0,0,军团,参与王座争夺1次,0,0,0,0,0,91000005,10,0,0,81400801,5,"ui_mgr.openUI(""jt_main_ui"",enOpenUIType.EUIT_ListType,2)",0,0
13,1,0,200013,军团BOSS,0,110603,218,1,0,0,0,军团,挑战军团BOSS1次,0,0,0,0,0,91000005,30,91000032,30,81400801,5,"ui_mgr.openUI(""jt_main_ui"",enOpenUIType.EUIT_ListType,2)",0,0
14,1,0,200025,每日试炼,0,110605,155,5,0,0,0,每日试炼,完成任意试炼5次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,"ui_mgr.openUI(""trialUI"")",0,0
15,1,0,200024,圣物搜索,0,110703,143,1,0,0,0,圣物,圣物搜索1次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI(""holy_luckUI"")",0,0
16,1,0,200037,时空秘境,0,110803,190,1,0,0,0,时空秘境,时空秘境挑战胜利1次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI(""expedition_mainUI"")",0,0
17,1,0,200043,镇魂塔挑战,0,111004,196,1,0,0,0,镇魂塔,镇魂塔挑战1次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,"ui_mgr.openUI(""climb_tower_mainUI"")",0,0
18,1,0,200044,爬塔精英挑战,0,111004,197,3,0,0,0,镇魂塔,爬塔精英挑战3次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI(""climb_tower_elite"")",0,0
19,1,0,200028,神殿祈祷,0,111108,176,3,0,0,0,神殿,神殿祈祷3次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,"ui_mgr.openUI(""smeltUI"")",0,0
20,1,0,200029,纹章精炼,0,111108,177,1,0,0,0,神殿,纹章精炼1次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,"ui_mgr.openUI( ""heraldryMainUI"", enOpenUIType.EUIT_ListType, { index = 1} )",0,0
21,1,0,200012,佣兵挑战,0,111208,217,10,0,0,0,佣兵,佣兵挑战10次,0,0,0,0,0,91000005,20,91000032,20,81400801,5,"ui_mgr.openUI(""soldier_fightUI"")",0,0
22,1,0,200016,召唤魔宠,0,111605,158,10,0,0,0,魔宠契约,召唤魔宠10次,0,0,0,0,0,91000005,10,81400601,1,81400801,5,"ui_mgr.openUI(""Mount_farm"")",0,0
23,1,0,200011,好友赠送,10,0,216,3,0,0,0,好友,赠送好友体力3次,0,0,0,0,0,91000005,10,91000032,10,81400801,5,"ui_mgr.openUI(""friend_ui"")",0,0
24,1,0,200042,城池入侵,32,110203,219,1,2,0,0,大地图,执行城池压制1次,0,0,0,0,0,91000005,10,0,0,81400801,5,sceneManager.replaceScene(2),0,0
25,1,0,200014,钻石消费1,1,0,49,300,91000002,0,0,默认开启,每日累计消费300钻石,0,0,0,0,0,91000005,40,91000032,40,81400801,10,"ui_mgr.openUI(""summon_hallUI"")",0,0
26,1,0,200015,钻石消费2,1,0,49,1000,91000002,0,0,默认开启,每日累计消费1000钻石,0,0,0,0,0,91000005,50,91000032,50,81400801,10,"ui_mgr.openUI(""summon_hallUI"")",200014,0
27,1,0,200001,体力赠送,1,0,56,1,1200,1400,0,不显示,每天12时至14时可领取120点体力,0,0,1200,1400,0,91000003,120,0,0,0,0,0,0,0
28,1,0,200002,体力赠送,1,0,56,1,1800,2000,0,不显示,每天18时至20时可领取120点体力,0,0,1800,2000,0,91000003,120,0,0,0,0,0,0,0
29,1,0,200003,体力赠送,1,0,56,1,2100,2400,0,不显示,每天21时至24时可领取120点体力,0,0,2100,2400,0,91000003,120,0,0,0,0,0,0,0
30,2,1,300101,通关第二章,1,110201,186,1,110210,0,0,通关第二章,通关第二章,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(2),0,0
31,2,2,300102,开启巨兽,1,110201,186,1,110305,0,0,开启巨兽,通关关卡3-5,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(3),300101,0
32,2,3,300103,开启祭坛和市场,1,110210,186,1,110308,0,0,开启祭坛和市场,通关关卡3-8,0,0,0,0,0,91000032,2000,81400601,1,0,0,mod_chapter.gotochapter(3),300102,0
33,2,4,300104,开启学院,1,110308,186,1,110403,0,0,开启学院,通关关卡4-3,0,0,0,0,0,91000033,3000,81400601,1,0,0,mod_chapter.gotochapter(4),300103,0
34,2,5,300105,开启地下城,1,110308,186,1,110405,0,0,开启地下城,通关关卡4-5,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(4),300104,0
35,2,6,300106,开启宿命,1,110308,186,1,110408,0,0,开启宿命,通关关卡4-8,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(4),300105,0
36,2,7,300107,开启斗技场,1,110408,186,1,110503,0,0,开启斗技场,通关关卡5-3,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(5),300106,0
37,2,8,300108,开启魔龙洞窟,1,110408,186,1,110508,0,0,开启魔龙洞窟,通关关卡5-8,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(5),300107,0
38,2,9,300109,开启军团,1,110508,186,1,110603,0,0,开启军团,通关关卡6-3,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(6),300108,0
39,2,10,300110,开启每日试炼,1,110508,186,1,110605,0,0,开启每日试炼,通关关卡6-5,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(6),300109,0
40,2,11,300111,开启装备重生和赏金,1,110508,186,1,110608,0,0,开启装备重生和赏金,通关关卡6-8,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(6),300110,0
41,2,12,300112,开启圣物,1,110508,186,1,110703,0,0,开启圣物,通关关卡7-3,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(7),300111,0
42,2,13,300113,开启时空秘境,1,110508,186,1,110803,0,0,开启时空秘境,通关关卡8-3,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(8),300112,0
43,2,14,300114,开启战役,1,110508,186,1,110808,0,0,开启战役,通关关卡8-8,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(8),300113,0
44,2,15,300115,开启附魔和镇魂塔,1,110508,186,1,111004,0,0,开启附魔和镇魂塔,通关关卡10-4,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(10),300114,0
45,2,16,300116,开启纹章和神殿,1,110508,186,1,111108,0,0,开启纹章和神殿,通关关卡11-8,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(11),300115,0
46,2,17,300117,开启佣兵,1,110508,186,1,111208,0,0,开启佣兵,通关关卡12-8,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(12),300116,0
47,2,18,300118,开启星界和魔宠,1,110508,186,1,111605,0,0,开启星界和魔宠,通关关卡16-5,0,0,0,0,0,91000002,20,81400601,1,0,0,mod_chapter.gotochapter(16),300117,0
