cityid,cityname,size,cityicon,npcoccupy,occupy1,occupy2,occupy3,sequence1,sequence2,sequence3,buff1,buff2,buff3,debuff1,debuff2,debuff3,npcpaly1,npcpaly2,npcpaly3,npcpaly4,npcpaly5,npcpaly6,npcpaly7,npcpaly8,npcpaly9,npcpaly10,npcpaly11,npcpaly12,npcpaly13,npcpaly14,npcpaly15,attackplay1,attackplay2,attackplay3,attackplay4,attackplay5,attackplay6,attackplay7,attackplay8,attackplay9,attackplay10,attackplay11,attackplay12,attackplay13,attackplay14,attackplay15,defenseplay1,defenseplay2,defenseplay3,defenseplay4,defenseplay5,defenseplay6,defenseplay7,defenseplay8,defenseplay9,defenseplay10,defenseplay11,defenseplay12,defenseplay13,defenseplay14,defenseplay15,citypng,name1,icon1,stronghold1,influence1,name2,icon2,stronghold2,influence2,name3,icon3,stronghold3,influence3,name4,icon4,stronghold4,influence4,name5,icon5,stronghold5,influence5
1001,安城,4,warcity_1001,30000,30000,30000,30000,13,13,13,0,0,0,20001,20003,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1002,浔阳,2,warcity_1001,30000,30000,30000,30000,14,14,14,0,0,0,20001,20003,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1003,长沙,3,warcity_1001,30000,30000,30000,30000,15,15,15,0,0,0,0,20003,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1004,巴陵,4,warcity_1001,30000,30000,30000,30000,16,16,16,0,0,0,0,20003,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1005,巴邱,2,warcity_1001,30000,30000,30000,30000,17,17,17,0,0,0,0,20003,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1006,衡阳,4,warcity_1001,30000,30000,30000,30000,18,18,18,0,0,0,0,20003,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1007,零陵,4,warcity_1001,30000,30000,30000,3000000,19,19,19,0,0,30001,20001,20003,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12002,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12002,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1008,庐陵,4,warcity_1001,30000,30000,30000,3000000,20,20,20,0,0,30001,20001,20003,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12002,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12002,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1009,湘潭,2,warcity_1001,30000,30000,30000,3000000,21,21,21,0,0,30002,20002,20003,0,10000,11005,11006,11008,13003,12001,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12002,0,0,0,0,0,0,0,0,0,10000,11005,11006,11008,13003,12002,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
1010,临川,4,warcity_1001,30000,30000,30000,3000000,22,22,22,0,0,30001,20002,20003,0,10000,11001,11002,11004,13002,12001,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12002,0,0,0,0,0,0,0,0,0,10000,11001,11002,11004,13002,12002,0,0,0,0,0,0,0,0,0,stronghold_0,兵营,stronghold_1,10,20,南关隘,stronghold_2,10,20,军械库,stronghold_3,10,20,东关隘,stronghold_4,10,20,伐木场,stronghold_5,10,20
