itembag1,item1,num1,weight1,item2,num2,weight2,item3,num3,weight3,item4,num4,weight4,item5,num5,weight5,item6,num6,weight6,item7,num7,weight7,item8,num8,weight8,item9,num9,weight9
101,76000001,1,5,76000001,1,5,76000001,1,5,76000001,1,5,76000001,1,5,0,0,0,0,0,0,0,0,0,0,0,0
102,76000001,1,5,76000001,1,5,76000001,1,5,76000001,1,5,76000001,1,5,0,0,0,0,0,0,0,0,0,0,0,0
103,76000001,1,5,76000001,1,5,76000001,1,5,76000001,1,5,76000001,1,5,0,0,0,0,0,0,0,0,0,0,0,0
105,23000001,1,7,23000001,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,23310001,1,1,23310001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,23210001,1,1,23210001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,23110001,1,1,23110001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,23320001,1,1,23320001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,23220001,1,1,23220001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,23120001,1,1,23120001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,23330001,1,1,23330001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,23230001,1,1,23230001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,23130001,1,1,23130001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,71000001,1,1,71000001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,76000001,1,1,76000001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,23310001,1,1,23320001,1,1,23330001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,23210001,1,1,23220001,1,1,23230001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,23110001,1,1,23120001,1,1,23130001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,76000002,1,1,76000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,23310001,1,1,23310001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,23210001,1,1,23210001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,23110001,1,1,23110001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,23320001,1,1,23320001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,23220001,1,1,23220001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,23120001,1,1,23120001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,23330001,1,1,23330001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
