level,wave,id,name,type,arms,introduce,dps,tips,picture,icon,itemcheek
2000000,3,4002,祝融,1,3,"必杀技对前方造成远程伤害,可晕眩步兵.",范围晕眩,祝融,4002,icon_footman_1,14
2000000,1,3102,重盾兵,2,3,"初级的近战兵种,举着盾牌承受伤害是他们的重要任务.",0,前排肉盾,3102,icon_footman_8,2
2000000,1,3202,长矛兵,2,3,"初级的中距离兵种,使用长枪类武器,攻击距离变得更远.站在盾兵后可安全输出.",0,近战输出,3202,icon_footman_2,2
2000000,5,4007,华雄,1,3,必杀技对周围敌人造成持续性伤害.,范围伤害,华雄,4007,icon_knight_2,14
2000000,1,1202,长弓兵,2,1,"初级的远程单位,攻击间隔短,伤害高.",0,远程输出,1202,icon_archer_2,2
2000000,3,2005,张辽,1,2,必杀技对周围多个敌人造成高额伤害.,范围爆发,张辽,2005,icon_footman_1,14
2000000,3,2003,荀彧,1,1,"必杀召唤出龙卷风的不仅能造成伤害,还会降低敌人的命中.",范围伤害,荀彧,2003,icon_archer_6,14
2000000,1,3003,吕蒙,1,2,"脆皮克星,必杀对单个敌人造成大量伤害,并眩晕敌人.",单体晕眩,吕蒙,3003,icon_archer_6,14
2000000,3,3003,吕蒙,1,2,"脆皮克星,必杀对单个敌人造成大量伤害,并眩晕敌人.",单体晕眩,吕蒙,3003,icon_archer_6,14
2000000,1,1102,重弩手,2,1,"初级弩手,射程中等,但伤害不错.",0,中排输出,1102,icon_archer_8,2
2000000,1,91,弩车,2,0,"攻城单位,射程超长,可对目标及其身后的所有单位造成大量伤害.(优先消灭)",0,扇形输出,5005,icon_archer_4,9
2000000,3,3007,周泰,1,3,"必杀能大幅减少所受伤害,生存能力极强.",纯肉盾,周泰,3007,icon_footman_6,14
2000000,1,3106,丹阳兵,2,3,硬化皮肤降低受到的伤害.,0,减伤肉盾,3106,icon_footman_12,5
2000000,5,4005,孟获,1,3,远程防御较高.大招召唤蛮族象兵助战.,召唤型肉盾,孟获,4005,icon_footman_6,14
2000000,3,90,投石车,2,0,"攻城单位,射程远,可对目标及周围单位造成大量伤害.(优先消灭)",0,范围伤害,5005,icon_archer_8,9
2000000,1,2102,重骑兵,2,2,"有马的重装兵种,不容小觑,锋利的大刀消灭一切敌人!",0,前排肉盾,2102,icon_knight_2,2
2000000,1,2105,西凉铁骑,2,2,嘲讽目标使其攻击自己.(被嘲讽的目标无法释放技能),0,群体嘲讽,2105,icon_knight_5,5
2000000,3,2202,弩骑兵,2,2,"远程的骑射手,特别注意他们集火攻击.",0,远程输出,2202,icon_knight_8,2
2000000,5,1003,马超,1,2,"必杀技会撞向一名敌人,连续造成多次伤害.",突进爆发,马超,1003,icon_knight_2,14
2000000,3,3008,韩当,1,3,"对单体目标造成多次伤害,并突进到目标身后.",突进爆发,韩当,3008,icon_footman_1,14
2000000,1,2203,游骑兵,2,2,"使用最新的穿甲弹,烈火灼烧着护甲,降低目标近战护甲5%.(可叠加)",0,护甲穿透,2203,icon_knight_9,5
2000000,1,2103,突骑兵,2,2,"加速冲向敌人,并使其昏迷.(近距离也能发动)",0,冲锋眩晕,2103,icon_knight_3,5
2000000,3,3204,青州兵,2,3,挥舞其大戟使其可以对周围目标造成范围伤害.,0,群体伤害,3204,icon_footman_4,5
2000000,3,1104,先登死士,2,1,"射出毒箭,降低目标移动速度.",0,单体减速,1104,icon_archer_10,5
2000000,3,3005,太史慈,1,2,"必杀对单个目标进行多次攻击,如果斩杀目标,则攻速获得提高.",单体爆发,太史慈,3005,icon_footman_1,14
2000000,1,3205,车下虎士,2,3,"挥舞巨大的战矛,周期性的重伤并击晕目标.",0,概率眩晕,3205,icon_footman_5,5
2000000,3,2008,郭嘉,1,2,"必杀能在远处有效控制住敌人,同时降低他们的远程防御.",全屏爆发,郭嘉,2008,icon_archer_6,14
2000000,3,1005,黄忠,1,1,"攻击距离远,能在远处对敌人造成大量伤害.",范围爆发,黄忠,1005,icon_archer_1,14
2000000,1,1203,神臂弓,2,1,每次攻击提升自己5%伤害,0,伤害叠加,1203,icon_archer_3,5
2000000,1,1103,羌兵,2,1,"穿戴了特质的护甲,可反弹一部分伤害.",0,中排反伤,1103,icon_archer_9,5
2000000,5,1002,张飞,1,3,"有较高的近战攻击力,并且可以抗住敌人大量伤害.",输出型肉盾,张飞,1002,icon_footman_6,14
2000000,1,1105,诸葛连弩,2,1,"使用特质的弩,可以同时射出多支箭矢,造成多次伤害.",0,单体连击,1105,icon_archer_11,5
2000000,5,4008,华佗,1,1,必杀能恢复所有友军兵力.,群体治疗,华佗,4008,icon_archer_1,14
2000000,5,4009,庞德,1,3,"拥有可怕的单体输出技能,并且可以造成晕眩效果.",单体晕眩,庞德,4009,icon_knight_2,14
2000000,3,3105,陷阵营,2,3,穿戴上等重甲可抵御所有近战伤害,0,近战免疫,3105,icon_footman_11,5
2000000,3,1001,关羽,1,2,必杀拥有恐怖的单体爆发.,单体爆发,关羽,1001,icon_knight_2,14
2000000,1,2106,虎豹骑,2,2,"鼓舞军心,周期性的大幅提高附近友军攻击速度.(可叠加)",0,群体攻速,2106,icon_knight_6,5
2000000,3,2002,许褚,1,3,"能打能抗,必杀可以强化自身能力.",输出型肉盾,许褚,2002,icon_footman_6,14
2000000,3,2010,夏侯惇,1,3,必杀技打击身边所有敌人并造成出血效果.,范围伤害,夏侯惇,2010,icon_footman_1,14
2000000,5,2001,甄姬,1,3,"为自身加持护盾,护盾承受伤害破坏后,对敌人造成伤害并晕眩.",范围晕眩,甄姬,2001,icon_archer_6,14
2000000,3,2007,司马懿,1,1,"必杀清除敌人所有BUFF,并强化友军.",全屏驱散,司马懿,2007,icon_archer_1,14
2000000,1,1206,解烦军,2,1,周期性射出多支箭矢轰击目标区域.,0,群体伤害,1206,icon_archer_6,5
2000000,3,3104,白耳兵,2,3,"圆圆的跟个球一样,一看就是皮糙肉厚的家伙?什么!这家伙居然免疫远程伤害.",0,远程免疫,3104,icon_footman_10,5
2000000,3,2206,白马义从,2,1,"特殊兵种,善使毒,造成伤害的同时会附加中毒伤害.",0,持续中毒,2206,icon_knight_12,5
2000000,5,3010,周瑜,1,1,"使用火球在敌人之间来回弹射,瞬间造成大量伤害.",范围爆发,周瑜,3010,icon_footman_1,14
2000000,5,1006,诸葛亮,1,1,"善攻善守,必杀既能造成伤害,又能提高防御.",范围爆发,诸葛亮,1006,icon_archer_6,14
2000000,3,4010,张角,1,1,"擅长召唤闪电,拥有足以秒杀敌人的伤害.",范围爆发,张角,4010,icon_archer_1,14
2000000,5,4003,貂蝉,1,2,"对全屏敌人造成伤害,并有概率沉默.",全屏沉默,貂蝉,4003,icon_footman_1,14
2000000,1,3203,禁卫军,2,3,受到伤害的目标会持续流血.,0,群体流血,3203,icon_footman_3,5
2000000,5,4004,董卓,1,3,"全方位能力爆表,还能恢复自身的兵力.",群体强化,董卓,4004,icon_footman_6,14
2000000,5,4001,吕布,1,2,能单挑也能打一群怒气恢复快面对多个敌人时能爆发出可怕的伤害.,范围爆发,吕布,4001,icon_knight_2,14
2000000,3,3009,大乔,1,1,"给予单体目标护盾,并使目标增长大量怒气.",单体强化,大乔,3009,icon_archer_6,14
2000000,3,1204,羽林卫,2,1,每次攻击提升自己5%攻速(可叠加),0,单体攻速,1204,icon_archer_4,5
2000000,3,3004,陆逊,1,3,必杀召唤火神轰炸目标区域.,范围爆发,陆逊,3004,icon_knight_2,14
2000000,3,3002,小乔,1,1,提高必杀范围内所有敌军受到的伤害.,伤害增益,小乔,3002,icon_archer_1,14
