id,worldlv,npclv,ragerate,cablerange,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
1,10,10,3000,1000,11,20000,12,400,6,4274,7,657,8,10,9,1314,10,20,29,657,30,10,0,0,99,286000
2,11,11,3000,1000,11,20000,12,400,6,4274,7,657,8,20,9,1314,10,40,29,657,30,20,0,0,99,289000
3,12,12,3000,1000,11,20000,12,400,6,5354,7,770,8,30,9,1540,10,60,29,770,30,30,0,0,99,347000
4,13,13,3000,1000,11,20000,12,400,6,5786,7,815,8,40,9,1630,10,80,29,815,30,40,0,0,99,372000
5,14,14,3000,1000,11,20000,12,400,6,6218,7,860,8,50,9,1720,10,100,29,860,30,50,0,0,99,397000
6,15,15,3000,1000,11,20000,12,400,6,8507,7,1279,8,60,9,2558,10,120,29,1279,30,60,0,0,99,572000
7,16,16,3000,1000,11,20000,12,400,6,12336,7,1784,8,70,9,3568,10,140,29,1784,30,70,0,0,99,803000
8,17,17,3000,1000,11,20000,12,400,6,12552,7,1807,8,80,9,3614,10,160,29,1807,30,80,0,0,99,817000
9,18,18,3000,1000,11,20000,12,400,6,14106,7,1962,8,90,9,3924,10,180,29,1962,30,90,0,0,99,898000
10,19,19,3000,1000,11,20000,12,400,6,17724,7,2581,8,100,9,5162,10,200,29,2581,30,100,0,0,99,1159000
11,20,20,3000,1000,11,20000,12,400,6,17940,7,2603,8,110,9,5206,10,220,29,2603,30,110,0,0,99,1173000
12,21,21,3000,1000,11,20000,12,400,6,18156,7,2626,8,120,9,5252,10,240,29,2626,30,120,0,0,99,1187000
13,22,22,3000,1000,11,20000,12,400,6,18372,7,2648,8,130,9,5296,10,260,29,2648,30,130,0,0,99,1201000
14,23,23,3000,1000,11,20000,12,400,6,21160,7,3591,8,140,9,7182,10,280,29,3591,30,140,0,0,99,1543000
15,24,24,3000,1000,11,20000,12,400,6,23320,7,3953,8,150,9,7906,10,300,29,3953,30,150,0,0,99,1697000
16,25,25,3000,1000,11,20000,12,400,6,27028,7,3976,8,160,9,7952,10,320,29,3976,30,160,0,0,99,1781000
17,26,26,3000,1000,11,20000,12,400,6,27244,7,3998,8,170,9,7996,10,340,29,3998,30,170,0,0,99,1795000
18,27,27,3000,1000,11,20000,12,400,6,27460,7,4021,8,180,9,8042,10,360,29,4021,30,180,0,0,99,1810000
19,28,28,3000,1000,11,20000,12,400,6,27676,7,4043,8,190,9,8086,10,380,29,4043,30,190,0,0,99,1823000
20,29,29,3000,1000,11,20000,12,400,6,27991,7,4080,8,200,9,8160,10,400,29,4080,30,200,0,0,99,1844000
21,30,30,3000,1000,11,20000,12,400,6,28207,7,4103,8,210,9,8206,10,420,29,4103,30,210,0,0,99,1858000
22,31,31,3000,1000,11,20000,12,400,6,28423,7,4125,8,220,9,8250,10,440,29,4125,30,220,0,0,99,1872000
23,32,32,3000,1000,11,20000,12,400,6,28639,7,4148,8,230,9,8296,10,460,29,4148,30,230,0,0,99,1886000
24,33,33,3000,1000,11,20000,12,400,6,30799,7,4510,8,240,9,9020,10,480,29,4510,30,240,0,0,99,2041000
25,34,34,3000,1000,11,20000,12,400,6,35050,7,5105,8,250,9,10210,10,500,29,5105,30,250,0,0,99,2308000
26,35,35,3000,1000,11,20000,12,400,6,36312,7,5251,8,260,9,10502,10,520,29,5251,30,260,0,0,99,2380000
27,36,36,3000,1000,11,20000,12,400,6,37574,7,5397,8,270,9,10794,10,540,29,5397,30,270,0,0,99,2452000
28,37,37,3000,1000,11,20000,12,400,6,38971,7,5564,8,280,9,11128,10,560,29,5564,30,280,0,0,99,2533000
29,38,38,3000,1000,11,20000,12,400,6,42314,7,6071,8,290,9,12142,10,580,29,6071,30,290,0,0,99,2755000
