id,name,level1,box1,country1,shuitem1,shunum1,shuitem2,shunum2,prestige1,prestigenum1,level2,box2,country2,weiitem1,weinum1,weiitem2,weinum2,prestige2,prestigenum2,level3,box3,country3,wuitem1,wunum1,wuitem2,wunum2,prestige3,prestigenum3,png1,txt1,itemid1,special1,chance1,itemid2,special2,chance2,itemid3,special3,chance3
1001,安城,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,浔阳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,长沙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,巴陵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,巴邱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,衡阳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,零陵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,庐陵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,湘潭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,临川,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,南昌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,潘阳,8,80098,3,91000001,2000,0,0,91000011,10,8,80098,3,91000001,2000,0,0,91000011,10,8,80098,3,91000001,2000,0,0,91000011,10,130005,小乔,79500801,80048,10000,79500802,0,0,79500803,0,0
1013,余杭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,东阳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,会稽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,吴郡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,建邺东,7,80097,3,91000001,2000,0,0,91000011,10,7,80097,3,91000001,2000,0,0,91000011,10,7,80097,3,91000001,2000,0,0,91000011,10,130004,大乔,79500701,80047,10000,79500702,0,0,79500703,0,0
1018,建邺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,柴桑南,5,80095,3,91000001,2000,0,0,91000011,10,5,80095,3,91000001,2000,0,0,91000011,10,5,80095,3,91000001,2000,0,0,91000011,10,130002,蔡文姬,79500501,80045,10000,79500502,0,0,79500503,0,0
1020,庐江,4,80094,3,91000001,2000,0,0,91000011,10,4,80094,3,91000001,2000,0,0,91000011,10,4,80094,3,91000001,2000,0,0,91000011,10,130006,黄月英,79500401,80044,10000,79500402,0,0,79500403,0,0
1021,柴桑,6,80096,3,91000001,2000,0,0,91000011,10,6,80096,3,91000001,2000,0,0,91000011,10,6,80096,3,91000001,2000,0,0,91000011,10,130007,甄姬,79500601,80046,10000,79500602,0,0,79500603,0,0
1022,黄州,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,合肥,3,80093,3,91000001,2000,0,0,91000011,10,3,80093,3,91000001,2000,0,0,91000011,10,3,80093,3,91000001,2000,0,0,91000011,10,130008,貂蝉,79500301,80043,10000,79500302,0,0,79500303,0,0
1024,广陵,1,80091,3,91000001,2000,0,0,91000011,10,1,80091,3,91000001,2000,0,0,91000011,10,1,80091,3,91000001,2000,0,0,91000011,10,130003,祝融,79500101,80041,10000,79500102,0,0,79500103,0,0
1025,扬州,2,80092,3,91000001,2000,0,0,91000011,10,2,80092,3,91000001,2000,0,0,91000011,10,2,80092,3,91000001,2000,0,0,91000011,10,130001,孙尚香,79500201,80042,10000,79500202,0,0,79500203,0,0
1026,临淮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,曲阿,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,淮阴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,彭城,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,灵璧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,下蔡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,武平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
