levelid,firstitem1,num1,firstitem2,num2,firstitem3,num3,firstitem4,num4,firstitem5,num5,firstitem6,num6,teamexp,heroexp,icon1,icon2,icon3,icon4,icon5,icon6,item1,item2,item3,item4,item5,item6,bossicon1,icon7
4001010,12100201,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12100201,0,0,0,0,0,0,0
4002010,12400801,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12400801,0,0,0,0,0,0,0
4008010,12400601,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12400601,0,0,0,0,0,0,0
4006010,12200301,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12200301,0,0,0,0,0,0,0
4003010,12301001,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12301001,0,0,0,0,0,0,0
4027010,12100801,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12100801,0,0,0,0,0,0,0
4026010,12100101,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12100101,0,0,0,0,0,0,0
4021010,12100501,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,12100501,0,0,0,0,0,0,0
110101,91000002,10,91000001,500,30101001,10,30101000,20,0,0,11200601,1,20,100,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110102,91000002,10,91000001,500,30104001,10,30101000,20,30105001,10,30106001,10,30,340,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110103,91000002,10,91000001,500,30102001,10,30101000,20,30101001,10,11200401,1,30,152,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110104,91000002,10,91000001,500,12400401,10,30101000,20,30102001,10,30103001,10,30,234,100001,100001,100001,100001,100001,100001,81400601,23310001,23320001,23330001,0,0,0,0
110105,91000002,10,91000001,500,30103001,10,30101000,20,12300401,1,12200501,10,30,464,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110201,91000002,10,91000001,500,30104001,10,30101000,20,12100101,10,0,0,30,6,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110202,91000002,10,91000001,500,30104001,5,30101000,20,30101001,5,0,0,30,6,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110203,91000002,10,91000001,500,30104001,5,30101000,20,30101001,5,0,0,30,6,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110204,91000002,10,91000001,500,30105001,10,30101000,20,0,0,0,0,30,658,100001,100001,100001,100001,100001,100001,91000002,81400601,23310002,23310001,0,76000001,0,0
110205,91000002,10,91000001,500,30105001,5,30101000,20,12101101,10,0,0,30,728,100001,100001,100001,100001,100001,100001,91000002,81400601,23320002,23320001,0,76000001,0,0
110206,91000002,10,91000001,500,30105001,5,30101000,20,30102001,5,0,0,30,845,100001,100001,100001,100001,100001,100001,91000002,81400601,23330002,23330001,0,76000001,0,0
110207,91000002,10,91000001,500,30106001,5,30101000,20,30102001,5,0,0,30,962,100001,100001,100001,100001,100001,100001,11200501,81400601,23210002,23210001,23000002,76000001,0,0
110208,91000002,10,91000001,500,30106001,5,30101000,20,30103001,5,0,0,30,1079,100001,100001,100001,100001,100001,100001,91000002,81400601,23220002,23220001,23000002,76000001,0,0
