index,name,tx,ty,ts,e1,frame1,e1x,e1y,e1s,e2,frame2,e2x,e2y,e2s,wave,blend
1,普通怪物,0,0,10,0,0,3,-3,20,0,0,0,0,0,0,0
2,BOSS怪,0,0,25,aureole2.png,0,0,0,25,0,0,0,0,0,0,0
3,友方NPC,0,0,10,aureole3.png,0,0,0,25,0,0,0,0,0,0,0
4,普通道具,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
5,遗迹,-10,-55,0,0,0,0,0,0,0,0,0,0,0,0,0
6,营地,10,-20,20,0,0,0,0,0,0,0,0,0,0,0,0
7,金币,0,0,10,gold_1,1|10,0,0,10,0,0,0,0,0,0,0
8,钻石,0,0,10,zuanshi_1,1|10,0,0,10,0,0,0,0,0,0,0
9,关卡BOOS,0,0,15,aureole6.png,0,0,0,15,0,0,0,0,0,0,0
10,钻石小,0,0,10,zuanshi_1,1|10,0,0,7,0,0,0,0,0,0,0
12,绿装,-3,-35,10,flash_1,1|10,0,-8,15,0,0,0,0,0,1,0
16,红装,-3,-35,10,flash_5,1|10,0,-12,15,0,0,0,0,0,1,0
20,传送门1,0,0,0,csm_1,1|18,0,0,20,0,0,0,0,0,0,0
21,传送门2,0,0,0,csm_2,1|18,0,2,30,0,0,0,0,0,0,0
25,遗迹特效,5,-55,15,gold_1,1|10,5,10,25,0,0,0,0,0,0,0
26,营地特效,10,-20,20,gold_1,1|10,5,10,20,0,0,0,0,0,0,0
27,场景火1,0,0,0,scene_fire_1,0|15,0,0,10,0,0,0,0,0,0,0
28,场景火1,0,0,0,scene_fire_1,0|15,0,0,30,0,0,0,0,0,0,0
29,场景火1,0,0,0,scene_fire_1,0|15,0,0,50,0,0,0,0,0,0,0
30,场景火2,0,0,0,scene_fire_2,0|15,0,0,20,0,0,0,0,0,0,0
31,场景火2,0,0,0,scene_fire_2,0|15,0,0,30,0,0,0,0,0,0,0
32,场景火2,0,0,0,scene_fire_2,0|15,0,0,40,0,0,0,0,0,0,0
33,场景烟雾1,0,0,0,scene_smoke_1,0|15,0,0,30,0,0,0,0,0,0,0
34,场景烟雾1,0,0,0,scene_smoke_1,0|15,0,0,55,0,0,0,0,0,0,0
35,场景烟雾2,0,0,0,scene_smoke_2,0|15,0,0,30,0,0,0,0,0,0,0
36,场景烟雾2,0,0,0,scene_smoke_2,0|15,0,0,55,0,0,0,0,0,0,0
37,场景火3,0,0,0,scene_fire_3,0|11,0,0,20,0,0,0,0,0,0,0
38,场景火3,0,0,0,scene_fire_3,0|11,0,0,30,0,0,0,0,0,0,0
39,场景火3,0,0,0,scene_fire_3,0|11,0,0,40,0,0,0,0,0,0,0
40,场景弓箭,0,0,0,scene_arrowhail,0|99,0,0,100,0,0,0,0,0,0,0
41,场景炸弹,0,0,0,scene_firestone,0|99,0,0,200,0,0,0,0,0,0,0
42,水波纹,0,0,0,scene_water,0|19,0,0,200,0,0,0,0,0,0,1
43,水波纹小,0,0,0,scene_water,0|19,0,0,100,0,0,0,0,0,0,1
44,场景炸弹大,0,0,0,scene_firestone_2,0|79,0,0,800,0,0,0,0,0,0,0
45,砰,0,0,0,peng,0|9,0,0,30,0,0,0,0,0,0,0
46,场景炸弹大2,0,0,0,scene_firestone_2,0|69,0,0,800,0,0,0,0,0,0,0
