id,name,monstername,monstericon,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep,bubble
6601,第一关,0,0,2,15,13,C_muzhuang_01.png,11007,8,20,1,7,0,1,5,0,0,0,0,0,0,6601,0,0,0,0,0,1,0,0
6602,第二关搜索,0,0,0,15,33,B_yiji_03.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,6602,15,0,15,192,0,0,0,0
6603,第三关,0,0,2,15,25,C_muzhuang_01.png,11007,8,20,1,1,0,1,5,0,0,0,0,0,0,6604,0,0,0,0,0,1,116603,0
6604,第四关,0,0,2,26,31,C_muzhuang_01.png,11101,10,20,1,7,0,1,5,0,0,0,0,0,0,6605,0,0,0,0,0,1,0,0
6605,第五关,0,0,2,34,20,C_muzhuang_01.png,12010,8,25,1,5,0,1,5,0,0,0,0,0,0,6606,0,0,0,0,0,1,116605,0
6606,第六关,0,0,2,35,10,C_muzhuang_01.png,11103,10,20,1,4,0,1,5,0,0,0,0,0,0,6607,0,0,0,0,0,1,0,0
6607,第七关搜索,0,0,0,57,12,B_yiji_03.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,6608,16,0,16,192,0,0,0,0
6608,第八关,0,0,2,55,18,C_muzhuang_01.png,13001,8,25,1,7,0,1,5,0,0,0,0,0,0,6610,0,0,0,0,0,1,116608,0
6609,第九关,0,0,2,47,31,C_muzhuang_01.png,11104,10,20,1,1,0,1,5,0,0,0,0,0,0,6611,0,0,0,0,0,1,0,0
6610,第十关,0,0,2,60,25,C_muzhuang_01.png,13001,10,20,9,7,0,1,5,0,0,0,0,0,0,6612,0,0,0,0,0,1,116610,0
6611,传送门,0,0,2,64,28,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,661006612,0,0,0,0,0,6620,0,0,0,0,0,1,0,0
6612,第六关宝物,0,0,3,37,9,C_qianbi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,103,0,6617,0,0,0,1,0,0
6613,第六关宝物,0,0,3,37,10,C_qianbi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,103,0,6617,0,0,0,1,0,0
6614,第六关宝物,0,0,3,37,11,C_zuanshi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,113,0,6617,0,0,0,1,0,0
6615,第六关宝物,0,0,3,35,9,C_qianbi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,103,0,6617,0,0,0,1,0,0
6616,第六关宝物,0,0,3,36,11,C_zuanshi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,113,0,6617,0,0,0,1,0,0
6617,第六关宝物,0,0,3,36,9,C_qianbi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,103,0,6617,0,0,0,1,0,0
6618,第六关宝物,0,0,3,35,11,C_zuanshi_03.png,0,8,20,7,4,0,1,5,660606607,0,0,0,0,0,113,0,6617,0,0,0,1,0,0
6619,第六关宝物,0,0,3,45,29,C_qianbi_03.png,0,8,20,7,4,0,1,5,660906611,0,0,0,0,0,103,0,6619,0,0,0,1,0,0
6620,第六关宝物,0,0,3,45,30,C_zuanshi_03.png,0,8,20,7,4,0,1,5,660906611,0,0,0,0,0,113,0,6619,0,0,0,1,0,0
