id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,14,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,初始点
2,14,16,0,0,剧情,2,0,0,0,1,1,0,0,2,901001,查看线索，解析谜题。,0,0,0,0,0,0,0,0,0,0,初始剧情
3,14,13,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400901,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,10,0,0,0,0,普通小怪
4,13,10,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400902,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,11,0,0,0,0,普通小怪
5,12,13,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400903,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,12,0,0,0,0,普通小怪
6,11,18,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400904,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,13,0,0,0,0,普通小怪
7,10,15,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400905,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,14,0,0,0,0,普通小怪
8,5,5,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400906,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,15,0,0,0,0,普通小怪
9,2,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400907,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,16,0,0,0,0,普通小怪
10,14,13,ins_relics_01,0,选择遗物,8,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
11,13,10,ins_relics_01,0,选择遗物,8,2,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
12,12,13,ins_relics_01,0,选择遗物,8,2,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
13,11,18,ins_relics_01,0,选择遗物,8,2,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
14,10,15,ins_relics_01,0,选择遗物,8,2,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
15,5,5,ins_relics_01,0,选择遗物,8,2,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
16,2,7,ins_relics_01,0,选择遗物,8,2,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
17,14,8,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400908,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,30,0,0,0,0,普通精锐
18,12,5,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400909,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,31,0,0,0,0,普通精锐
19,11,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400910,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,32,0,0,0,0,普通精锐
20,10,7,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400911,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,33,0,0,0,0,普通精锐
21,9,6,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400912,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,34,0,0,0,0,普通精锐
22,9,18,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400913,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,35,0,0,0,0,普通精锐
23,8,14,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400914,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,36,0,0,0,0,普通精锐
24,6,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400915,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,37,0,0,0,0,普通精锐
25,6,14,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400916,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,38,0,0,0,0,普通精锐
26,4,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400917,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,39,0,0,0,0,普通精锐
27,2,8,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400918,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,40,0,0,0,0,普通精锐
28,2,12,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400919,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,41,0,0,0,0,普通精锐
29,1,17,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400920,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,42,0,0,0,0,普通精锐
30,14,8,ins_relics_01,0,选择遗物,8,2,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
31,12,5,ins_relics_01,0,选择遗物,8,2,18,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
32,11,9,ins_relics_01,0,选择遗物,8,2,19,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
33,10,7,ins_relics_01,0,选择遗物,8,2,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
34,9,6,ins_relics_01,0,选择遗物,8,2,21,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
35,9,18,ins_relics_01,0,选择遗物,8,2,22,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
36,8,14,ins_relics_01,0,选择遗物,8,2,23,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
37,6,9,ins_relics_01,0,选择遗物,8,2,24,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
38,6,14,ins_relics_01,0,选择遗物,8,2,25,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
39,4,9,ins_relics_01,0,选择遗物,8,2,26,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
40,2,8,ins_relics_01,0,选择遗物,8,2,27,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
41,2,12,ins_relics_01,0,选择遗物,8,2,28,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
42,1,17,ins_relics_01,0,选择遗物,8,2,29,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
43,14,3,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,400921,1,0,0,此处被一队实力极其强大的敌人占据。\n击败他们才能通过此处。,掉落史诗级别的遗物,0,0,0,47,0,0,0,0,普通首领
44,9,4,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,400922,1,0,0,此处被一队实力极其强大的敌人占据。\n击败他们才能通过此处。,掉落史诗级别的遗物,0,0,0,48,0,0,0,0,普通首领
45,3,5,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,400923,1,0,0,此处被一队实力极其强大的敌人占据。\n击败他们才能通过此处。,掉落史诗级别的遗物,0,0,0,49,0,0,0,0,普通首领
46,6,19,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,400924,1,0,0,此处被一队实力极其强大的敌人占据。\n击败他们才能通过此处。,掉落史诗级别的遗物,0,0,0,50,0,0,0,0,普通首领
47,14,3,ins_relics_01,0,选择遗物,8,2,43,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
48,9,4,ins_relics_01,0,选择遗物,8,2,44,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
49,3,5,ins_relics_01,0,选择遗物,8,2,45,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
50,6,19,ins_relics_01,0,选择遗物,8,2,46,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
51,14,1,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009101,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
52,14,2,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009102,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
53,13,8,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009103,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
54,12,4,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009104,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
55,10,5,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009105,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
56,10,13,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009106,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
57,9,17,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009107,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
58,8,4,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009108,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
59,8,13,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009109,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
60,7,9,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009110,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
61,7,20,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009111,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
62,6,16,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009112,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
63,5,4,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009113,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
64,5,20,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009114,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
65,4,14,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009115,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
66,3,6,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009116,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
67,1,9,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009117,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
68,1,13,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009118,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
69,1,18,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1009119,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
70,6,20,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,1009201,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
71,2,5,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,1009202,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
72,7,5,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,1009203,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
73,1,11,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,1009204,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
74,10,3,ins_barracks_01,0,佣兵营地,9,0,0,0,0,0,0,0,1,0,0,邀请一位英雄，协助完成本次探索。,0,0,0,0,0,0,0,0,0,获得佣兵
75,1,14,ins_barracks_01,0,佣兵营地,9,0,0,0,0,0,0,0,1,0,0,邀请一位英雄，协助完成本次探索。,0,0,0,0,0,0,0,0,0,获得佣兵
76,14,15,ins_fountain_01,0,魔法泉水,10,0,0,0,0,0,0,0,1,0,0,聚集魔法能量的温泉，似乎可以缓解战斗带来的伤痛。,所有存活英雄恢复50%生命,0,0,0,0,0,0,0,0,队伍恢复
77,3,19,ins_fountain_01,0,魔法泉水,10,0,0,0,0,0,0,0,1,0,0,聚集魔法能量的温泉，似乎可以缓解战斗带来的伤痛。,所有存活英雄恢复50%生命,0,0,0,0,0,0,0,0,队伍恢复
78,1,7,ins_resurrection_01,0,复苏祭坛,11,0,0,0,0,0,0,0,1,0,0,神秘的祭坛，似乎有生命的法则环绕。,随机复活一名已经阵亡的英雄,0,0,0,0,0,0,0,0,随机复活
79,12,2,ins_resurrection_01,0,复苏祭坛,11,0,0,0,0,0,0,0,1,0,0,神秘的祭坛，似乎有生命的法则环绕。,随机复活一名已经阵亡的英雄,0,0,0,0,0,0,0,0,随机复活
80,12,15,ins_clue_01,0,线索,12,0,0,0,0,0,1,0,1,0,观察太阳与月亮，解除谜题。,当太阳升起的时候月亮将会落下；当太阳落下的时候月亮将会升起。,0,0,0,0,0,0,0,0,0,阻挡-线索
81,13,2,ins_sun_console_03,ins_moon_console_03,蓝控制台,20,0,0,0,0,0,1,0,1,0,0,一个魔法机关，可以改变所有蓝色石柱的状态。,0,0,0,0,0,85|86|87|88|89|90,0,0,0,蓝色开关
82,7,12,ins_sun_console_01,ins_moon_console_01,红控制台,20,0,0,0,0,0,1,0,1,0,0,一个魔法机关，可以改变所有红色石柱的状态。,0,0,0,0,0,91|92|93|94|95|96|97,5|13,90101,0,红色开关
83,7,4,ins_sun_console_04,ins_moon_console_04,黄控制台,20,0,0,0,0,0,1,0,1,0,0,一个魔法机关，可以改变所有金色石柱的状态。,0,0,0,0,0,98|99|100|101|102|103,0,0,0,金色开关
84,1,10,ins_sun_console_02,ins_moon_console_02,绿控制台,20,0,0,0,0,0,1,1,1,0,0,一个魔法机关，可以改变所有绿色石柱的状态。,0,0,0,0,0,104|105|106|107|108|109,0,0,0,绿色开关
