id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,9,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,城墙
2,7,6,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,500749,1,0,0,此处被一队实力极其强大的敌人占据。\n击败他们才能通过此处。,0,0,0,0,4,0,0,0,0,普通首领
3,6,1,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707101,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
4,6,10,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707102,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
5,5,3,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707103,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
6,5,5,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707104,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
7,5,7,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707105,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
8,5,9,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707106,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
9,3,4,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707107,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
10,3,8,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,707108,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
11,2,2,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,707201,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
12,2,9,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,707202,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
13,1,5,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,707203,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
14,1,7,ins_case_02,0,高级宝箱,7,0,0,0,1,0,0,707204,1,0,0,0,0,0,0,0,0,0,0,0,0,高级宝箱
