id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,1,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,初始点
2,1,13,0,0,剧情,2,0,0,0,1,1,0,0,2,1701001,这里被黑暗和魔法的力量扭曲，形成互相影响的区域，要小心那些机关！,0,0,0,0,0,0,0,0,0,0,初始剧情
3,4,13,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,9,0,0,0,0,普通小怪
4,7,19,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,10,0,0,0,0,普通小怪
5,8,21,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,11,0,0,0,0,普通小怪
6,14,20,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,12,0,0,0,0,普通小怪
7,15,4,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,13,0,0,0,0,普通小怪
8,15,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,14,0,0,0,0,普通小怪
9,4,13,ins_relics_01,0,选择遗物,8,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
10,7,19,ins_relics_01,0,选择遗物,8,2,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
11,8,21,ins_relics_01,0,选择遗物,8,2,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
12,14,20,ins_relics_01,0,选择遗物,8,2,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
13,15,4,ins_relics_01,0,选择遗物,8,2,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
14,15,7,ins_relics_01,0,选择遗物,8,2,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
15,2,10,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,30,0,0,0,0,普通精锐
16,2,15,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,31,0,0,0,0,普通精锐
17,3,21,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,32,0,0,0,0,普通精锐
18,4,10,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,33,0,0,0,0,普通精锐
19,5,6,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,34,0,0,0,0,普通精锐
20,6,21,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,35,0,0,0,0,普通精锐
21,7,4,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,36,0,0,0,0,普通精锐
22,8,5,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,37,0,0,0,0,普通精锐
23,10,11,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,38,0,0,0,0,普通精锐
24,12,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,39,0,0,0,0,普通精锐
25,12,16,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,40,0,0,0,0,普通精锐
26,13,4,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,41,0,0,0,0,普通精锐
27,14,23,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,42,0,0,0,0,普通精锐
28,15,19,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,43,0,0,0,0,普通精锐
29,17,4,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,44,0,0,0,0,普通精锐
30,2,10,ins_relics_01,0,选择遗物,8,2,15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
31,2,15,ins_relics_01,0,选择遗物,8,2,16,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
32,3,21,ins_relics_01,0,选择遗物,8,2,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
33,4,10,ins_relics_01,0,选择遗物,8,2,18,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
34,5,6,ins_relics_01,0,选择遗物,8,2,19,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
35,6,21,ins_relics_01,0,选择遗物,8,2,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
36,7,4,ins_relics_01,0,选择遗物,8,2,21,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
37,8,5,ins_relics_01,0,选择遗物,8,2,22,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
38,10,11,ins_relics_01,0,选择遗物,8,2,23,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
39,12,9,ins_relics_01,0,选择遗物,8,2,24,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
40,12,16,ins_relics_01,0,选择遗物,8,2,25,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
41,13,4,ins_relics_01,0,选择遗物,8,2,26,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
42,14,23,ins_relics_01,0,选择遗物,8,2,27,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
43,15,19,ins_relics_01,0,选择遗物,8,2,28,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
44,17,4,ins_relics_01,0,选择遗物,8,2,29,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
45,9,14,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,49,0,0,0,0,普通首领
46,11,14,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,50,0,0,0,0,普通首领
47,13,12,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,51,0,0,0,0,普通首领
48,18,21,ins_monster_03,0,首领级敌人,5,0,0,0,0,0,0,401001,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,52,0,0,0,0,普通首领
49,9,14,ins_relics_01,0,选择遗物,8,2,45,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
50,11,14,ins_relics_01,0,选择遗物,8,2,46,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
51,13,12,ins_relics_01,0,选择遗物,8,2,47,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
52,18,21,ins_relics_01,0,选择遗物,8,2,48,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,首领BUFF
53,1,4,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017101,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
54,1,9,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017102,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
55,1,17,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017103,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
56,2,22,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017104,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
57,4,5,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017105,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
58,5,10,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017106,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
59,5,24,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,1017107,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
