id,name,monstername,monstericon,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep,bubble
1101,第一关,  前军裨将,hpicon_hero2005,2,18,45.5,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,110101,0,0,0,0,0,1,0,这盾牌可真大啊！
1102,第二关,中军裨将,hpicon_hero3002,2,25.7,48.8,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,110201,0,0,0,0,0,1,0,武器就是一寸长一寸强！
1103,第三关,  中军裨将,hpicon_hero2013,2,26,45,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,110301,0,0,0,0,0,1,0,看我们一下一个窟窿。
1104,第四关,  后军裨将,hpicon_hero1010,2,25.3,41,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,110401,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
1105,第五关,  后军裨将,hpicon_hero2010,2,29.3,43,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,110501,0,0,0,0,0,1,0,我们所有人都瞄的很准！
1106,第六关,  后军裨将,hpicon_hero3001,2,33.3,45,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,110601,0,0,0,0,0,1,0,我们已经准备好了。
1107,第七关,  前军裨将,hpicon_hero2005,2,58,49,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,110701,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1108,第八关,  中军裨将,hpicon_hero2011,2,59,46,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,110801,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
1109,第九关,  中军裨将,hpicon_hero4006,2,63,48,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,110901,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1110,第十关,  后军裨将,hpicon_hero1009,2,60,43,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,111001,0,0,0,0,0,1,0,我们灵巧而精确。
1111,第十一关,  后军裨将,hpicon_hero1010,2,64,45,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,111101,0,0,0,0,0,1,0,我们射的又快又准。
1112,第十二关,  后军裨将,hpicon_hero3002,2,68,47,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,111201,0,0,0,0,0,1,0,我们喜欢平原地区。
1113,第十三关,  前军裨将,hpicon_hero1009,2,84.5,33,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,111301,0,0,0,0,0,1,0,站在我们身后就好！
1114,第十四关,  前军裨将,hpicon_hero1010,2,82,30.5,C_muzhuang_01.png,1101,10,15,1,5,0,1,5,0,0,0,0,0,0,111401,0,0,0,0,0,1,0,这盾牌可真大啊！
1115,第十五关,  后军裨将,hpicon_hero3002,2,91.2,31,C_muzhuang_01.png,1102,10,15,1,3,0,1,5,0,0,0,0,0,0,111501,0,0,0,0,0,1,0,我们已经准备好了。
1116,第十六关,  后军裨将,hpicon_hero2013,2,85.8,28.3,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,111601,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
1117,第十七关,  前军裨将,hpicon_hero2011,2,82,15,C_muzhuang_01.png,1102,10,15,1,3,0,1,5,0,0,0,0,0,0,111701,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
1118,第十八关,  前军裨将,hpicon_hero1009,2,78,17,C_muzhuang_01.png,1102,10,15,1,3,0,1,5,0,0,0,0,0,0,111801,0,0,0,0,0,1,0,看我们一下一个窟窿。
1119,第十九关,  后军裨将,hpicon_hero3001,2,79,11,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,111901,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1120,第二十关,  后军裨将,hpicon_hero3001,2,75,13,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,112001,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1121,第二十一关,  后军裨将,hpicon_hero1010,2,71,15,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,112101,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
1122,第二十二关,  前军裨将,hpicon_hero3004,2,57,22,C_muzhuang_01.png,1103,10,15,1,1,0,1,5,0,0,0,0,0,0,112201,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1123,第二十三关,  中军裨将,hpicon_hero3004,2,52,23,C_muzhuang_01.png,1101,10,15,1,1,0,1,5,0,0,0,0,0,0,112301,0,0,0,0,0,1,0,我们会保护好队友的。
1124,第二十四关,  中军裨将,hpicon_hero2004,2,55,25,C_muzhuang_01.png,1101,10,15,1,1,0,1,5,0,0,0,0,0,0,112401,0,0,0,0,0,1,0,没有人能突破这个防线！
1125,第二十五关,  后军裨将,hpicon_hero1005,2,48,24,C_muzhuang_01.png,2103,10,15,1,1,0,1,5,0,0,0,0,0,0,112501,0,0,0,0,0,1,0,看我们一下一个窟窿。
1126,第二十六关,  后军裨将,hpicon_hero3004,2,51,26,C_muzhuang_01.png,2103,10,15,1,1,0,1,5,0,0,0,0,0,0,112601,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
1127,第二十七关,  后军裨将,hpicon_hero1018,2,54,28,C_muzhuang_01.png,2103,10,15,1,1,0,1,5,0,0,0,0,0,0,112701,0,0,0,0,0,1,0,武器就是一寸长一寸强！
1128,第二十八关,  前军裨将,hpicon_hero3009,2,32,21,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,112801,0,0,0,0,0,1,0,我们会保护好队友的。
1129,第二十九关,  前军裨将,hpicon_hero1018,2,28,23,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,112901,0,0,0,0,0,1,0,没有人能突破这个防线！
1130,第三十关,  中军裨将,hpicon_hero3010,2,33,17,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,113001,0,0,0,0,0,1,0,武器就是一寸长一寸强！
1131,第三十一关,  中军裨将,hpicon_hero2010,2,29,19,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,113101,0,0,0,0,0,1,0,看我们一下一个窟窿。
1132,第三十二关,  中军裨将,hpicon_hero3009,2,25,21,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,113201,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
1133,第三十三关,  中军裨将,hpicon_hero1018,2,21,23,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,113301,0,0,0,0,0,1,0,武器就是一寸长一寸强！
1134,第三十四关,  右军裨将,hpicon_hero1010,2,28,16,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,113401,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1135,第三十五关,  左军裨将,hpicon_hero3004,2,20,20,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,113501,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1136,第三十六关,  后军偏将,hpicon_hero3004,2,27,12,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,113601,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
1137,第三十七关,  后军偏将,hpicon_hero2004,2,23,14,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,113701,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
1138,第三十八关,  后军偏将,hpicon_hero1005,2,19,16,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,113801,0,0,0,0,0,1,0,我们所有人都瞄的很准！
1139,第三十九关,  后军偏将,hpicon_hero2010,2,15,18,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,113901,0,0,0,0,0,1,0,我们已经准备好了。
1140,第四十关,      吕布,hpicon_hero3009,2,24,18,C_muzhuang_01.png,2001,10,15,1,3,0,1,5,0,0,0,0,0,0,114001,0,0,0,0,0,1,0,战争！令我热血沸腾！
